task_id,task_instance_id,episode_id,group_id,split,outcome,recovery,alternative_order
square,,square__episode_86,square__episode_86,train,success,False,False
square,,square__episode_72,square__episode_72,train,success,False,False
square,,square__episode_8,square__episode_8,train,failure,False,False
square,,square__episode_84,square__episode_84,train,success,False,False
square,,square__episode_12,square__episode_12,train,success,False,False
square,,square__episode_40,square__episode_40,train,success,False,False
square,,square__episode_77,square__episode_77,train,failure,False,False
square,,square__episode_54,square__episode_54,train,failure,False,False
square,,square__episode_0,square__episode_0,train,failure,False,False
square,,square__episode_70,square__episode_70,train,success,False,False
square,,square__episode_65,square__episode_65,train,failure,False,False
square,,square__episode_94,square__episode_94,train,success,False,False
square,,square__episode_76,square__episode_76,train,success,False,False
square,,square__episode_3,square__episode_3,train,failure,False,False
square,,square__episode_85,square__episode_85,train,success,False,False
square,,square__episode_10,square__episode_10,train,success,False,False
square,,square__episode_32,square__episode_32,train,success,False,False
square,,square__episode_19,square__episode_19,train,failure,False,False
square,,square__episode_59,square__episode_59,train,failure,False,False
square,,square__episode_60,square__episode_60,train,success,False,False
square,,square__episode_75,square__episode_75,train,success,False,False
square,,square__episode_81,square__episode_81,train,success,False,False
square,,square__episode_25,square__episode_25,train,success,False,False
square,,square__episode_96,square__episode_96,train,success,False,False
square,,square__episode_92,square__episode_92,train,failure,False,False
square,,square__episode_48,square__episode_48,train,failure,False,False
square,,square__episode_7,square__episode_7,train,success,False,False
square,,square__episode_89,square__episode_89,train,success,False,False
square,,square__episode_37,square__episode_37,train,success,False,False
square,,square__episode_41,square__episode_41,train,success,False,False
square,,square__episode_83,square__episode_83,train,failure,False,False
square,,square__episode_15,square__episode_15,train,success,False,False
square,,square__episode_69,square__episode_69,train,success,False,False
square,,square__episode_17,square__episode_17,train,success,False,False
square,,square__episode_38,square__episode_38,train,failure,False,False
square,,square__episode_71,square__episode_71,train,success,False,False
square,,square__episode_63,square__episode_63,train,success,False,False
square,,square__episode_1,square__episode_1,train,success,False,False
square,,square__episode_49,square__episode_49,train,success,False,False
square,,square__episode_80,square__episode_80,train,failure,False,False
square,,square__episode_29,square__episode_29,train,success,False,False
square,,square__episode_5,square__episode_5,train,success,False,False
square,,square__episode_16,square__episode_16,train,success,False,False
square,,square__episode_53,square__episode_53,train,failure,False,False
square,,square__episode_13,square__episode_13,train,failure,False,False
square,,square__episode_24,square__episode_24,train,success,False,False
square,,square__episode_62,square__episode_62,train,success,False,False
square,,square__episode_66,square__episode_66,train,failure,False,False
square,,square__episode_44,square__episode_44,train,failure,False,False
square,,square__episode_46,square__episode_46,train,success,False,False
square,,square__episode_22,square__episode_22,train,failure,False,False
square,,square__episode_90,square__episode_90,train,success,False,False
square,,square__episode_58,square__episode_58,train,success,False,False
square,,square__episode_27,square__episode_27,train,success,False,False
