episode_id,task_id,failure_onset_step,failure_type,recoverable
transport_dual_order__0092,transport_dual_order,40,drop,True
transport_dual_order__0093,transport_dual_order,40,drop,True
transport_dual_order__0094,transport_dual_order,40,drop,True
transport_dual_order__0095,transport_dual_order,40,drop,True
transport_dual_order__0096,transport_dual_order,40,drop,True
transport_dual_order__0097,transport_dual_order,40,drop,True
transport_dual_order__0098,transport_dual_order,40,drop,True
transport_dual_order__0099,transport_dual_order,40,drop,True
transport_dual_order__0100,transport_dual_order,40,terminal_failure,False
transport_dual_order__0101,transport_dual_order,40,terminal_failure,False
transport_dual_order__0102,transport_dual_order,40,terminal_failure,False
transport_dual_order__0103,transport_dual_order,40,terminal_failure,False
transport_dual_order__0104,transport_dual_order,40,terminal_failure,False
transport_dual_order__0105,transport_dual_order,40,terminal_failure,False
transport_dual_order__0106,transport_dual_order,40,terminal_failure,False
transport_dual_order__0107,transport_dual_order,40,terminal_failure,False
transport_recovery__0020,transport_recovery,75,terminal_failure,False
transport_recovery__0021,transport_recovery,75,terminal_failure,False
transport_recovery__0022,transport_recovery,75,terminal_failure,False
transport_recovery__0023,transport_recovery,75,terminal_failure,False
transport_recovery__0024,transport_recovery,75,terminal_failure,False
transport_recovery__0025,transport_recovery,75,terminal_failure,False
transport_recovery__0026,transport_recovery,75,terminal_failure,False
transport_recovery__0027,transport_recovery,75,terminal_failure,False
transport_recovery__0028,transport_recovery,75,terminal_failure,False
transport_recovery__0029,transport_recovery,75,terminal_failure,False
transport_recovery__0030,transport_recovery,75,terminal_failure,False
transport_recovery__0031,transport_recovery,75,terminal_failure,False
transport_recovery__0032,transport_recovery,58,drop,True
transport_recovery__0033,transport_recovery,58,drop,True
transport_recovery__0034,transport_recovery,58,drop,True
transport_recovery__0035,transport_recovery,58,drop,True
transport_recovery__0036,transport_recovery,58,drop,True
transport_recovery__0037,transport_recovery,58,drop,True
transport_recovery__0038,transport_recovery,58,drop,True
transport_recovery__0039,transport_recovery,58,drop,True
transport_recovery__0040,transport_recovery,58,drop,True
transport_recovery__0041,transport_recovery,58,drop,True
transport_recovery__0042,transport_recovery,58,drop,True
transport_recovery__0043,transport_recovery,58,drop,True
transport_recovery__0044,transport_recovery,58,drop,True
transport_recovery__0045,transport_recovery,58,drop,True
transport_recovery__0046,transport_recovery,58,drop,True
transport_recovery__0047,transport_recovery,58,drop,True
transport_recovery__0048,transport_recovery,58,drop,True
transport_recovery__0049,transport_recovery,58,drop,True
transport_recovery__0050,transport_recovery,58,drop,True
transport_recovery__0051,transport_recovery,58,drop,True
