episode_id,task_id,group_id,split
transport_recovery__0032,transport_recovery,transport_recovery__seed_21032,train
transport_recovery__0010,transport_recovery,transport_recovery__seed_21010,train
transport_dual_order__0056,transport_dual_order,transport_dual_order__seed_21056,train
transport_dual_order__0097,transport_dual_order,transport_dual_order__seed_21097,train
transport_recovery__0006,transport_recovery,transport_recovery__seed_21006,train
transport_recovery__0012,transport_recovery,transport_recovery__seed_21012,train
transport_dual_order__0087,transport_dual_order,transport_dual_order__seed_21087,train
transport_dual_order__0075,transport_dual_order,transport_dual_order__seed_21075,train
transport_recovery__0022,transport_recovery,transport_recovery__seed_21022,train
transport_dual_order__0088,transport_dual_order,transport_dual_order__seed_21088,train
transport_recovery__0034,transport_recovery,transport_recovery__seed_21034,train
transport_dual_order__0096,transport_dual_order,transport_dual_order__seed_21096,train
transport_recovery__0014,transport_recovery,transport_recovery__seed_21014,train
transport_recovery__0028,transport_recovery,transport_recovery__seed_21028,train
transport_recovery__0050,transport_recovery,transport_recovery__seed_21050,train
transport_recovery__0033,transport_recovery,transport_recovery__seed_21033,train
transport_dual_order__0052,transport_dual_order,transport_dual_order__seed_21052,train
transport_recovery__0035,transport_recovery,transport_recovery__seed_21035,train
transport_recovery__0007,transport_recovery,transport_recovery__seed_21007,train
transport_recovery__0018,transport_recovery,transport_recovery__seed_21018,train
transport_recovery__0036,transport_recovery,transport_recovery__seed_21036,train
transport_dual_order__0083,transport_dual_order,transport_dual_order__seed_21083,train
transport_recovery__0026,transport_recovery,transport_recovery__seed_21026,train
transport_recovery__0037,transport_recovery,transport_recovery__seed_21037,train
transport_recovery__0029,transport_recovery,transport_recovery__seed_21029,train
transport_recovery__0027,transport_recovery,transport_recovery__seed_21027,train
transport_dual_order__0065,transport_dual_order,transport_dual_order__seed_21065,train
transport_recovery__0005,transport_recovery,transport_recovery__seed_21005,train
transport_recovery__0021,transport_recovery,transport_recovery__seed_21021,train
transport_recovery__0046,transport_recovery,transport_recovery__seed_21046,train
transport_dual_order__0070,transport_dual_order,transport_dual_order__seed_21070,train
transport_dual_order__0054,transport_dual_order,transport_dual_order__seed_21054,train
transport_recovery__0038,transport_recovery,transport_recovery__seed_21038,train
transport_dual_order__0063,transport_dual_order,transport_dual_order__seed_21063,train
transport_recovery__0043,transport_recovery,transport_recovery__seed_21043,train
transport_dual_order__0059,transport_dual_order,transport_dual_order__seed_21059,train
transport_recovery__0048,transport_recovery,transport_recovery__seed_21048,train
transport_dual_order__0106,transport_dual_order,transport_dual_order__seed_21106,train
transport_dual_order__0061,transport_dual_order,transport_dual_order__seed_21061,train
transport_dual_order__0084,transport_dual_order,transport_dual_order__seed_21084,train
transport_recovery__0017,transport_recovery,transport_recovery__seed_21017,train
transport_dual_order__0073,transport_dual_order,transport_dual_order__seed_21073,train
transport_dual_order__0053,transport_dual_order,transport_dual_order__seed_21053,train
transport_recovery__0013,transport_recovery,transport_recovery__seed_21013,train
transport_recovery__0001,transport_recovery,transport_recovery__seed_21001,train
transport_dual_order__0074,transport_dual_order,transport_dual_order__seed_21074,train
transport_dual_order__0102,transport_dual_order,transport_dual_order__seed_21102,train
transport_dual_order__0060,transport_dual_order,transport_dual_order__seed_21060,train
transport_dual_order__0107,transport_dual_order,transport_dual_order__seed_21107,train
transport_dual_order__0057,transport_dual_order,transport_dual_order__seed_21057,train
transport_dual_order__0069,transport_dual_order,transport_dual_order__seed_21069,train
transport_dual_order__0101,transport_dual_order,transport_dual_order__seed_21101,train
transport_recovery__0019,transport_recovery,transport_recovery__seed_21019,train
transport_recovery__0011,transport_recovery,transport_recovery__seed_21011,train
transport_dual_order__0091,transport_dual_order,transport_dual_order__seed_21091,train
transport_dual_order__0093,transport_dual_order,transport_dual_order__seed_21093,train
transport_dual_order__0067,transport_dual_order,transport_dual_order__seed_21067,train
transport_recovery__0003,transport_recovery,transport_recovery__seed_21003,train
transport_recovery__0004,transport_recovery,transport_recovery__seed_21004,train
transport_dual_order__0072,transport_dual_order,transport_dual_order__seed_21072,train
transport_dual_order__0099,transport_dual_order,transport_dual_order__seed_21099,train
transport_dual_order__0079,transport_dual_order,transport_dual_order__seed_21079,train
transport_dual_order__0082,transport_dual_order,transport_dual_order__seed_21082,train
transport_dual_order__0078,transport_dual_order,transport_dual_order__seed_21078,train
transport_recovery__0044,transport_recovery,transport_recovery__seed_21044,train
transport_dual_order__0095,transport_dual_order,transport_dual_order__seed_21095,val
transport_recovery__0023,transport_recovery,transport_recovery__seed_21023,val
transport_dual_order__0090,transport_dual_order,transport_dual_order__seed_21090,val
