task_id,episode_id,category,field,evidence
square,square__episode_86,other,idx,raw_pickle_dataframe
square,square__episode_86,other,episode,raw_pickle_dataframe
square,square__episode_86,other,timestep,raw_pickle_dataframe
square,square__episode_86,observation_vector,obs,raw_pickle_dataframe
square,square__episode_86,other,img,raw_pickle_dataframe
square,square__episode_86,action,action,raw_pickle_dataframe
square,square__episode_86,reward,reward,raw_pickle_dataframe
square,square__episode_86,success,success,raw_pickle_dataframe
square,square__episode_8,other,idx,raw_pickle_dataframe
square,square__episode_8,other,episode,raw_pickle_dataframe
square,square__episode_8,other,timestep,raw_pickle_dataframe
square,square__episode_8,observation_vector,obs,raw_pickle_dataframe
square,square__episode_8,other,img,raw_pickle_dataframe
square,square__episode_8,action,action,raw_pickle_dataframe
square,square__episode_8,reward,reward,raw_pickle_dataframe
square,square__episode_8,success,success,raw_pickle_dataframe
transport,transport__episode_32,other,idx,raw_pickle_dataframe
transport,transport__episode_32,other,episode,raw_pickle_dataframe
transport,transport__episode_32,other,timestep,raw_pickle_dataframe
transport,transport__episode_32,observation_vector,obs,raw_pickle_dataframe
transport,transport__episode_32,other,img,raw_pickle_dataframe
transport,transport__episode_32,action,action,raw_pickle_dataframe
transport,transport__episode_32,reward,reward,raw_pickle_dataframe
transport,transport__episode_32,success,success,raw_pickle_dataframe
transport,transport__episode_14,other,idx,raw_pickle_dataframe
transport,transport__episode_14,other,episode,raw_pickle_dataframe
transport,transport__episode_14,other,timestep,raw_pickle_dataframe
transport,transport__episode_14,observation_vector,obs,raw_pickle_dataframe
transport,transport__episode_14,other,img,raw_pickle_dataframe
transport,transport__episode_14,action,action,raw_pickle_dataframe
transport,transport__episode_14,reward,reward,raw_pickle_dataframe
transport,transport__episode_14,success,success,raw_pickle_dataframe
