queue_id,task_id,episode_id,split,source_path,category,path_signature,priority,proposal_path,review_bundle_path,status
q_transport_recovery__0000,transport_recovery,transport_recovery__0000,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0000.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0000.json,review_bundles/transport_recovery__0000,accepted
q_transport_recovery__0001,transport_recovery,transport_recovery__0001,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0001.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0001.json,review_bundles/transport_recovery__0001,accepted
q_transport_recovery__0002,transport_recovery,transport_recovery__0002,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0002.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0002.json,review_bundles/transport_recovery__0002,accepted
q_transport_recovery__0003,transport_recovery,transport_recovery__0003,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0003.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0003.json,review_bundles/transport_recovery__0003,accepted
q_transport_recovery__0004,transport_recovery,transport_recovery__0004,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0004.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0004.json,review_bundles/transport_recovery__0004,accepted
q_transport_recovery__0005,transport_recovery,transport_recovery__0005,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0005.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0005.json,review_bundles/transport_recovery__0005,accepted
q_transport_recovery__0006,transport_recovery,transport_recovery__0006,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0006.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0006.json,review_bundles/transport_recovery__0006,accepted
q_transport_recovery__0007,transport_recovery,transport_recovery__0007,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0007.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0007.json,review_bundles/transport_recovery__0007,accepted
q_transport_recovery__0008,transport_recovery,transport_recovery__0008,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0008.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0008.json,review_bundles/transport_recovery__0008,accepted
q_transport_recovery__0009,transport_recovery,transport_recovery__0009,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0009.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0009.json,review_bundles/transport_recovery__0009,accepted
q_transport_recovery__0010,transport_recovery,transport_recovery__0010,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0010.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0010.json,review_bundles/transport_recovery__0010,accepted
q_transport_recovery__0011,transport_recovery,transport_recovery__0011,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0011.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0011.json,review_bundles/transport_recovery__0011,accepted
q_transport_recovery__0012,transport_recovery,transport_recovery__0012,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0012.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0012.json,review_bundles/transport_recovery__0012,accepted
q_transport_recovery__0013,transport_recovery,transport_recovery__0013,train,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0013.json,forward_success,"[""forward""]",2,proposed_annotations/transport_recovery__0013.json,review_bundles/transport_recovery__0013,accepted
