step,eef_x,eef_y,eef_z,obj_x,obj_y,obj_z,scenario,controller_source
0,0.1,0.1,0.9,0.1,0.0,0.82,order_B_then_A,scripted_oracle
10,0.14,0.12000000000000001,0.9,0.13,0.0,0.82,order_B_then_A,scripted_oracle
20,0.18,0.14,0.9,0.16,0.0,0.82,order_B_then_A,scripted_oracle
30,0.22,0.16,0.9,0.19,0.0,0.82,order_B_then_A,scripted_oracle
40,0.26,0.18,0.9,0.22,0.0,0.82,order_B_then_A,scripted_oracle
50,0.30000000000000004,0.2,0.9,0.25,0.0,0.82,order_B_then_A,scripted_oracle
60,0.33999999999999997,0.22,0.9,0.28,0.0,0.82,order_B_then_A,scripted_oracle
70,0.38,0.24000000000000002,0.9,0.31,0.0,0.82,order_B_then_A,scripted_oracle
80,0.42000000000000004,0.26,0.9,0.33999999999999997,0.0,0.82,order_B_then_A,scripted_oracle
90,0.45999999999999996,0.28,0.9,0.37,0.0,0.82,order_B_then_A,scripted_oracle
100,0.5,0.30000000000000004,0.9,0.4,0.0,0.82,order_B_then_A,scripted_oracle
110,0.54,0.32,0.9,0.43000000000000005,0.0,0.82,order_B_then_A,scripted_oracle
