diagnostic_id,episode_id,task_id,scenario,outcome,path_signature,split_original,content_group_id,analysis_weight,is_representative,case_type,controller_source,source_path
diag_transport_dual_order__0055,transport_dual_order__0055,transport_dual_order,order_A_then_B,success,A>B,val,d0369abdc1e18f99,0.05,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0055.json
diag_transport_dual_order__0080,transport_dual_order__0080,transport_dual_order,order_B_then_A,success,B>A,val,f17b5015f86d31cb,0.027777777777777776,true,alternative_order,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0080.json
diag_transport_recovery__0000,transport_recovery__0000,transport_recovery,natural_success,success,forward,test,48192627e0ecdae9,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0000.json
diag_transport_recovery__0001,transport_recovery__0001,transport_recovery,natural_success,success,forward,train,4cfce12dac6f1852,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0001.json
diag_transport_recovery__0002,transport_recovery__0002,transport_recovery,natural_success,success,forward,test,837420c3bbd731ac,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0002.json
diag_transport_recovery__0003,transport_recovery__0003,transport_recovery,natural_success,success,forward,train,2f640d3128f9a261,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0003.json
diag_transport_recovery__0004,transport_recovery__0004,transport_recovery,natural_success,success,forward,train,ae210ba3a43c0910,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0004.json
diag_transport_recovery__0005,transport_recovery__0005,transport_recovery,natural_success,success,forward,train,66e9524f274ef99f,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0005.json
diag_transport_recovery__0006,transport_recovery__0006,transport_recovery,natural_success,success,forward,train,ea43d5392b366608,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0006.json
diag_transport_recovery__0007,transport_recovery__0007,transport_recovery,natural_success,success,forward,train,1c73f1887e153691,1.0,true,canonical_chain,scripted_oracle,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0007.json
