metric,method,task_id,orientation,seed_group,mean,ci_low,ci_high,bootstrap_unit,n_units,n_episode_rows
control_monotonicity,learned_linear_sarm,transport_dual_order,A_first,20260903,0.9915966386554622,0.9831932773109243,1.0,content_group_id,2,2
control_forward_sign_accuracy,learned_linear_sarm,transport_dual_order,A_first,20260903,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,learned_linear_sarm,transport_dual_order,A_first,20260903,0.9860149621963501,0.9860149621963501,0.9860149621963501,content_group_id,2,2
alternative_legal_negative_rate,learned_linear_sarm,transport_dual_order,A_first,20260903,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,learned_linear_sarm,transport_dual_order,A_first,20260904,1.0,1.0,1.0,content_group_id,2,2
control_forward_sign_accuracy,learned_linear_sarm,transport_dual_order,A_first,20260904,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,learned_linear_sarm,transport_dual_order,A_first,20260904,0.9851460456848145,0.9851460456848145,0.9851460456848145,content_group_id,2,2
alternative_legal_negative_rate,learned_linear_sarm,transport_dual_order,A_first,20260904,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,learned_linear_sarm,transport_dual_order,A_first,20260905,1.0,1.0,1.0,content_group_id,2,2
control_forward_sign_accuracy,learned_linear_sarm,transport_dual_order,A_first,20260905,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,learned_linear_sarm,transport_dual_order,A_first,20260905,0.9854140281677246,0.9854140281677246,0.9854140281677246,content_group_id,2,2
alternative_legal_negative_rate,learned_linear_sarm,transport_dual_order,A_first,20260905,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,learned_linear_sarm,transport_dual_order,B_first,20260903,1.0,1.0,1.0,content_group_id,2,2
control_forward_sign_accuracy,learned_linear_sarm,transport_dual_order,B_first,20260903,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,learned_linear_sarm,transport_dual_order,B_first,20260903,0.9900584816932678,0.9900584816932678,0.9900584816932678,content_group_id,2,2
alternative_legal_negative_rate,learned_linear_sarm,transport_dual_order,B_first,20260903,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,learned_linear_sarm,transport_dual_order,B_first,20260904,0.9831932773109244,0.9747899159663865,0.9915966386554622,content_group_id,2,2
control_forward_sign_accuracy,learned_linear_sarm,transport_dual_order,B_first,20260904,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,learned_linear_sarm,transport_dual_order,B_first,20260904,0.9899787902832031,0.9899787902832031,0.9899787902832031,content_group_id,2,2
alternative_legal_negative_rate,learned_linear_sarm,transport_dual_order,B_first,20260904,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,learned_linear_sarm,transport_dual_order,B_first,20260905,0.9873949579831933,0.9747899159663865,1.0,content_group_id,2,2
control_forward_sign_accuracy,learned_linear_sarm,transport_dual_order,B_first,20260905,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,learned_linear_sarm,transport_dual_order,B_first,20260905,0.9895426034927368,0.9895426034927368,0.9895426034927368,content_group_id,2,2
alternative_legal_negative_rate,learned_linear_sarm,transport_dual_order,B_first,20260905,0.0,0.0,0.0,content_group_id,1,2
control_monotonicity,linear_time_fraction,transport_dual_order,none,None,1.0,1.0,1.0,content_group_id,2,2
control_forward_sign_accuracy,linear_time_fraction,transport_dual_order,none,None,1.0,1.0,1.0,content_group_id,2,2
control_terminal_progress,linear_time_fraction,transport_dual_order,none,None,1.0,1.0,1.0,content_group_id,2,2
alternative_legal_negative_rate,linear_time_fraction,transport_dual_order,none,None,0.0,0.0,0.0,content_group_id,1,2
