episode_id,content_group_id,task_id,scenario,case_type,outcome,method,orientation,seed,cumulative_reward,control_monotonicity,control_forward_sign_accuracy,control_terminal_progress,terminal_progress,alternative_legal_negative_rate,time_fraction_failure_reward,outcome_success,failure_sign_accuracy,recovery_net_reward,recovery_local_positive,recovery_rank_error,recovery_delay_steps,cycle_net_reward,n_episode_rows
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,learned_linear_sarm,A_first,20260903,0.7340735793113708,1.0,1.0,0.9860149621963501,0.9860149621963501,,,1.0,,,,,,,1
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,learned_linear_sarm,A_first,20260904,0.7893871814012527,1.0,1.0,0.9851460456848145,0.9851460456848145,,,1.0,,,,,,,1
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,learned_linear_sarm,A_first,20260905,0.7518407106399536,1.0,1.0,0.9854140281677246,0.9854140281677246,,,1.0,,,,,,,1
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,learned_linear_sarm,B_first,20260903,0.5986687242984772,1.0,1.0,0.9900584816932678,0.9900584816932678,,,1.0,,,,,,,1
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,learned_linear_sarm,B_first,20260904,0.6904222071170807,0.9747899159663865,1.0,0.9899787902832031,0.9899787902832031,,,1.0,,,,,,,1
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,learned_linear_sarm,B_first,20260905,0.727084755897522,1.0,1.0,0.9895426034927368,0.9895426034927368,,,1.0,,,,,,,1
transport_dual_order__0055,d0369abdc1e18f99,transport_dual_order,order_A_then_B,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0000,48192627e0ecdae9,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0001,4cfce12dac6f1852,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0002,837420c3bbd731ac,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0003,2f640d3128f9a261,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0004,ae210ba3a43c0910,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0005,66e9524f274ef99f,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0006,ea43d5392b366608,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0007,1c73f1887e153691,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0008,5693f89cc383bd64,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0009,1adab7de79a087b3,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
transport_recovery__0010,f9f56194a3c4cb04,transport_recovery,natural_success,canonical_chain,success,linear_time_fraction,none,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1
