pair_id,pair_type,left_sample_id,right_sample_id,pre_failure_sample_id,task_id,split,content_group_id,margin,edge_id,edge_type,edge_cost_norm,pair_weight
transport_dual_order__0052_0,temporal_decrease,transport_dual_order__0052:0,transport_dual_order__0052:1,,transport_dual_order,train,d0369abdc1e18f99,.10,,forward,1.0,1.0
transport_dual_order__0052_60,temporal_decrease,transport_dual_order__0052:60,transport_dual_order__0052:61,,transport_dual_order,train,d0369abdc1e18f99,.10,,forward,1.0,1.0
transport_dual_order__0072_0,temporal_decrease,transport_dual_order__0072:0,transport_dual_order__0072:1,,transport_dual_order,train,f17b5015f86d31cb,.10,,forward,1.0,1.0
transport_dual_order__0072_60,temporal_decrease,transport_dual_order__0072:60,transport_dual_order__0072:61,,transport_dual_order,train,f17b5015f86d31cb,.10,,forward,1.0,1.0
transport_recovery__0000_0,temporal_decrease,transport_recovery__0000:0,transport_recovery__0000:1,,transport_recovery,test,48192627e0ecdae9,.10,,forward,1.0,1.0
transport_recovery__0000_60,temporal_decrease,transport_recovery__0000:60,transport_recovery__0000:61,,transport_recovery,test,48192627e0ecdae9,.10,,forward,1.0,1.0
transport_recovery__0001_0,temporal_decrease,transport_recovery__0001:0,transport_recovery__0001:1,,transport_recovery,train,4cfce12dac6f1852,.10,,forward,1.0,1.0
transport_recovery__0001_60,temporal_decrease,transport_recovery__0001:60,transport_recovery__0001:61,,transport_recovery,train,4cfce12dac6f1852,.10,,forward,1.0,1.0
transport_recovery__0002_0,temporal_decrease,transport_recovery__0002:0,transport_recovery__0002:1,,transport_recovery,test,837420c3bbd731ac,.10,,forward,1.0,1.0
transport_recovery__0002_60,temporal_decrease,transport_recovery__0002:60,transport_recovery__0002:61,,transport_recovery,test,837420c3bbd731ac,.10,,forward,1.0,1.0
transport_recovery__0003_0,temporal_decrease,transport_recovery__0003:0,transport_recovery__0003:1,,transport_recovery,train,2f640d3128f9a261,.10,,forward,1.0,1.0
transport_recovery__0003_60,temporal_decrease,transport_recovery__0003:60,transport_recovery__0003:61,,transport_recovery,train,2f640d3128f9a261,.10,,forward,1.0,1.0
transport_recovery__0004_0,temporal_decrease,transport_recovery__0004:0,transport_recovery__0004:1,,transport_recovery,train,ae210ba3a43c0910,.10,,forward,1.0,1.0
transport_recovery__0004_60,temporal_decrease,transport_recovery__0004:60,transport_recovery__0004:61,,transport_recovery,train,ae210ba3a43c0910,.10,,forward,1.0,1.0
transport_recovery__0005_0,temporal_decrease,transport_recovery__0005:0,transport_recovery__0005:1,,transport_recovery,train,66e9524f274ef99f,.10,,forward,1.0,1.0
transport_recovery__0005_60,temporal_decrease,transport_recovery__0005:60,transport_recovery__0005:61,,transport_recovery,train,66e9524f274ef99f,.10,,forward,1.0,1.0
transport_recovery__0006_0,temporal_decrease,transport_recovery__0006:0,transport_recovery__0006:1,,transport_recovery,train,ea43d5392b366608,.10,,forward,1.0,1.0
transport_recovery__0006_60,temporal_decrease,transport_recovery__0006:60,transport_recovery__0006:61,,transport_recovery,train,ea43d5392b366608,.10,,forward,1.0,1.0
transport_recovery__0007_0,temporal_decrease,transport_recovery__0007:0,transport_recovery__0007:1,,transport_recovery,train,1c73f1887e153691,.10,,forward,1.0,1.0
transport_recovery__0007_60,temporal_decrease,transport_recovery__0007:60,transport_recovery__0007:61,,transport_recovery,train,1c73f1887e153691,.10,,forward,1.0,1.0
transport_recovery__0008_0,temporal_decrease,transport_recovery__0008:0,transport_recovery__0008:1,,transport_recovery,test,5693f89cc383bd64,.10,,forward,1.0,1.0
transport_recovery__0008_60,temporal_decrease,transport_recovery__0008:60,transport_recovery__0008:61,,transport_recovery,test,5693f89cc383bd64,.10,,forward,1.0,1.0
transport_recovery__0009_0,temporal_decrease,transport_recovery__0009:0,transport_recovery__0009:1,,transport_recovery,test,1adab7de79a087b3,.10,,forward,1.0,1.0
transport_recovery__0009_60,temporal_decrease,transport_recovery__0009:60,transport_recovery__0009:61,,transport_recovery,test,1adab7de79a087b3,.10,,forward,1.0,1.0
transport_recovery__0010_0,temporal_decrease,transport_recovery__0010:0,transport_recovery__0010:1,,transport_recovery,train,f9f56194a3c4cb04,.10,,forward,1.0,1.0
transport_recovery__0010_60,temporal_decrease,transport_recovery__0010:60,transport_recovery__0010:61,,transport_recovery,train,f9f56194a3c4cb04,.10,,forward,1.0,1.0
transport_recovery__0011_0,temporal_decrease,transport_recovery__0011:0,transport_recovery__0011:1,,transport_recovery,train,c00409929997554a,.10,,forward,1.0,1.0
transport_recovery__0011_60,temporal_decrease,transport_recovery__0011:60,transport_recovery__0011:61,,transport_recovery,train,c00409929997554a,.10,,forward,1.0,1.0
transport_recovery__0012_0,temporal_decrease,transport_recovery__0012:0,transport_recovery__0012:1,,transport_recovery,train,7138dc8d62bfd4ec,.10,,forward,1.0,1.0
transport_recovery__0012_60,temporal_decrease,transport_recovery__0012:60,transport_recovery__0012:61,,transport_recovery,train,7138dc8d62bfd4ec,.10,,forward,1.0,1.0
transport_recovery__0013_0,temporal_decrease,transport_recovery__0013:0,transport_recovery__0013:1,,transport_recovery,train,58fa7ac9b1b05129,.10,,forward,1.0,1.0
transport_recovery__0013_60,temporal_decrease,transport_recovery__0013:60,transport_recovery__0013:61,,transport_recovery,train,58fa7ac9b1b05129,.10,,forward,1.0,1.0
transport_recovery__0014_0,temporal_decrease,transport_recovery__0014:0,transport_recovery__0014:1,,transport_recovery,train,7d8b707649897a38,.10,,forward,1.0,1.0
transport_recovery__0014_60,temporal_decrease,transport_recovery__0014:60,transport_recovery__0014:61,,transport_recovery,train,7d8b707649897a38,.10,,forward,1.0,1.0
transport_recovery__0015_0,temporal_decrease,transport_recovery__0015:0,transport_recovery__0015:1,,transport_recovery,test,1a896b3ca64ea745,.10,,forward,1.0,1.0
transport_recovery__0015_60,temporal_decrease,transport_recovery__0015:60,transport_recovery__0015:61,,transport_recovery,test,1a896b3ca64ea745,.10,,forward,1.0,1.0
transport_recovery__0016_0,temporal_decrease,transport_recovery__0016:0,transport_recovery__0016:1,,transport_recovery,test,36bf104029b650b0,.10,,forward,1.0,1.0
transport_recovery__0016_60,temporal_decrease,transport_recovery__0016:60,transport_recovery__0016:61,,transport_recovery,test,36bf104029b650b0,.10,,forward,1.0,1.0
transport_recovery__0017_0,temporal_decrease,transport_recovery__0017:0,transport_recovery__0017:1,,transport_recovery,train,7c8b4b934da89a5d,.10,,forward,1.0,1.0
transport_recovery__0017_60,temporal_decrease,transport_recovery__0017:60,transport_recovery__0017:61,,transport_recovery,train,7c8b4b934da89a5d,.10,,forward,1.0,1.0
transport_recovery__0018_0,temporal_decrease,transport_recovery__0018:0,transport_recovery__0018:1,,transport_recovery,train,2ee86b3c50400e39,.10,,forward,1.0,1.0
transport_recovery__0018_60,temporal_decrease,transport_recovery__0018:60,transport_recovery__0018:61,,transport_recovery,train,2ee86b3c50400e39,.10,,forward,1.0,1.0
transport_recovery__0019_0,temporal_decrease,transport_recovery__0019:0,transport_recovery__0019:1,,transport_recovery,train,66b4fa500b5d61be,.10,,forward,1.0,1.0
transport_recovery__0019_60,temporal_decrease,transport_recovery__0019:60,transport_recovery__0019:61,,transport_recovery,train,66b4fa500b5d61be,.10,,forward,1.0,1.0
