config_id,lambda,eta,beta,confidence,oracle_path_normalized_gap,oracle_positive_loop_rate,oracle_loop_return_mean,oracle_loop_return_p95,oracle_stagnation_positive_rate,oracle_terminal_hold_abs_mean,failure_negative_rate,recovery_positive_rate,recovery_cycle_nonpositive_rate,forward_positive_rate,recovery_positive_weight_coverage,success_return_auroc,success_return_spearman,success_minus_failure_return_margin,reward_nonzero_rate,reward_lcb_mean,uncertainty_penalty_mean,fixed_order_score_drop
cfg_000,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.5,1.0,0.7884615384615384,0.5,not_estimable,-0.9999550875900023,-0.16994852324326826,0.8775510204081632,0.006922976047146459,0.0,0.0
cfg_001,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.75,1.0,0.7884615384615384,0.75,not_estimable,-0.9999965701314174,-0.1395636573433875,0.8775510204081632,0.007068881765753328,0.0,0.0
cfg_002,0.0,0.0,0.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,not_estimable,-0.9999126558358239,-0.31851531703182423,0.8775510204081632,-3.604180717950067e-05,0.006959017854325962,0.0
cfg_003,0.0,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,not_estimable,-0.9998968914250013,-0.3015283900622944,0.8775510204081632,4.552807022520437e-05,0.007023353695528128,0.0
cfg_004,0.0,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,not_estimable,-0.999836852057663,-0.4670821108203801,0.8775510204081632,-0.006995059661505468,0.013918035708651924,0.0
cfg_005,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,not_estimable,-0.9998321605905306,-0.46349312278120125,0.8775510204081632,-0.0069778256253029275,0.014046707391056255,0.0
cfg_006,0.0,0.0,1.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.999785000792652,-0.6156489046089357,0.8775510204081632,-0.013954077515831427,0.020877053562977883,0.0
cfg_007,0.0,0.0,1.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9997952182229495,-0.625457855500108,0.8775510204081632,-0.014001179320831052,0.021070061086584383,0.0
cfg_008,0.0,0.05,0.0,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999777516652,9.097621694538333,0.992797118847539,-1.1829740983842836,0.0,0.0
cfg_009,0.0,0.05,0.0,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999792208715,9.127852841715026,0.992797118847539,-1.1583268255609502,0.0,0.0
cfg_010,0.0,0.05,0.5,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998985442614,9.124405436328999,0.992797118847539,-1.1849482319433766,0.006959017854325964,0.0
cfg_011,0.0,0.05,0.5,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999180126474,9.14121079718015,0.992797118847539,-1.1607927799384627,0.00702335369552813,0.0
cfg_012,0.0,0.05,1.0,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999997145504582,9.150891650009015,0.992797118847539,-1.1869158177479129,0.013918035708651928,0.0
cfg_013,0.0,0.05,1.0,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999997688318899,9.15427122453471,0.992797118847539,-1.163252186561418,0.01404670739105626,0.0
cfg_014,0.0,0.05,1.5,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999994843824003,9.17751379411925,0.992797118847539,-1.1888625256705982,0.020877053562977876,0.0
