metric,value
entry_decision,REAL_MODEL_READY
checkpoint_hash_verified,True
real_prediction_verified,True
selection_locked,True
selection_source,"['transport_recovery_val', 'oracle_graph_trace_bank']"
oracle_path_normalized_gap,0.0
learned_path_probe_normalized_gap,0.0
failure_negative_rate,1.0
recovery_positive_rate,0.75
recovery_positive_weight_coverage,0.75
recovery_cycle_nonpositive_rate,1.0
positive_loop_rate,0.0
loop_return_mean,0.0
success_return_auroc,not_estimable
success_return_spearman,0.5651310178784871
success_minus_failure_return_margin,0.2652299806061711
fixed_order_score_drop,0.0
reward_nonfinite,False
ablation_count,6
statistics_unit,content_group_id
