             task_id                     method  policy_seed      condition  success_rate  recovery_success_rate  n
transport_dual_order                     bc_all     20260909        A_first           0.0                    0.0 50
transport_dual_order                     bc_all     20260909        B_first           1.0                    0.0 50
transport_dual_order                     bc_all     20260910        A_first           1.0                    0.0 50
transport_dual_order                     bc_all     20260910        B_first           1.0                    0.0 50
transport_dual_order                     bc_all     20260911        A_first           1.0                    0.0 50
transport_dual_order                     bc_all     20260911        B_first           1.0                    0.0 50
transport_dual_order          linear_sarm_equiv     20260909        A_first           0.0                    0.0 50
transport_dual_order          linear_sarm_equiv     20260909        B_first           1.0                    0.0 50
transport_dual_order          linear_sarm_equiv     20260910        A_first           1.0                    0.0 50
transport_dual_order          linear_sarm_equiv     20260910        B_first           1.0                    0.0 50
transport_dual_order          linear_sarm_equiv     20260911        A_first           1.0                    0.0 50
transport_dual_order          linear_sarm_equiv     20260911        B_first           1.0                    0.0 50
transport_dual_order pathgraph_reward_v1_locked     20260909        A_first           0.0                    0.0 50
transport_dual_order pathgraph_reward_v1_locked     20260909        B_first           1.0                    0.0 50
transport_dual_order pathgraph_reward_v1_locked     20260910        A_first           1.0                    0.0 50
transport_dual_order pathgraph_reward_v1_locked     20260910        B_first           1.0                    0.0 50
transport_dual_order pathgraph_reward_v1_locked     20260911        A_first           1.0                    0.0 50
transport_dual_order pathgraph_reward_v1_locked     20260911        B_first           1.0                    0.0 50
transport_dual_order      sequential_transition     20260909        A_first           0.0                    0.0 50
transport_dual_order      sequential_transition     20260909        B_first           1.0                    0.0 50
transport_dual_order      sequential_transition     20260910        A_first           1.0                    0.0 50
transport_dual_order      sequential_transition     20260910        B_first           1.0                    0.0 50
transport_dual_order      sequential_transition     20260911        A_first           1.0                    0.0 50
transport_dual_order      sequential_transition     20260911        B_first           0.0                    0.0 50
  transport_recovery                     bc_all     20260909   drop_regrasp           1.0                    1.0 50
  transport_recovery                     bc_all     20260909 gripper_reopen           0.0                    0.0 50
  transport_recovery                     bc_all     20260909        natural           1.0                    0.0 50
  transport_recovery                     bc_all     20260910   drop_regrasp           1.0                    1.0 50
  transport_recovery                     bc_all     20260910 gripper_reopen           1.0                    1.0 50
  transport_recovery                     bc_all     20260910        natural           1.0                    0.0 50
  transport_recovery                     bc_all     20260911   drop_regrasp           0.0                    0.0 50
  transport_recovery                     bc_all     20260911 gripper_reopen           0.0                    0.0 50
  transport_recovery                     bc_all     20260911        natural           1.0                    0.0 50
  transport_recovery          linear_sarm_equiv     20260909   drop_regrasp           1.0                    1.0 50
  transport_recovery          linear_sarm_equiv     20260909 gripper_reopen           0.0                    0.0 50
  transport_recovery          linear_sarm_equiv     20260909        natural           1.0                    0.0 50
  transport_recovery          linear_sarm_equiv     20260910   drop_regrasp           1.0                    1.0 50
  transport_recovery          linear_sarm_equiv     20260910 gripper_reopen           1.0                    1.0 50
  transport_recovery          linear_sarm_equiv     20260910        natural           1.0                    0.0 50
  transport_recovery          linear_sarm_equiv     20260911   drop_regrasp           1.0                    1.0 50
  transport_recovery          linear_sarm_equiv     20260911 gripper_reopen           1.0                    1.0 50
  transport_recovery          linear_sarm_equiv     20260911        natural           1.0                    0.0 50
  transport_recovery pathgraph_reward_v1_locked     20260909   drop_regrasp           1.0                    1.0 50
  transport_recovery pathgraph_reward_v1_locked     20260909 gripper_reopen           1.0                    1.0 50
  transport_recovery pathgraph_reward_v1_locked     20260909        natural           1.0                    0.0 50
  transport_recovery pathgraph_reward_v1_locked     20260910   drop_regrasp           1.0                    1.0 50
  transport_recovery pathgraph_reward_v1_locked     20260910 gripper_reopen           1.0                    1.0 50
  transport_recovery pathgraph_reward_v1_locked     20260910        natural           1.0                    0.0 50
  transport_recovery pathgraph_reward_v1_locked     20260911   drop_regrasp           1.0                    1.0 50
  transport_recovery pathgraph_reward_v1_locked     20260911 gripper_reopen           1.0                    1.0 50
  transport_recovery pathgraph_reward_v1_locked     20260911        natural           1.0                    0.0 50
  transport_recovery      sequential_transition     20260909   drop_regrasp           1.0                    1.0 50
  transport_recovery      sequential_transition     20260909 gripper_reopen           0.0                    0.0 50
  transport_recovery      sequential_transition     20260909        natural           1.0                    0.0 50
  transport_recovery      sequential_transition     20260910   drop_regrasp           1.0                    1.0 50
  transport_recovery      sequential_transition     20260910 gripper_reopen           1.0                    1.0 50
  transport_recovery      sequential_transition     20260910        natural           1.0                    0.0 50
  transport_recovery      sequential_transition     20260911   drop_regrasp           1.0                    1.0 50
  transport_recovery      sequential_transition     20260911 gripper_reopen           1.0                    1.0 50
  transport_recovery      sequential_transition     20260911        natural           1.0                    0.0 50
