episode_id,content_group_id,task_id,scenario,order,split,episode_path,t_start,t_end,action_count,reward_mu,reward_std,reward_lcb,weight_positive,cost_component,phi_component,loop_penalty,recovery_cap_delta,node_confidence,edge_confidence,edge_type_pred,edge_id_pred,positive_norm,linear_transition_return,sequential_transition_return,method,transition_return,raw_positive_weight,gamma,train_q99,normalized_weight,semantic_type
transport_recovery__controlled_failure__006,transport_recovery__controlled_failure_group_006,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__006.npz,0,7,7,0.4513111698130767,0.1978311312604376,0.4513111698130767,0.4513111698130767,0.126873180270195,0.6488759790857633,0.0,0.0,6.0,6.0,0,0,0.5610875730474725,0.269930899143219,0.269930899143219,pathgraph_reward_v1_locked,0.4513111698130767,0.4513111698130767,1.0,0.8043506780266761,0.9836973523694992,failure_onset
transport_recovery__controlled_failure__038,transport_recovery__controlled_failure_group_038,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__038.npz,0,7,7,0.4516803162793318,0.19454484760282217,0.4516803162793318,0.4516803162793318,0.1273487607638041,0.6486631110310553,0.0,0.0,6.0,6.0,0,0,0.5615465102701783,0.2712481915950775,0.2712481915950775,pathgraph_reward_v1_locked,0.4516803162793318,0.4516803162793318,1.0,0.8043506780266761,0.9845019599790164,failure_onset
transport_recovery__controlled_failure__004,transport_recovery__controlled_failure_group_004,transport_recovery,controlled_failure,,val,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__004.npz,0,7,7,0.4518140492339929,0.1954379630418063,0.4518140492339929,0.4518140492339929,0.1273537278175354,0.6489206428329151,0.0,0.0,6.0,6.0,0,0,0.561712772272952,0.27065756916999817,0.27065756916999817,pathgraph_reward_v1_locked,0.4518140492339929,0.4518140492339929,1.0,0.8043506780266761,0.9847934501131497,failure_onset
transport_recovery__controlled_failure__039,transport_recovery__controlled_failure_group_039,transport_recovery,controlled_failure,,val,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__039.npz,0,7,7,0.45190482710798585,0.19640922753421539,0.45190482710798585,0.45190482710798585,0.12753565112749737,0.648738351960977,0.0,0.0,6.0,6.0,0,0,0.5618256308512722,0.27143019437789917,0.27143019437789917,pathgraph_reward_v1_locked,0.45190482710798585,0.45190482710798585,1.0,0.8043506780266761,0.9849913134949437,failure_onset
transport_recovery__controlled_failure__036,transport_recovery__controlled_failure_group_036,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__036.npz,0,7,7,0.45216088866194093,0.1976828490263092,0.45216088866194093,0.45216088866194093,0.12797560294469196,0.6483705714344978,0.0,0.0,6.0,6.0,0,0,0.5621439765193373,0.2730422616004944,0.2730422616004944,pathgraph_reward_v1_locked,0.45216088866194093,0.45216088866194093,1.0,0.8043506780266761,0.9855494363368258,failure_onset
transport_recovery__controlled_failure__024,transport_recovery__controlled_failure_group_024,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__024.npz,0,7,7,0.4523777899642786,0.1992343080864365,0.4523777899642786,0.4523777899642786,0.1281073292096456,0.6485409215092659,0.0,0.0,6.0,6.0,0,0,0.5624136366417976,0.2722965478897095,0.2722965478897095,pathgraph_reward_v1_locked,0.4523777899642786,0.4523777899642786,1.0,0.8043506780266761,0.9860222037999563,failure_onset
transport_recovery__controlled_failure__016,transport_recovery__controlled_failure_group_016,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__016.npz,0,7,7,0.45245033875107765,0.19952279567762782,0.45245033875107765,0.45245033875107765,0.128417174021403,0.6480663294593493,0.0,0.0,6.0,6.0,0,0,0.5625038321109891,0.27527689933776855,0.27527689933776855,pathgraph_reward_v1_locked,0.45245033875107765,0.45245033875107765,1.0,0.8043506780266761,0.9861803342745943,failure_onset
transport_recovery__controlled_failure__019,transport_recovery__controlled_failure_group_019,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__019.npz,0,7,7,0.4528603789707025,0.1992767092103819,0.4528603789707025,0.4528603789707025,0.1288217504819234,0.6480772569775581,0.0,0.0,6.0,6.0,0,0,0.5630136100359991,0.2742610275745392,0.2742610275745392,pathgraph_reward_v1_locked,0.4528603789707025,0.4528603789707025,1.0,0.8043506780266761,0.9870740756782849,failure_onset
transport_recovery__controlled_failure__034,transport_recovery__controlled_failure_group_034,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__034.npz,0,7,7,0.452923271805048,0.19878424246102436,0.452923271805048,0.452923271805048,0.12899605433146158,0.6478544349471728,0.0,0.0,6.0,6.0,0,0,0.5630918008501099,0.2755986154079437,0.2755986154079437,pathgraph_reward_v1_locked,0.452923271805048,0.452923271805048,1.0,0.8043506780266761,0.9872111596211757,failure_onset
transport_recovery__controlled_failure__017,transport_recovery__controlled_failure_group_017,transport_recovery,controlled_failure,,train,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_recovery__controlled_failure__017.npz,0,7,7,0.4529953735570113,0.19703739499212047,0.4529953735570113,0.4529953735570113,0.12904338041941327,0.6479039862751961,0.0,0.0,6.0,6.0,0,0,0.5631814405482328,0.2764289379119873,0.2764289379119873,pathgraph_reward_v1_locked,0.4529953735570113,0.4529953735570113,1.0,0.8043506780266761,0.9873683157193437,failure_onset
