sample_id,episode_id,content_group_id,task_id,split,step,file
transport_dual_order__0072:0,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,0,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:1,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,1,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:2,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,2,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:3,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,3,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:4,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,4,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:5,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,5,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:6,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,6,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:7,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,7,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:8,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,8,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:9,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,9,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:10,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,10,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:11,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,11,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:12,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,12,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:13,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,13,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:14,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,14,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:15,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,15,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:16,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,16,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:17,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,17,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:18,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,18,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:19,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,19,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:20,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,20,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:21,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,21,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:22,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,22,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:23,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,23,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:24,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,24,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:25,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,25,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:26,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,26,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:27,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,27,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:28,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,28,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:29,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,29,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:30,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,30,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:31,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,31,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:32,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,32,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:33,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,33,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:34,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,34,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:35,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,35,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:36,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,36,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:37,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,37,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:38,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,38,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:39,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,39,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:40,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,40,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:41,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,41,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:42,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,42,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:43,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,43,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:44,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,44,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:45,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,45,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:46,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,46,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:47,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,47,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:48,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,48,episodes/transport_dual_order__0072.npz
transport_dual_order__0072:49,transport_dual_order__0072,f17b5015f86d31cb,transport_dual_order,train,49,episodes/transport_dual_order__0072.npz
