variant_id,alternative_support_delta,recovery_support_delta,debt_cap_overshoot_delta,within_node_density_delta,provenance
full_locked,0,0.0,0.0,0.0,mixed_explicit
collapse_alternative_to_A_first,0.30000000000000004,0.0,0.0,0.0,mixed_explicit
collapse_alternative_to_B_first,0.30000000000000004,0.0,0.0,0.0,mixed_explicit
remove_recovery_edge,0,0.75,0.0,0.0,mixed_explicit
no_recovery_debt_cap,0,-0.25,0.2,0.0,mixed_explicit
no_phi,0,0.0,0.0,-0.09999999999999998,mixed_explicit
cost_only,0,0.0,0.0,-0.3,mixed_explicit
eta_probe_0.00,0,0.0,0.0,0.0,mixed_explicit
eta_probe_0.05,0,0.0,0.0,0.0,mixed_explicit
eta_probe_0.10,0,0.0,0.0,0.0,mixed_explicit
eta_probe_0.25,0,0.0,0.0,0.0,mixed_explicit
beta_probe_0.0,0,0.0,0.0,0.0,mixed_explicit
beta_probe_0.5,0,0.0,0.0,0.0,mixed_explicit
beta_probe_1.0,0,0.0,0.0,0.0,mixed_explicit
