variant_id,seed,history_steps,granularity,checkpoint_path,checkpoint_sha256,selection_split,test_used,status
history_1_default,20260906,1,default,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_1_default__s20260906/checkpoints/best.pt,e1fbf51bb1c187eaedeb80a575d1e021a552c64b1e1ad3aa8fb0b0cc24f68a22,val,False,PASS
history_1_default,20260907,1,default,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_1_default__s20260907/checkpoints/best.pt,2c51d72c683d432563e945504b64530623c68cf9033fac7efed351b1f2dc9109,val,False,PASS
history_1_default,20260908,1,default,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_1_default__s20260908/checkpoints/best.pt,bccd7c8f6113146647acf955cc4bbcab23611f9678801a0efab2fa6c1b409dcf,val,False,PASS
history_8_default,20260906,8,default,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_8_default__s20260906/checkpoints/best.pt,3247f8dba185985f8183e9bf36521665f7949e7a8e9bcc46f01921fc7783b797,val,False,PASS
history_8_default,20260907,8,default,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_8_default__s20260907/checkpoints/best.pt,95f1521797643b56a53eb0aa66c706e3e0cccf9912a7e7a01c89b0670c5d3694,val,False,PASS
history_8_default,20260908,8,default,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_8_default__s20260908/checkpoints/best.pt,f4d35bd101cb9aec0284023905daf15fa8a8d74b01d9bbfa82932cd77a62bd74,val,False,PASS
history_32_coarse,20260906,32,coarse,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_coarse__s20260906/checkpoints/best.pt,884a5355f7f897d02a8b2eed21125db4483aa4ef6195cd0cceb6cceb6540bd53,val,False,PASS
history_32_coarse,20260907,32,coarse,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_coarse__s20260907/checkpoints/best.pt,e889783bdbbcc819a7c511ba1384d260630dab98a06bb982a13b8a774869e14c,val,False,PASS
history_32_coarse,20260908,32,coarse,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_coarse__s20260908/checkpoints/best.pt,845db8d2b2adaedbe6b053b9f3c0f81a106363266eff3e529543a9077774ef1d,val,False,PASS
history_32_fine,20260906,32,fine_progress_split,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_fine__s20260906/checkpoints/best.pt,554185581407636327bb1de1e84fcc34b6b639880604e172e7b553e6e8a3abc8,val,False,PASS
history_32_fine,20260907,32,fine_progress_split,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_fine__s20260907/checkpoints/best.pt,aa6d2517cea642e7c12256a8e4d9f1db51a5c7018be397167bc31e2e9f1d97a9,val,False,PASS
history_32_fine,20260908,32,fine_progress_split,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/jobs/history_32_fine__s20260908/checkpoints/best.pt,b6b479788ea845ebee4f16a9af0cd7d568f971e7124406cf985a5128d8e063d2,val,False,PASS
