episode_id,task_id,scenario,outcome,path_signature,controller_source,source_path,resolved_source_path,split_original,content_sha256,content_group_id,content_group_size,representative_episode_id,analysis_weight,is_representative,has_failure,has_recovery,n_steps,node_vocab_size,edge_vocab_size,file,holdout_direction,provenance
transport_dual_order__0052,transport_dual_order,order_A_then_B,success,A>B,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0052.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0052.json,train,d0369abdc1e18f99b55f29e50f77ae5713d76b1ee3b65224a139c8a3331e8974,d0369abdc1e18f99,20,transport_dual_order__0052,0.05,true,false,false,120,4,6,episodes/transport_dual_order__0052.npz,A_first_train,derived_order_holdout
transport_dual_order__0072,transport_dual_order,order_B_then_A,success,B>A,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0072.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0072.json,train,f17b5015f86d31cb48e4303a3575bf2248ada6d5fc05a66184ebc73225a87716,f17b5015f86d31cb,36,transport_dual_order__0072,0.027777777777777776,true,false,false,120,4,6,episodes/transport_dual_order__0072.npz,A_first_train,derived_order_holdout
transport_recovery__0000,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0000.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0000.json,test,48192627e0ecdae9b3252d693ac4489e958db254f14595467a0134a7c162a466,48192627e0ecdae9,1,transport_recovery__0000,1.0,true,false,false,120,8,8,episodes/transport_recovery__0000.npz,A_first_train,derived_order_holdout
transport_recovery__0001,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0001.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0001.json,train,4cfce12dac6f185204acf5f4e4657c84f38427418e655aa4dae1e19cfb5a696f,4cfce12dac6f1852,1,transport_recovery__0001,1.0,true,false,false,120,8,8,episodes/transport_recovery__0001.npz,A_first_train,derived_order_holdout
transport_recovery__0002,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0002.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0002.json,test,837420c3bbd731ac1f23125af5b030af1edad09a33e7779ee327d70f6f0694c9,837420c3bbd731ac,1,transport_recovery__0002,1.0,true,false,false,120,8,8,episodes/transport_recovery__0002.npz,A_first_train,derived_order_holdout
transport_recovery__0003,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0003.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0003.json,train,2f640d3128f9a26143319f2e4d5b49d66bfee4c2d7b2ab3d158d07c3e9c9872f,2f640d3128f9a261,1,transport_recovery__0003,1.0,true,false,false,120,8,8,episodes/transport_recovery__0003.npz,A_first_train,derived_order_holdout
transport_recovery__0004,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0004.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0004.json,train,ae210ba3a43c0910a2c293183417646378c03e97e3b1ac534b4f9e030d78f093,ae210ba3a43c0910,1,transport_recovery__0004,1.0,true,false,false,120,8,8,episodes/transport_recovery__0004.npz,A_first_train,derived_order_holdout
transport_recovery__0005,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0005.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0005.json,train,66e9524f274ef99fb3b4021a93555afe006e82adda0dc15036be3f206c538b30,66e9524f274ef99f,1,transport_recovery__0005,1.0,true,false,false,120,8,8,episodes/transport_recovery__0005.npz,A_first_train,derived_order_holdout
transport_recovery__0006,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0006.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0006.json,train,ea43d5392b366608a5a872db16acbe95963fb8897a430327ea832897f4c1420d,ea43d5392b366608,1,transport_recovery__0006,1.0,true,false,false,120,8,8,episodes/transport_recovery__0006.npz,A_first_train,derived_order_holdout
transport_recovery__0007,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0007.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0007.json,train,1c73f1887e153691784129429523bf2731bbd1f2a4846178cae507e9d6a23e88,1c73f1887e153691,1,transport_recovery__0007,1.0,true,false,false,120,8,8,episodes/transport_recovery__0007.npz,A_first_train,derived_order_holdout
transport_recovery__0008,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0008.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0008.json,test,5693f89cc383bd642d5a1398cf21de6c9b37005c4243053216209d99d5bc7c9e,5693f89cc383bd64,1,transport_recovery__0008,1.0,true,false,false,120,8,8,episodes/transport_recovery__0008.npz,A_first_train,derived_order_holdout
transport_recovery__0009,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0009.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0009.json,test,1adab7de79a087b3e77731dc86f6d2d847e1f34eb11b7f184267d39d5ca89377,1adab7de79a087b3,1,transport_recovery__0009,1.0,true,false,false,120,8,8,episodes/transport_recovery__0009.npz,A_first_train,derived_order_holdout
transport_recovery__0010,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0010.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0010.json,train,f9f56194a3c4cb0449d202953004a2305537978c21d4454749e59ed218805f12,f9f56194a3c4cb04,1,transport_recovery__0010,1.0,true,false,false,120,8,8,episodes/transport_recovery__0010.npz,A_first_train,derived_order_holdout
transport_recovery__0011,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0011.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0011.json,train,c00409929997554aa138695fdcb269212eec41fa5a182ed238dab6b9dd534627,c00409929997554a,1,transport_recovery__0011,1.0,true,false,false,120,8,8,episodes/transport_recovery__0011.npz,A_first_train,derived_order_holdout
transport_recovery__0012,transport_recovery,natural_success,success,forward,scripted_oracle,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0012.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_recovery__0012.json,train,7138dc8d62bfd4ec1a7f8c1d8f3caef2147bdba983915deced99cb49ec351fe1,7138dc8d62bfd4ec,1,transport_recovery__0012,1.0,true,false,false,120,8,8,episodes/transport_recovery__0012.npz,A_first_train,derived_order_holdout
