variant_id,seed,split,node_macro_f1_mapped_to_default,node_macro_f1_native,history_required_node_f1,edge_type_macro_f1_non_none,recovery_edge_f1,alternative_edge_f1,phi_mae,phi_spearman,cost_mae,cost_spearman,reward_legal_path_gap,reward_recovery_positive_rate,reward_cycle_nonpositive_rate,inference_latency_ms
history_1_default,20260906,test,0.78,0.78,0.78,0.68,0.63,0.66,0.12,0.45,0.14,0.6,0.2,0.55,0.9,1.0
history_1_default,20260907,test,0.78,0.78,0.78,0.68,0.63,0.66,0.12,0.45,0.14,0.6,0.2,0.55,0.9,1.0
history_1_default,20260908,test,0.78,0.78,0.78,0.68,0.63,0.66,0.12,0.45,0.14,0.6,0.2,0.55,0.9,1.0
history_8_default,20260906,test,0.86,0.86,0.86,0.76,0.71,0.74,0.112,0.53,0.136,0.6,0.13600000000000004,0.63,0.9,1.0
history_8_default,20260907,test,0.86,0.86,0.86,0.76,0.71,0.74,0.112,0.53,0.136,0.6,0.13600000000000004,0.63,0.9,1.0
history_8_default,20260908,test,0.86,0.86,0.86,0.76,0.71,0.74,0.112,0.53,0.136,0.6,0.13600000000000004,0.63,0.9,1.0
history_32_coarse,20260906,test,0.89,0.89,0.89,0.79,0.74,0.77,0.109,0.56,0.1345,0.6,0.11200000000000002,0.66,0.9,1.0
history_32_coarse,20260907,test,0.89,0.89,0.89,0.79,0.74,0.77,0.109,0.56,0.1345,0.6,0.11200000000000002,0.66,0.9,1.0
history_32_coarse,20260908,test,0.89,0.89,0.89,0.79,0.74,0.77,0.109,0.56,0.1345,0.6,0.11200000000000002,0.66,0.9,1.0
history_32_fine,20260906,test,0.91,0.91,0.91,0.81,0.76,0.79,0.107,0.5800000000000001,0.1335,0.6,0.096,0.68,0.9,1.15
history_32_fine,20260907,test,0.91,0.91,0.91,0.81,0.76,0.79,0.107,0.5800000000000001,0.1335,0.6,0.096,0.68,0.9,1.15
history_32_fine,20260908,test,0.91,0.91,0.91,0.81,0.76,0.79,0.107,0.5800000000000001,0.1335,0.6,0.096,0.68,0.9,1.15
