train_fraction,edge_type,f1,provenance
0.25,alternative,0.716,real_or_environment_rollout
0.25,recovery,0.699,real_or_environment_rollout
0.25,failure,0.917,real_or_environment_rollout
0.25,forward_branch,0.78,real_or_environment_rollout
0.5,alternative,0.764,real_or_environment_rollout
0.5,recovery,0.741,real_or_environment_rollout
0.5,failure,0.923,real_or_environment_rollout
0.5,forward_branch,0.84,real_or_environment_rollout
1.0,alternative,0.82,stage5_frozen_main_model
1.0,recovery,0.79,stage5_frozen_main_model
1.0,failure,0.93,stage5_frozen_main_model
1.0,forward_branch,0.91,stage5_frozen_main_model
