proposal_id,change_point_quantile,clusters,seed,status,provenance
q080_k05_s20261301,0.8,5,20261301,PASS,auto_graph_discovery
q080_k07_s20261301,0.8,7,20261301,PASS,auto_graph_discovery
q080_k09_s20261301,0.8,9,20261301,PASS,auto_graph_discovery
q080_k11_s20261301,0.8,11,20261301,PASS,auto_graph_discovery
q090_k05_s20261301,0.9,5,20261301,PASS,auto_graph_discovery
q090_k07_s20261301,0.9,7,20261301,PASS,auto_graph_discovery
q090_k09_s20261301,0.9,9,20261301,PASS,auto_graph_discovery
q090_k11_s20261301,0.9,11,20261301,PASS,auto_graph_discovery
q095_k05_s20261301,0.95,5,20261301,PASS,auto_graph_discovery
q095_k07_s20261301,0.95,7,20261301,PASS,auto_graph_discovery
q095_k09_s20261301,0.95,9,20261301,PASS,auto_graph_discovery
q095_k11_s20261301,0.95,11,20261301,PASS,auto_graph_discovery
