category,result_id,point_estimate,ci95_low,ci95_high,support_status,provenance,statistics_unit
supported_primary_result,path_consistency,0.0,0.0,0.0,supported,limited_controlled_support,content_group_id
supported_primary_result,failure_sign,1.0,1.0,1.0,supported,group_bootstrap,content_group_id
supported_primary_result,recovery_sign,0.75,0.75,0.75,supported,group_bootstrap,content_group_id
supported_primary_result,loop_safety,1.0,1.0,1.0,supported,limited_controlled_support,content_group_id
supported_primary_result,success_separation,0.2652299461265408,0.1512855296954511,0.3796341159794894,supported,group_bootstrap,content_group_id
qualified_or_inconclusive_primary_result,alternative_A_collapse,1.5,0.0,3.0,not_supported_or_inconclusive,limited_controlled_support,content_group_id
qualified_or_inconclusive_primary_result,alternative_B_collapse,1.5,0.0,3.0,not_supported_or_inconclusive,limited_controlled_support,content_group_id
supported_primary_result,remove_recovery,0.1604166666666666,0.1125,0.21875,supported,group_bootstrap,content_group_id
supported_primary_result,remove_debt_cap,-0.625,-0.625,-0.625,supported,group_bootstrap,content_group_id
qualified_or_inconclusive_primary_result,remove_phi,0.0,0.0,0.0,not_supported_or_inconclusive,group_bootstrap,content_group_id
qualified_auxiliary_result,node_macro_f1,0.7348406699430963,,,descriptive_checkpoint_reproduction,stage8_reproduced_reward_main_table,content_group_id
qualified_auxiliary_result,edge_type_macro_f1_non_none,0.6200716845878137,,,descriptive_checkpoint_reproduction,stage8_reproduced_reward_main_table,content_group_id
qualified_auxiliary_result,phi_mae,0.1507091883382895,,,descriptive_checkpoint_reproduction,stage8_reproduced_reward_main_table,content_group_id
qualified_auxiliary_result,cost_mae,0.1666356849486011,,,descriptive_checkpoint_reproduction,stage8_reproduced_reward_main_table,content_group_id
unsupported_or_negative_result,stable policy improvement,,,,excluded_by_final_claim_scope,final_claim_scope_lock,content_group_id
unsupported_or_negative_result,coverage scaling generalization,,,,excluded_by_final_claim_scope,final_claim_scope_lock,content_group_id
unsupported_or_negative_result,unseen-order generalization,,,,excluded_by_final_claim_scope,final_claim_scope_lock,content_group_id
unsupported_or_negative_result,automatic graph discovery as main contribution,,,,excluded_by_final_claim_scope,final_claim_scope_lock,content_group_id
unsupported_or_negative_result,nonzero beta or eta as validated main components,,,,excluded_by_final_claim_scope,final_claim_scope_lock,content_group_id
