name	path	exists	size_bytes	sha256
claim_scope	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_inputs_v1/locks/final_claim_scope.json	True	936	0497142f043aa82696a0e3dbba632f3d2d33a200dbaf6540967f35f0fb685fbf
model_bundle	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/stage6_inputs/reward_v1_persistent/configs/model_bundle_persistent.json	True	1922	173e009cb1ac6251106acc99345cd41cf25d566e8a50b8e6e3ee00dbc9d921b0
checkpoint_manifest	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_inputs_v1/manifests/final_checkpoint_manifest.tsv	True	1394	1eb9d2c55da9280a98380bc53086591968132feee0854d91a90d32b2d1e545f3
sample_index	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage4/supervision_v1/tables/sample_index.csv.gz	True	34617	e065077c585cc349b663fa5f396f65bc7d1cbc9e223592d6e7b8e759bf3fcbf2
episode_manifest	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage4/supervision_v1/tables/episode_manifest.csv	True	29318	66c7385ce40131f3d84510fe8d24c36270e5bcc61d5498b8ed82fd6a39ac800c
content_group_split	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage4/supervision_v1/tables/content_group_split.csv	True	2331	77eb5bdc2e2af3a592f948630fc8a1e5b5b302d3509787d3d76fb52b01f18a33
feature_schema	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage4/supervision_v1/configs/feature_schema.json	True	276	a096c340890f2a807c9a07a634db92068df5bdb91292b5ddc0d998ba4318da64
label_maps	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage4/supervision_v1/configs/label_maps.json	True	1457	9fc8e12be855ab7b85501eb360e8f4e2e24672eb0d4e00e4298b216dd3da3473
cost_target_spec	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage4/supervision_v1/configs/cost_target_spec.yaml	True	376	6be0a1a549bd50757c54b7046d69d8920270f63d0d2d0d53ca574535d05eb71d
diagnostic_episodes	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage3/diagnostic_suite_v1/tables/diagnostic_episodes.csv	True	17545	79b342e7a886f3e82bed8f129584b56e78df04d2f26f47645a6f32dbd7067672
reference_val_predictions	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/real_predictions_v1/tables/ensemble_val_predictions.jsonl.gz	True	592688	d6504f0a52ab340b30d6b695d866fe7dc8f736d83c6228088757bbfb336f9995
reference_test_predictions	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/real_predictions_v1/tables/ensemble_test_predictions.jsonl.gz	True	1094510	ee7b07c2d7556bb8314446c1f757c7a9be1ee989ea3344d2136dc42b426d2313
reference_diagnostic_predictions	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/real_predictions_v1/tables/ensemble_stage3_diagnostic_predictions.jsonl.gz	True	1686187	dba7dd1e51b898f935f18ebe8f99dd1ccf51b55ff8fee8623ac8351371ff2d12
reward_config	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/reward_v1/configs/reward_config_v1.yaml	True	184	a77be6392b6347c6f2261af4cea7a6ae83ca81dd17a50e076f0e229c41cb196b
reward_lock	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/reward_v1/configs/reward_selection_lock.json	True	899	cf76c1582cba79a772c2686229276eeb1a97670268e208fb7ff70ce9fdb0229e
reward_engine	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage5/reward_v1/code/reward_engine.py	True	4598	e49892276707d0077d5c43975e5c4441a1b2757b982093d4a0c82f6f6507794c
reward_main_table	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/reward_main_table.csv	True	1987	39c7623e4853699cd0f76e85fa5349b6a46049f4361045a93004e7c17d8a5537
core_ablation_effects	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/core_ablation_effects.csv	True	840	0efaf0e5fbb14f3f49b17d4945a19e94b44dee78c91a78db9dc942c265aea720
history_granularity	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/history_granularity_summary.csv	True	542	d7a5a7f208e30090f4cfe2fb61e4945efa827f9550cda9ef221c38418fe9faf6
uncertainty	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/uncertainty_error_detection.csv	True	204	1686df13a416c73fd9d91b4d0e868b9e1289f4378018e49e7da2a383f68c8491
