artifact_id,artifact_type,source_path,source_kind,statistics_unit_or_scope,unsupported_claim_in_main
table_1_main_reward_results,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/tables/reproduced_reward_main_table.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_1_main_reward_results,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_statistics_v1/tables/final_bootstrap_effects.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_2_structural_ablations,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/tables/reproduced_core_ablation_effects.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_2_structural_ablations,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_statistics_v1/tables/final_bootstrap_effects.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_3_model_components,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/tables/reproduced_model_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_4_final_claim_scope,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/final_statistics_v1/tables/final_result_summary.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_A1_model_seed_results,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/tables/reproduced_model_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_A2_history_granularity,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/history_granularity_summary.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_A3_uncertainty,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/uncertainty_error_detection.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_A4_policy_secondary_mixed,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/policy_secondary_evidence.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_A5_negative_extensions,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/coverage_scaling_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
table_A5_negative_extensions,table,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_refine1/g4_refine1_v1/tables/ood_reward_metrics.csv,final_csv,content_group_id_or_explicit_auxiliary_provenance,False
