probe_id,root_family_id,stratum,split,source_kind,observation_intervention,observation_count,decision_frame_index,content_group_sha256
L2RA_D_00_00_430000_r00,L2RA_D_00_00_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_00_430000_r01,L2RA_D_00_00_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_00_430000_r02,L2RA_D_00_00_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_00_430000_r03,L2RA_D_00_00_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_01_430000_r00,L2RA_D_00_01_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,d1365c434ecc283377c9e51569e053d3a0ee8c26dc0e88aac42ff2345b4a7161
L2RA_D_00_01_430000_r01,L2RA_D_00_01_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,d1365c434ecc283377c9e51569e053d3a0ee8c26dc0e88aac42ff2345b4a7161
L2RA_D_00_01_430000_r02,L2RA_D_00_01_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,d1365c434ecc283377c9e51569e053d3a0ee8c26dc0e88aac42ff2345b4a7161
L2RA_D_00_01_430000_r03,L2RA_D_00_01_430000,miss_without_prior_hold,dev_fit,new_dynamic_mujoco_probe,False,6,2,d1365c434ecc283377c9e51569e053d3a0ee8c26dc0e88aac42ff2345b4a7161
L2RA_D_00_02_430000_r00,L2RA_D_00_02_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_02_430000_r01,L2RA_D_00_02_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_02_430000_r02,L2RA_D_00_02_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_02_430000_r03,L2RA_D_00_02_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_03_430000_r00,L2RA_D_00_03_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_03_430000_r01,L2RA_D_00_03_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_03_430000_r02,L2RA_D_00_03_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_00_03_430000_r03,L2RA_D_00_03_430000,miss_without_prior_hold,dev_select,new_dynamic_mujoco_probe,False,6,2,2fe89eb6527a60db2e1b9e5409fe31650bdf8e59c31febc1ef2de430363a4f39
L2RA_D_01_00_430000_r00,L2RA_D_01_00_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,96df9e87d019dce62bd726a5b850a571150f0a0cd8fc87ceb26c56c202b47087
L2RA_D_01_00_430000_r01,L2RA_D_01_00_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,96df9e87d019dce62bd726a5b850a571150f0a0cd8fc87ceb26c56c202b47087
L2RA_D_01_00_430000_r02,L2RA_D_01_00_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,96df9e87d019dce62bd726a5b850a571150f0a0cd8fc87ceb26c56c202b47087
L2RA_D_01_00_430000_r03,L2RA_D_01_00_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,96df9e87d019dce62bd726a5b850a571150f0a0cd8fc87ceb26c56c202b47087
L2RA_D_01_01_430000_r00,L2RA_D_01_01_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,8d6b731fbb9a157deeb7342b21af893ba57c2973dda5361117b4c943af9e68d9
L2RA_D_01_01_430000_r01,L2RA_D_01_01_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,8d6b731fbb9a157deeb7342b21af893ba57c2973dda5361117b4c943af9e68d9
L2RA_D_01_01_430000_r02,L2RA_D_01_01_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,8d6b731fbb9a157deeb7342b21af893ba57c2973dda5361117b4c943af9e68d9
L2RA_D_01_01_430000_r03,L2RA_D_01_01_430000,loss_after_observed_hold,dev_fit,new_dynamic_mujoco_probe,False,8,4,8d6b731fbb9a157deeb7342b21af893ba57c2973dda5361117b4c943af9e68d9
L2RA_D_01_02_430000_r00,L2RA_D_01_02_430000,loss_after_observed_hold,dev_select,new_dynamic_mujoco_probe,False,8,4,9eb293adbabd142f5dd59b7d22a566769183eb2e6aa9634dd1b146d84d11d8d8
L2RA_D_01_02_430000_r01,L2RA_D_01_02_430000,loss_after_observed_hold,dev_select,new_dynamic_mujoco_probe,False,8,4,9eb293adbabd142f5dd59b7d22a566769183eb2e6aa9634dd1b146d84d11d8d8
L2RA_D_01_02_430000_r02,L2RA_D_01_02_430000,loss_after_observed_hold,dev_select,new_dynamic_mujoco_probe,False,8,4,9eb293adbabd142f5dd59b7d22a566769183eb2e6aa9634dd1b146d84d11d8d8
L2RA_D_01_02_430000_r03,L2RA_D_01_02_430000,loss_after_observed_hold,dev_select,new_dynamic_mujoco_probe,False,8,4,9eb293adbabd142f5dd59b7d22a566769183eb2e6aa9634dd1b146d84d11d8d8
