events,frames,observation_intervention,path,rollout_id,rollout_seed,root_family_id,schema,simulator_scenario_reference_only,source_kind,split,stratum
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_00_430000/rollout_00,L2RA_D_00_00_430000_r00,43100000,L2RA_D_00_00_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_00_430000/rollout_01,L2RA_D_00_00_430000_r01,43100001,L2RA_D_00_00_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_00_430000/rollout_02,L2RA_D_00_00_430000_r02,43100002,L2RA_D_00_00_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_00_430000/rollout_03,L2RA_D_00_00_430000_r03,43100003,L2RA_D_00_00_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_01_430000/rollout_00,L2RA_D_00_01_430000_r00,43100100,L2RA_D_00_01_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_01_430000/rollout_01,L2RA_D_00_01_430000_r01,43100101,L2RA_D_00_01_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_01_430000/rollout_02,L2RA_D_00_01_430000_r02,43100102,L2RA_D_00_01_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_01_430000/rollout_03,L2RA_D_00_01_430000_r03,43100103,L2RA_D_00_01_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_fit,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_02_430000/rollout_00,L2RA_D_00_02_430000_r00,43100200,L2RA_D_00_02_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
"['missed_grasp', 'contact_established', 'recovery_achieved']",6,False,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/edge_ambiguity_l2ra_v1/data/new_development/rollouts/L2RA_D_00_02_430000/rollout_01,L2RA_D_00_02_430000_r01,43100201,L2RA_D_00_02_430000,pathgraph_l2ra_probe_rollout_v1,missed_grasp_then_retry,new_dynamic_mujoco_probe,dev_select,miss_without_prior_hold
