rollout_id,root_family_id,scenario,data_role,selected_branch_legacy,legacy_ambiguous,any_raw_overlap,overlap_frames,valid_observation_frames
L2C_04_00_220799_r00,L2C_04_00_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_00_220799_r01,L2C_04_00_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_00_220799_r02,L2C_04_00_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_00_220799_r03,L2C_04_00_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_01_220799_r00,L2C_04_01_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_01_220799_r01,L2C_04_01_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_01_220799_r02,L2C_04_01_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_01_220799_r03,L2C_04_01_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_02_220799_r00,L2C_04_02_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_02_220799_r01,L2C_04_02_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_02_220799_r02,L2C_04_02_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
L2C_04_02_220799_r03,L2C_04_02_220799,slip_then_recover,historical_diagnosis_only,recover_object,True,True,1,16
