event_id,rollout_id,root_family_id,reference_event_type,reference_label_status,frame_index,raw_overlap_at_event
L2C_00_00_220799_r00_event_01,L2C_00_00_220799_r00,L2C_00_00_220799,release_expected,reference_labeled,6,False
L2C_00_00_220799_r01_event_01,L2C_00_00_220799_r01,L2C_00_00_220799,release_expected,reference_labeled,6,False
L2C_00_00_220799_r02_event_01,L2C_00_00_220799_r02,L2C_00_00_220799,release_expected,reference_labeled,6,False
L2C_00_00_220799_r03_event_01,L2C_00_00_220799_r03,L2C_00_00_220799,release_expected,reference_labeled,6,False
L2C_00_01_220799_r00_event_01,L2C_00_01_220799_r00,L2C_00_01_220799,release_expected,reference_labeled,6,False
L2C_00_01_220799_r01_event_01,L2C_00_01_220799_r01,L2C_00_01_220799,release_expected,reference_labeled,6,False
L2C_00_01_220799_r02_event_01,L2C_00_01_220799_r02,L2C_00_01_220799,release_expected,reference_labeled,6,False
L2C_00_01_220799_r03_event_01,L2C_00_01_220799_r03,L2C_00_01_220799,release_expected,reference_labeled,6,False
L2C_00_02_220799_r00_event_01,L2C_00_02_220799_r00,L2C_00_02_220799,release_expected,reference_labeled,6,False
L2C_00_02_220799_r01_event_01,L2C_00_02_220799_r01,L2C_00_02_220799,release_expected,reference_labeled,6,False
L2C_00_02_220799_r02_event_01,L2C_00_02_220799_r02,L2C_00_02_220799,release_expected,reference_labeled,6,False
L2C_00_02_220799_r03_event_01,L2C_00_02_220799_r03,L2C_00_02_220799,release_expected,reference_labeled,6,False
L2C_02_00_220799_r00_event_01,L2C_02_00_220799_r00,L2C_02_00_220799,release_expected,reference_labeled,6,False
L2C_02_00_220799_r01_event_01,L2C_02_00_220799_r01,L2C_02_00_220799,release_expected,reference_labeled,6,False
L2C_02_00_220799_r02_event_01,L2C_02_00_220799_r02,L2C_02_00_220799,release_expected,reference_labeled,6,False
L2C_02_00_220799_r03_event_01,L2C_02_00_220799_r03,L2C_02_00_220799,release_expected,reference_labeled,6,False
L2C_02_01_220799_r00_event_01,L2C_02_01_220799_r00,L2C_02_01_220799,release_expected,reference_labeled,6,False
L2C_02_01_220799_r01_event_01,L2C_02_01_220799_r01,L2C_02_01_220799,release_expected,reference_labeled,6,False
L2C_02_01_220799_r02_event_01,L2C_02_01_220799_r02,L2C_02_01_220799,release_expected,reference_labeled,6,False
L2C_02_01_220799_r03_event_01,L2C_02_01_220799_r03,L2C_02_01_220799,release_expected,reference_labeled,6,False
L2C_02_02_220799_r00_event_01,L2C_02_02_220799_r00,L2C_02_02_220799,release_expected,reference_labeled,6,False
L2C_02_02_220799_r01_event_01,L2C_02_02_220799_r01,L2C_02_02_220799,release_expected,reference_labeled,6,False
L2C_02_02_220799_r02_event_01,L2C_02_02_220799_r02,L2C_02_02_220799,release_expected,reference_labeled,6,False
L2C_02_02_220799_r03_event_01,L2C_02_02_220799_r03,L2C_02_02_220799,release_expected,reference_labeled,6,False
L2C_03_00_220799_r00_event_01,L2C_03_00_220799_r00,L2C_03_00_220799,missed_grasp_retry_required,reference_labeled,2,False
L2C_03_00_220799_r00_event_02,L2C_03_00_220799_r00,L2C_03_00_220799,recovery_achieved_observed,reference_labeled,3,False
