candidate_id,stratum,opportunities,false_emergency,false_emergency_rate
D_priority_only,commanded_release,8,0,0.0
D_priority_only,touch_without_hold_then_loss,8,8,1.0
C1_current_event_exclusion,commanded_release,8,0,0.0
C1_current_event_exclusion,touch_without_hold_then_loss,8,8,1.0
C2_attempt_scoped_event_memory_h1_l1,commanded_release,8,0,0.0
C2_attempt_scoped_event_memory_h1_l1,touch_without_hold_then_loss,8,4,0.5
C2_attempt_scoped_event_memory_h1_l2,commanded_release,8,0,0.0
C2_attempt_scoped_event_memory_h1_l2,touch_without_hold_then_loss,8,4,0.5
C2_attempt_scoped_event_memory_h2_l1,commanded_release,8,0,0.0
C2_attempt_scoped_event_memory_h2_l1,touch_without_hold_then_loss,8,0,0.0
C2_attempt_scoped_event_memory_h2_l2,commanded_release,8,0,0.0
C2_attempt_scoped_event_memory_h2_l2,touch_without_hold_then_loss,8,0,0.0
