rollout_id,root_family_id,case_id,physical_loss_status,independent_source,physical_loss_recall,denominator_reason
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,unresolved,none_recorded_in_this_round,NOT_ESTIMABLE,no_new_independent_physical_evidence
