method,input_tier,rollout_id,time,capture_order,h,e,cos,rho,evidence_valid,evidence_duration
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.05,0,0.0,,,,False,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.05,0,0.0,,,,False,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_R,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.05,0,0.0,,,,False,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.3,6,-0.0038098768925256543,,0.21686187669771226,0.9723774520107079,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.35,8,-0.0030986708141547137,,-0.21643091345582083,0.991294416072464,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.4,9,-0.0028654013373354825,,,,True,0.0
S_G_HR,S,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,0.45,11,-0.002694928948146158,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.05,0,0.0,,,,False,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.1,1,-0.007083017791394641,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.15,3,-0.005145930134889176,,,,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.2,4,-0.0045888513892378135,,-0.5216567860584848,0.9959968497923816,True,0.0
S_G_H,S,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,0.25,5,-0.005119769400062313,,0.335962580775905,0.9894659288761513,True,0.0
