rollout_id,root_family_id,case_id,method_id,candidate_anchor_anchor_time,candidate_anchor_anchor_capture_order,candidate_anchor_max_drift_m,candidate_anchor_window_start,candidate_anchor_window_end,candidate_anchor_sample_count,last_on_anchor_anchor_time,last_on_anchor_anchor_capture_order,last_on_anchor_max_drift_m,last_on_anchor_window_start,last_on_anchor_window_end,last_on_anchor_sample_count,relative_loss_gate_m,candidate_relative_exit_triggered,event_contact_lost_time
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,S_G_R,0.5,12,0.010053,0.5,1.35,18,0.8,19,0.007866,0.8,1.35,12,0.02,False,0.8
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,S_G_HR,0.5,12,0.010053,0.5,1.35,18,0.8,19,0.007866,0.8,1.35,12,0.02,False,0.8
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,S_G_R,0.5,12,0.010053,0.5,1.2,15,0.65,16,0.007866,0.65,1.2,12,0.02,False,0.65
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,S_G_HR,0.5,12,0.010053,0.5,1.2,15,0.65,16,0.007866,0.65,1.2,12,0.02,False,0.65
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,S_G_R,0.5,12,0.016834,0.5,2.1,33,0.8,19,0.014659,0.8,2.1,27,0.02,False,0.8
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,S_G_HR,0.5,12,0.016834,0.5,2.1,33,0.8,19,0.014659,0.8,2.1,27,0.02,False,0.8
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,S_G_R,0.5,12,0.010601,0.5,1.4,19,0.85,20,0.007988,0.85,1.4,12,0.02,False,0.85
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,S_G_HR,0.5,12,0.010601,0.5,1.4,19,0.85,20,0.007988,0.85,1.4,12,0.02,False,0.85
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,S_G_R,0.5,12,0.010601,0.5,1.25,16,0.7,17,0.007988,0.7,1.25,12,0.02,False,0.7
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,S_G_HR,0.5,12,0.010601,0.5,1.25,16,0.7,17,0.007988,0.7,1.25,12,0.02,False,0.7
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,S_G_R,0.5,12,0.017543,0.5,2.15,34,0.85,20,0.014977,0.85,2.15,27,0.02,False,0.85
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,S_G_HR,0.5,12,0.017543,0.5,2.15,34,0.85,20,0.014977,0.85,2.15,27,0.02,False,0.85
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,S_G_R,0.5,12,0.009892,0.5,1.45,20,0.9,21,0.007028,0.9,1.45,12,0.02,False,0.9
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,S_G_HR,0.5,12,0.009892,0.5,1.45,20,0.9,21,0.007028,0.9,1.45,12,0.02,False,0.9
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,S_G_R,0.5,12,0.009892,0.5,1.3,17,0.75,18,0.007028,0.75,1.3,12,0.02,False,0.75
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,S_G_HR,0.5,12,0.009892,0.5,1.3,17,0.75,18,0.007028,0.75,1.3,12,0.02,False,0.75
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,S_G_R,0.5,12,0.015906,0.5,2.2,35,0.9,21,0.013042,0.9,2.2,27,0.02,False,0.9
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,S_G_HR,0.5,12,0.015906,0.5,2.2,35,0.9,21,0.013042,0.9,2.2,27,0.02,False,0.9
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,S_G_R,0.5,12,0.010593,0.5,1.4,19,0.85,20,0.008448,0.85,1.4,12,0.02,False,0.85
