rollout_id,root_family_id,case_id,transition_found,last_on_time,last_on_capture_order,first_off_time,first_off_capture_order,transition_interval_start,transition_interval_end,transition_order_status,event_contact_lost_time,event_vs_weld_transition_relation
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,True,0.8,19,0.85,20,0.8,0.85,STRICTLY_LATER_TIME,0.8,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,True,0.65,16,0.7,17,0.65,0.7,STRICTLY_LATER_TIME,0.65,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,True,0.8,19,0.85,20,0.8,0.85,STRICTLY_LATER_TIME,0.8,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,True,0.85,20,0.9,21,0.85,0.9,STRICTLY_LATER_TIME,0.85,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,True,0.7,17,0.75,18,0.7,0.75,STRICTLY_LATER_TIME,0.7,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,True,0.85,20,0.9,21,0.85,0.9,STRICTLY_LATER_TIME,0.85,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,True,0.9,21,0.95,22,0.9,0.95,STRICTLY_LATER_TIME,0.9,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,True,0.75,18,0.8,19,0.75,0.8,STRICTLY_LATER_TIME,0.75,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,True,0.9,21,0.95,22,0.9,0.95,STRICTLY_LATER_TIME,0.9,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,True,0.85,20,0.9,21,0.85,0.9,STRICTLY_LATER_TIME,0.85,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,True,0.7,17,0.75,18,0.7,0.75,STRICTLY_LATER_TIME,0.7,EVENT_INSIDE_TRANSITION_INTERVAL
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,True,0.85,20,0.9,21,0.85,0.9,STRICTLY_LATER_TIME,0.85,EVENT_INSIDE_TRANSITION_INTERVAL
