rollout_id,split,before_dense_sha256,after_dense_sha256,before_count,after_count,timestamps_strictly_increasing,physical_rollout_reexecuted
L2RAR1_BRIE_00_510000_r00,dev_fit,f03b626303da17ac738d38a76cc8327ae58dd7cfa7b8534818a6ad247ba3086d,89afa9d2229e7b9f6a708a21a49a783ac2e8f72a329dfd6aa0e1c1c94ef4df01,31,31,True,False
L2RAR1_BRIE_00_510000_r01,dev_fit,6ea2f9abb80307e008247e392389028ef1284e296f1957114a70e88107c5cf0f,a99511a4c5d8d4440c26f832146ef3d9f45afe7894efed51c1de4f38a127830d,33,33,True,False
L2RAR1_BRIE_00_510000_r02,dev_fit,f7adee605613e8f6a7943d34a280ff15f629bb1ee5cdc6a00dc3b34034166cea,eb68ff360cbbc98c53e588e65fe335338889fab7572a02fe16fbc7b79da7dd10,35,35,True,False
L2RAR1_BRIE_00_510000_r03,dev_fit,287ee84a1a40392ddfbfbc25fb7ea0683be4f58fe3e85469ecc22157fc26c3b4,0599eff442b685491ee9591a718253297e17b2e2534d713aed9d05c63603abe2,33,33,True,False
L2RAR1_BRIE_01_510000_r00,dev_fit,25f04a6c564c1877258348645f2bd3442463c08a011833e2b3e2256fb6ba525f,13b24e7e1c8049d7418f33064d1d916e34196d88e89cfca011caa2e4ce9e8c25,31,31,True,False
L2RAR1_BRIE_01_510000_r01,dev_fit,387d6d8a2220a8186f6231aa7df46277e8ebe13dd99eac1003cc2f643100deca,f06bc5e5887afdcb638f3fe07b7ddc1cd1c6f6fba3c8ce61ccab731aba08b23b,33,33,True,False
L2RAR1_BRIE_01_510000_r02,dev_fit,7ac9be7f033bd8c19aa9b0d7cce01cf3db435a9cf44f11f6771b8be66d118704,ec60dddde908251d2f12c9f69278d463e7e2aeb43c1c33e64d7319d4bf7ae227,35,35,True,False
L2RAR1_BRIE_01_510000_r03,dev_fit,45cdce5f5f2e4813eba2f438c00348fef52ee62f873bd6553e253f117d4efc02,e96151e3ee4481753f523e3318d908a0f9e7c464fa709c7b03d9c16de465a557,33,33,True,False
L2RAR1_BRIE_02_510000_r00,dev_select,b79c73cab80359c24492f74cc4532ff5c3e6c049c4a2978101a36f3ce9ab68db,93598980282c6d25e801195fdf92739d006cf16c93ea298e80b1038dc850146c,31,31,True,False
L2RAR1_BRIE_02_510000_r01,dev_select,6ffb4a46d5d86ed71a70c1dd0e39de73188e8efb34013914b997b4aa14af349c,77cdabb8f7114a4e0d10b0da58cc9d628af887e8061824619dc1bc7f9981861b,33,33,True,False
L2RAR1_BRIE_02_510000_r02,dev_select,657798ce25f88586bead8ea30b68c132f403e4e6c55b01eef0bb6414dbc1aaf3,3a32a86ead7012ee1f0a7caee4467204ed2dc969a6534b1be48f9afeb576ed29,35,35,True,False
L2RAR1_BRIE_02_510000_r03,dev_select,3cd6d04a45a601520eb083317287d0eb93f172f3930490874b5c480e2869cfc2,38eafab243bd50d05fc3dd25a838684cc0f9cac12bc003feaf7a68eaaee83223,33,33,True,False
L2RAR1_BRIE_03_510000_r00,dev_select,f27b6bfb327711de1fb2eef82e77d7aed3d7aa123103c28748811cd3c1ec0b49,69bc1ba15a6532b5a12a3b13d43c357d3a71ab1a49a2d8851ffca08a909cc672,31,31,True,False
L2RAR1_BRIE_03_510000_r01,dev_select,c9df15b1d2e4479045c691d3b310ef0c44c54e27749bee81e8ec1ffc1a48a994,f6752468a56f0ec6d6aa565279c9b4d81d98dd6a494310ffd1799b3a5a2f16f1,33,33,True,False
L2RAR1_BRIE_03_510000_r02,dev_select,793f0c7ad61de5f4b0082d9b307cb33cf886b3b7a84b4aebb7706c217e83b138,802633f1e02b062ccc4310e646ae10c65be4c213cd8b306de7e34db88fe04c26,35,35,True,False
L2RAR1_BRIE_03_510000_r03,dev_select,a82c45cec9c2c950a35d75e16b33137877c67cea85c158243d46b653e2ac670b,811fadb165caff1912980550ab3019f410b1ffda6ab280158a6c357f8c1b8b3d,33,33,True,False
L2RAR1_COMM_00_510000_r00,dev_fit,b3b47a99bbabeeca83b479d741e7bdc90e47009fc60ccbad4876cde3f9a3940a,c3b0a63c4ab968fe5f23b108606f118dea5d95a04322b3390147db8e9eb48e97,28,28,True,False
L2RAR1_COMM_00_510000_r01,dev_fit,8e7bd45c2864d1a04c69cf77e6e05254cb19c91d0901e2fdbf4dd061c344011e,8e9f82c4651877407b38cf0f485ae1cd18302f6862f485d46f82d9959c1ae795,29,29,True,False
L2RAR1_COMM_00_510000_r02,dev_fit,4f246144d004ba6564dae9d66378fab1647869d3269eecc2a8c84295eca15d46,8b081fd9dc0d36c5da2bf2fe8a7c9654994ba15b3e1208e4a6df6a5f38945e1e,30,30,True,False
L2RAR1_COMM_00_510000_r03,dev_fit,d3ad377aa503f3d5bf0b7e1b824f83a59e1ff4deb76b1cb8de5764b15549a261,426279355e38ac601fc6614905b225d68640d846796793249af8134c3c1f6dd8,29,29,True,False
L2RAR1_COMM_01_510000_r00,dev_fit,85c8aa2be0ff7ef0bfdbe608664f9f20fadbf34f8c074ad549570856c4beabc1,59b7f698a9864897a2808ad5409bc4cf41ad3846f3b2e5a82b8a6de0ebd5f859,28,28,True,False
L2RAR1_COMM_01_510000_r01,dev_fit,04923c6ad8e65f40a13a9b2f335bcb7d42ef2d96f4b9d8b08f9f238d5e204203,51c6dd84a8828881891672c5409c7fcc2d10b67f8e757b1c126ac969eee97626,29,29,True,False
L2RAR1_COMM_01_510000_r02,dev_fit,40f35b78e8d08a36bfda2dd377193e893446dda7659104e9165791f7c874e6f6,f3d5688856649afc3fc130db77a60fd5fa20e2534ff96a1900e2689ef61ea963,30,30,True,False
L2RAR1_COMM_01_510000_r03,dev_fit,8616cd3b89378aa07811081d35d72accfccb28c68692054e10c5098c66897320,8d9779b8049da39ee6a577bc9a273f730902469134e3cf74de53a48a85f7bceb,29,29,True,False
L2RAR1_COMM_02_510000_r00,dev_select,29ee1ca9b38b6b58aa267fa613ca3b80f0e877b404427f0a9ab031c83b1130fb,02bc4e9bbb5cfba6e45fa882cb68145f67973aa0867f46ca515cbac9cede82bf,28,28,True,False
L2RAR1_COMM_02_510000_r01,dev_select,c29822e0f5022441e387d9273da44ee0e5d6ae24a056caaae0b5b4e6a7ef362b,49585c1fa5b9bc206f5b907df6fbd6155718c36960d11f50d6ca16dff45e1ad7,29,29,True,False
L2RAR1_COMM_02_510000_r02,dev_select,e19078af863f97e64216c8fa36d84af1f36ff8bf5da9f5c9f724ffab45808cc1,7ef56588f1c06bf0361a57c586ffa731a72a1acb83f1c26a76b6ffb9e2552d40,30,30,True,False
L2RAR1_COMM_02_510000_r03,dev_select,f2711cf9d41bb42f65a57258508cefd16733cf6ca6ee2ca828fb994ebcce8f00,868aeacb54e56281fa5aef8846c044bb97c860d29f4ee23c7b0c4f46453a99c7,29,29,True,False
L2RAR1_COMM_03_510000_r00,dev_select,dadd2ac946d892043bf0a3531141f90d903638ff6ad9ae01a0a57c53c005c79e,a3198e49eec9e040d24d17002c71594b2b85e7f8a6a4e32a4422b8af3aa71513,28,28,True,False
L2RAR1_COMM_03_510000_r01,dev_select,2dc0deb5ce9c36d95bacc6b54565c5d30b66dfd645175b98c3af4246b842c764,c8fd029d6412ce310543e4b6f10c039532e88eb84779cecd9ba7fa643389931c,29,29,True,False
L2RAR1_COMM_03_510000_r02,dev_select,31a6ff78e3415069adc465bd7aabce1510595fd457e44a89ca8ccf085962cf0f,aa22d40000b5e478c824d05b74e13d4773f6a215beeefa56ccf34b98b26bb90a,30,30,True,False
L2RAR1_COMM_03_510000_r03,dev_select,cec54de5e4795a687f4645612ab0672046489f319333b2473db1e9043cfa5e7c,084be3798c7ab738bb1774e60880593d7850b95fcf9ed95b03de2ef2412bf452,29,29,True,False
L2RAR1_HIST_00_510000_r00,dev_fit,323f7b2b96498a3dba8dd3a60bb8d5b40ff21f6f5aa09946f7e99a7ffb79dc1f,3665440b2d101fa2f2967ba2bab496c0dd385970e17e3dc89bb5d3ee55e3d25c,49,49,True,False
L2RAR1_HIST_00_510000_r01,dev_fit,a68e34223f1c69c526dc0e5b6a78dfcc25a34ff5c55d101cde9f486321ad3864,a5c179e0cf92a93a84a631b0e9fb74c86a1ecd48c383bdf8e51e76db91025a26,51,51,True,False
L2RAR1_HIST_00_510000_r02,dev_fit,51e032d22e8d23f0ae15a9978ba3c61406bab07f708ed2ebdf3b1680de13c5d5,4e6385a84dd3ba04f6499a752bf02249c345f90b1b2bbd5bfef73a6a442b2963,53,53,True,False
L2RAR1_HIST_00_510000_r03,dev_fit,7b2b5b6a654372e1a1af352d0de7ba439a592bff4ce6c49f2f8e8decdfa0fc04,59b9f77c7707752c58032a9f90330adaa5eeb453b0afd68635cc4e7eb8108e65,51,51,True,False
L2RAR1_HIST_01_510000_r00,dev_fit,e6cab69a67cffaf85d3f1827f32cf351abc7e3eb5831b0fb7599c98a439a75ce,6bb466654d209f441d2926cdfc535bb6f2a30a382b6e37002b1e942ca7058c11,49,49,True,False
L2RAR1_HIST_01_510000_r01,dev_fit,36850905fb2df930845eef4d3d452efaa0233d4e281e97f7493dbe9e123b6381,a32c7cdcb73cc86352f9f7866902b9ad5c8ea9df8bdf8cc61044407c6a0f2ac4,51,51,True,False
L2RAR1_HIST_01_510000_r02,dev_fit,5815711da3e13eff1eed534da0d1e692dcf09b1dde7e879dc61bc4481310800d,b020f4bc143fb6b2ac085a8ecdad11c6b361f7a8ad82eb95123ace6f8f05d089,53,53,True,False
L2RAR1_HIST_01_510000_r03,dev_fit,8eb79b1e79c782a2ebd8aba7855c39ac9b1ec656c6410d87b2061a8deba6ed2f,60f07c417aa06f96410d0f70fcb8f6720b171aa93952d638e7d56e9f34acb05f,51,51,True,False
L2RAR1_HIST_02_510000_r00,dev_select,25a43f27359cc453903e87d0cb9ffcf8814cae375dc7ab342761ea7072cb2793,a4130e21398539380d25b11ecc405b0032daaf426ae473b5784896b26e85cf46,49,49,True,False
L2RAR1_HIST_02_510000_r01,dev_select,f29ef78b99d356616fe58c246dd148c51b38f6a323c906fb82ffb69e6218325f,73c2732452dd4572746dbd5d72ced34d075ae5f02c70237ad4b461c26d4f2059,51,51,True,False
L2RAR1_HIST_02_510000_r02,dev_select,147956cd637ee3a1bc31f0e508a53f301869c628e9fe511866e4e24c79f89af4,8c4dd23b1dbcbded9da6727c8ee1b7cc47bafa9a442670c87b224ea96bfa0b31,53,53,True,False
L2RAR1_HIST_02_510000_r03,dev_select,32360561a5ce05678b11ac0ac739b1a086b9c1a38c3379a0577bc46a7f3bef34,7c12622f67fb1a6253b715ce81fc3cf20c8373a3faad93618ed4dc2b33a59347,51,51,True,False
L2RAR1_HIST_03_510000_r00,dev_select,7945fdd16c94bb68dfc6781b4a716e012b34661adcdc8903b163155c258cb337,b3a04251dc1eb13848bb94d4a2471a46dc0a7e3c9c85364ff12f4a7229466b43,49,49,True,False
L2RAR1_HIST_03_510000_r01,dev_select,8874ab5a73109548f93d1476e64bb6a391bccf021aec0d06e24cba3f31466001,7c006f02e5c247f6fc0eaa068a26c36b1f460af751045c8004b8bb1643b598de,51,51,True,False
L2RAR1_HIST_03_510000_r02,dev_select,032308e39a92282b1e80a27f562218cfe242538f30adf2446599ca142feaedfe,f7c94e1c31685715ee11ad64fd1b521632bb3b2dbabb723a4499ffab1dbe387f,53,53,True,False
L2RAR1_HIST_03_510000_r03,dev_select,6aadfa9999bc4f85ff76ae63ff0ca978cf913d67342540fe48f81d0c0aa9cc8f,750891c787ce4cc3b0e72b6ef2cc1b1e862e837bf2ca0903281f80e503e9960d,51,51,True,False
L2RAR1_LONG_00_510000_r00,dev_fit,07055c4ecfe01afd7c9fc1cf86e3cc70039cba3a1188a6cae9504ea7413a38dd,2275c9aa05ee3c0a9757bc1dd25a349dfbbbfb9ffd648f8f96edcffe52e9c8fc,49,49,True,False
L2RAR1_LONG_00_510000_r01,dev_fit,c821dd7c3d2eb8527c53b8b03748df2d272b0be88ac1e2898dfe3982261c1c98,d71e9631a46dbe244b70d5c9de9906233608a5153689d6e6fdaae7e1c4e1e900,51,51,True,False
L2RAR1_LONG_00_510000_r02,dev_fit,28d036bacd9f73ca3e79832fb2109b12bec3a141ffedf10b4a4b71d9df30e869,3b558b5cf76d74ef4e4b1747319de7f0a23543e06009558ebcff8c077ff71445,53,53,True,False
