rollout_id,split,legacy_selected_action,legacy_any_overlap,prefix_first_decision,difference_source
L2RA_D_00_00_430000_r00,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_00_430000_r01,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_00_430000_r02,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_00_430000_r03,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_01_430000_r00,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_01_430000_r01,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_01_430000_r02,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_00_01_430000_r03,dev_fit,retry_grasp,False,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_00_430000_r00,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_00_430000_r01,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_00_430000_r02,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_00_430000_r03,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_01_430000_r00,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_01_430000_r01,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_01_430000_r02,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_01_01_430000_r03,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_00_430000_r00,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_00_430000_r01,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_00_430000_r02,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_00_430000_r03,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_01_430000_r00,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_01_430000_r01,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_01_430000_r02,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_02_01_430000_r03,dev_fit,recover_object,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_00_430000_r00,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_00_430000_r01,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_00_430000_r02,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_00_430000_r03,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_01_430000_r00,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_01_430000_r01,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_01_430000_r02,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_03_01_430000_r03,dev_fit,manipulate,False,none,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_00_430000_r00,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_00_430000_r01,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
L2RA_D_04_00_430000_r02,dev_fit,retry_grasp,True,,legacy_final_arbitration_vs_first_observed_prefix
