candidate_id,sampling,events,families,primary_events,reference_unresolved_events,positive_events,positive_correct,positive_recall,miss_recall,loss_recall,regular_loss_recall,brief_loss_recall,long_gap_recall,wrong_or_unknown_rate,conflict_rate,premature_emergency_rate,conflict_rollout_rate,negative_false_emergency_rate,touch_false_emergency_rate,release_false_emergency_rate,pause_false_emergency_rate,information_false_emergency_rate,hold_evidence_rate,regular_hold_evidence_rate,brief_hold_evidence_rate,touch_false_hold_evidence_rate,pause_hold_retention_rate,delay_p95_seconds,delay_observed_count,paired_sampling,type_recall_json,stratum_false_emergency_json,stratum_counts_json,data_role
B_count1,control_tick_20hz,64,16,32,32,8,0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.75,,,,0.25,1.0,,0,True,"{""missed_grasp_retry_required"": 0.0}","{""brief_true_hold_then_loss"": 1.0, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 1.0, ""loss_after_observed_hold"": 1.0, ""miss_without_prior_hold"": 0.5, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.25}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
B_count1,action_end,64,16,32,32,8,8,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.75,,,,0.375,1.0,2.220446049250313e-16,8,True,"{""missed_grasp_retry_required"": 1.0}","{""brief_true_hold_then_loss"": 1.0, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 1.0, ""loss_after_observed_hold"": 1.0, ""miss_without_prior_hold"": 1.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.375}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
B_count2,control_tick_20hz,64,16,32,32,8,0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,,,,0.0,1.0,,0,True,"{""missed_grasp_retry_required"": 0.0}","{""brief_true_hold_then_loss"": 0.5, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 1.0, ""loss_after_observed_hold"": 1.0, ""miss_without_prior_hold"": 0.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
B_count2,action_end,64,16,32,32,8,8,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2.220446049250313e-16,8,True,"{""missed_grasp_retry_required"": 1.0}","{""brief_true_hold_then_loss"": 0.0, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 0.0, ""loss_after_observed_hold"": 0.0, ""miss_without_prior_hold"": 1.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
C3_vector_rho035,control_tick_20hz,64,16,32,32,8,0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,,,,0.0,1.0,,0,True,"{""missed_grasp_retry_required"": 0.0}","{""brief_true_hold_then_loss"": 1.0, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 1.0, ""loss_after_observed_hold"": 1.0, ""miss_without_prior_hold"": 0.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
C3_vector_rho035,action_end,64,16,32,32,8,8,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,,,,0.0,0.75,2.220446049250313e-16,8,True,"{""missed_grasp_retry_required"": 1.0}","{""brief_true_hold_then_loss"": 0.75, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 0.75, ""loss_after_observed_hold"": 0.75, ""miss_without_prior_hold"": 1.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
C3_vector_rho055,control_tick_20hz,64,16,32,32,8,0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.75,,,,0.25,1.0,,0,True,"{""missed_grasp_retry_required"": 0.0}","{""brief_true_hold_then_loss"": 1.0, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 1.0, ""loss_after_observed_hold"": 1.0, ""miss_without_prior_hold"": 0.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.25}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
C3_vector_rho055,action_end,64,16,32,32,8,8,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,,,,0.0,0.75,2.220446049250313e-16,8,True,"{""missed_grasp_retry_required"": 1.0}","{""brief_true_hold_then_loss"": 0.75, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 0.75, ""loss_after_observed_hold"": 0.75, ""miss_without_prior_hold"": 1.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
C4_time010_disp004,control_tick_20hz,64,16,32,32,8,0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,,,,0.0,1.0,,0,True,"{""missed_grasp_retry_required"": 0.0}","{""brief_true_hold_then_loss"": 0.125, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 0.125, ""loss_after_observed_hold"": 0.125, ""miss_without_prior_hold"": 0.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
C4_time010_disp004,action_end,64,16,32,32,8,8,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,,,,0.0,0.625,2.220446049250313e-16,8,True,"{""missed_grasp_retry_required"": 1.0}","{""brief_true_hold_then_loss"": 0.625, ""commanded_release"": 0.0, ""history_or_visual_unavailable"": 0.0, ""long_gap_after_loss"": 0.625, ""loss_after_observed_hold"": 0.625, ""miss_without_prior_hold"": 1.0, ""normal_hold_pause_resume"": 0.0, ""touch_without_hold_then_loss"": 0.0}","{""brief_true_hold_then_loss"": {""events"": 8, ""families"": 2}, ""commanded_release"": {""events"": 8, ""families"": 2}, ""history_or_visual_unavailable"": {""events"": 8, ""families"": 2}, ""long_gap_after_loss"": {""events"": 8, ""families"": 2}, ""loss_after_observed_hold"": {""events"": 8, ""families"": 2}, ""miss_without_prior_hold"": {""events"": 8, ""families"": 2}, ""normal_hold_pause_resume"": {""events"": 8, ""families"": 2}, ""touch_without_hold_then_loss"": {""events"": 8, ""families"": 2}}",new_dynamic_mujoco_r1
