schema,candidate_id,rollout_id,root_family_id,case_id,source_role,event_name,t_physical,t_observable,observable_source,t_decision,physical_to_observable_seconds,observable_to_decision_seconds,physical_to_decision_seconds,timing_status,online_interface_version,offline_event_used_for,observable_evidence_used_for,oracle_or_future_used_online
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.8,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.8,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.65,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.65,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.8,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.8,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.7,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.7,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.9,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.9,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.75,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.75,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.9,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.9,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.7,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,attach_relpose_repair_collection,contact_lost,0.7,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,attach_relpose_repair_collection,contact_lost,0.85,,none_observed_in_online_stream,,,,,physical_event_not_observed_online,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_SELECT_05_820005:K5_brief_hold_loss,L2RAR2_SELECT_05_820005,K5_brief_hold_loss,historical_pre_correction_context_only,contact_lost,0.7,0.8,online_contact_present_transition,0.8,0.10000000000000009,0.0,0.10000000000000009,physical_observable_decision_chain_recorded,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_SELECT_05_820005:K5_brief_hold_loss,L2RAR2_SELECT_05_820005,K5_brief_hold_loss,historical_pre_correction_context_only,contact_lost,0.7,0.8,online_contact_present_transition,0.8,0.10000000000000009,0.0,0.10000000000000009,physical_observable_decision_chain_recorded,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,B_count2,L2RAR2_SELECT_07_820007:K5_brief_hold_loss,L2RAR2_SELECT_07_820007,K5_brief_hold_loss,historical_pre_correction_context_only,contact_lost,0.7,0.75,online_contact_present_transition,0.75,0.050000000000000044,0.0,0.050000000000000044,physical_observable_decision_chain_recorded,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
l2rar2_time_definition_audit_v1,C3_vector_rho035,L2RAR2_SELECT_07_820007:K5_brief_hold_loss,L2RAR2_SELECT_07_820007,K5_brief_hold_loss,historical_pre_correction_context_only,contact_lost,0.7,0.75,online_contact_present_transition,0.75,0.050000000000000044,0.0,0.050000000000000044,physical_observable_decision_chain_recorded,l2rar2_online_interface_repair_v1,timing_audit_only,timing_audit_only,False
