rollout_id,root_family_id,case_id,source_path,event_name,t_detach_command,t_loss_physical_verified,weld_state_before,weld_state_at_event,weld_state_after,relative_position_before_m,relative_position_after_m,relative_position_change_m,object_height_before_m,object_height_after_m,object_specific_contact_pairs_recorded,contact_force_recorded,post_detach_writeback_count_recorded,physical_loss_status,physical_loss_reason,reference_contract_status
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_00_840000/K4_regular_hold_loss,contact_lost,0.8,,1,,1,"[-5.0994238822286986e-05, 5.911268309498341e-05, -0.12987546303516018]","[1.5160158954582309e-05, 5.561861547664221e-05, -0.1298763796189707]",6.625294695048283e-05,0.7110598931305342,0.7028719053135848,True,True,True,not_verified,post_detach_hand_contact_support_persists_after_weld_off,legacy_reference_label_preserved
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_00_840000/K5_brief_hold_loss,contact_lost,0.65,,1,,1,"[-5.099430491600776e-05, 5.911340812741594e-05, -0.1298754627013461]","[1.5160158954582309e-05, 5.561861547664221e-05, -0.1298763796189707]",6.625305580580733e-05,0.7356211071637648,0.7028719053135848,True,True,True,not_verified,post_detach_hand_contact_support_persists_after_weld_off,legacy_reference_label_preserved
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_00_840000/K6_long_gap_after_loss,contact_lost,0.8,,1,,1,"[-5.0994238822286986e-05, 5.911268309498341e-05, -0.12987546303516018]","[1.5160158954582309e-05, 5.561861547664221e-05, -0.1298763796189707]",6.625294695048283e-05,0.7110598931305342,0.7028719053135848,True,True,True,not_verified,post_detach_hand_contact_support_persists_after_weld_off,legacy_reference_label_preserved
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_01_840001/K4_regular_hold_loss,contact_lost,0.85,,1,,1,"[-5.360553856903483e-05, 0.00012829715979408018, -0.12985675440285283]","[-5.360553856902962e-05, 0.00012829715979408018, -0.12985675440285283]",5.204170427930421e-18,0.7239987428280853,0.7132276433818977,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_01_840001/K5_brief_hold_loss,contact_lost,0.7,,1,,1,"[-2.297869249801021e-05, 0.00011988085015587902, -0.12985701934885996]","[-5.360553856902962e-05, 0.00012829715979408018, -0.12985675440285283]",3.176331476043851e-05,0.756311776220641,0.7132276433818977,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_01_840001/K6_long_gap_after_loss,contact_lost,0.85,,1,,1,"[-5.360553856903483e-05, 0.00012829715979408018, -0.12985675440285283]","[-5.360553856902962e-05, 0.00012829715979408018, -0.12985675440285283]",5.204170427930421e-18,0.7239987428280853,0.7132276433818977,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K4_regular_hold_loss,contact_lost,0.9,,1,,1,"[1.701251178840013e-05, -5.6789182046254605e-06, -0.12982310087854776]","[1.701251178840013e-05, -5.6789182046254605e-06, -0.12982310087854776]",0.0,0.7322165281172586,0.7198086023180974,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K5_brief_hold_loss,contact_lost,0.75,,1,,1,"[1.7012511788427886e-05, -5.6789182046254605e-06, -0.12982310087854776]","[1.701251178840013e-05, -5.6789182046254605e-06, -0.12982310087854776]",2.7755575615628914e-17,0.7694403055147424,0.7198086023180974,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K6_long_gap_after_loss,contact_lost,0.9,,1,,1,"[1.701251178840013e-05, -5.6789182046254605e-06, -0.12982310087854776]","[1.701251178840013e-05, -5.6789182046254605e-06, -0.12982310087854776]",0.0,0.7322165281172586,0.7198086023180974,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K4_regular_hold_loss,contact_lost,0.85,,1,,1,"[-6.145677436597552e-05, 0.00014347934008694663, -0.12987541994777818]","[-1.5562699656475332e-05, 0.0001575961014765384, -0.12987794101207317]",4.8082271272802146e-05,0.7502405924670961,0.7342148689198262,False,False,False,insufficient_data,cache_has_event_and_qpos-like oracle positions but no qvel/contact-pair/contact-force/writeback trace,legacy_reference_label_preserved
