rollout_id,root_family_id,case_id,candidate_id,t_detach_command,t_loss_physical_verified,t_contact_observable,t_visual_observable,t_decision_any,t_decision_correct,observation_end_time,contact_observable_status,visual_observable_status,delay_status,null_reason,delay_identity,probe_physical_loss_status,probe_physical_loss_reason
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,B_count2,0.8,,,,,,1.35,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),not_verified,post_detach_hand_contact_support_persists_after_weld_off
L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,C3_vector_rho035,0.8,,,,,,1.35,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),not_verified,post_detach_hand_contact_support_persists_after_weld_off
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,B_count2,0.65,,,0.65,,,1.2,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),not_verified,post_detach_hand_contact_support_persists_after_weld_off
L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,C3_vector_rho035,0.65,,,0.65,,,1.2,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),not_verified,post_detach_hand_contact_support_persists_after_weld_off
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,B_count2,0.8,,,,,,2.1,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),not_verified,post_detach_hand_contact_support_persists_after_weld_off
L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,C3_vector_rho035,0.8,,,,,,2.1,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),not_verified,post_detach_hand_contact_support_persists_after_weld_off
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,B_count2,0.85,,,,,,1.4,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,C3_vector_rho035,0.85,,,,,,1.4,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,B_count2,0.7,,,,,,1.25,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,C3_vector_rho035,0.7,,,,,,1.25,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,B_count2,0.85,,,,,,2.15,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,C3_vector_rho035,0.85,,,,,,2.15,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,B_count2,0.9,,,0.9,,,1.45,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,C3_vector_rho035,0.9,,,0.9,,,1.45,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,B_count2,0.75,,,0.75,,,1.3,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,C3_vector_rho035,0.75,,,0.75,,,1.3,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,B_count2,0.9,,,0.9,,,2.2,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,C3_vector_rho035,0.9,,,0.9,,,2.2,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,B_count2,0.85,,,,,,1.4,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,C3_vector_rho035,0.85,,,,,,1.4,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,B_count2,0.7,,,0.7,,,1.25,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,C3_vector_rho035,0.7,,,0.7,,,1.25,no_contact_true_to_false_in_event_window,visual_motion_present_not_loss_specific,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,B_count2,0.85,,,,,,2.15,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,C3_vector_rho035,0.85,,,,,,2.15,no_contact_true_to_false_in_event_window,visual_motion_not_established,physical_loss_not_verified,physical_loss_not_verified; correct detection delay is not estimable,t_decision_correct - t_loss_verified = (t_observable - t_loss_verified) + (t_decision_correct - t_observable),,
