episode_id,task_id,root_group_id,evidence_tier,cost_contract_id,step,edge_type,available_at_ns,method,reward_mu,reward_lcb,weight_positive,failure_debt_before,failure_debt_after,recovery_cap_applied,raw_core,clipped_core,clip_applied,parity_error,cost_delta_mu,phi_delta_mu,loop_penalty,uncertainty_penalty
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,0,none,349999994,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,1,forward,449999988,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,2,forward,649999976,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,3,none,1049999952,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,4,none,1250000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,5,none,1450000048,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,6,forward,1950000048,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,7,forward,2099999905,SPARSE_TERMINAL,1.0,1.0,1.0,0.0,0.0,False,1.0,1.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,8,none,2250000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
L2P_00_00_220701_r00,transport_recovery,L2P_00_00_220701,CAUSAL_STATE_REPLAY,P1_NORMALIZED_RUNTIME_GRAPH_V1,9,none,2400000095,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,
