a_valid,b_valid,task_goal_verified,output,evidence_tier
False,False,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,False,True,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,False,,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,True,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,True,True,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,True,,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,,True,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
False,,,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,False,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,False,True,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,False,,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,True,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,True,True,True,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,True,,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,,True,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
True,,,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,False,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,False,True,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,False,,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,True,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,True,True,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,True,,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,,False,False,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,,True,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
,,,,PROPOSED_GUARD_UNIT_TEST_NOT_RUNTIME_BINDING
