episode_id,task_id,root_group_id,evidence_tier,cost_contract_id,step,edge_type,available_at_ns,method,reward_mu,reward_lcb,weight_positive,failure_debt_before,failure_debt_after,recovery_cap_applied,raw_core,clipped_core,clip_applied,parity_error,cost_delta_mu,phi_delta_mu,loop_penalty,uncertainty_penalty,potential_before,potential_after,outstanding_failure_tokens,score_status
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,0,none,50000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,1,failure,100000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,2,recovery,150000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,3,recovery,200000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,4,forward,250000000,SPARSE_TERMINAL,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,0,none,50000000,LINEAR_FIXED_ORDER,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,1,failure,100000000,LINEAR_FIXED_ORDER,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,2,recovery,150000000,LINEAR_FIXED_ORDER,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,3,recovery,200000000,LINEAR_FIXED_ORDER,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
entry_return_geometry_assumed__p0.0__k1,protocol_fixture,loop_p0.0,SYNTHETIC_PROTOCOL_FIXTURE,V4_NORMALIZED_SYMBOLIC_NOT_PHYSICAL,4,forward,250000000,LINEAR_FIXED_ORDER,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,,,,,,,,
