episode_id,method,signed_return,positive_weight_sum,transitions
P1V5_F00_920000__D1_A_then_B_clean_success,SPARSE_TERMINAL,1.0,1.0,131
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_A_FIRST,1.0,1.0,131
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_B_FIRST,1.0,1.0,131
P1V5_F00_920000__D1_A_then_B_clean_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,131
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_ONLY,0.75,0.75,131
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_PHI,0.75,0.75,131
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_DEBT,0.75,0.75,131
P1V5_F00_920000__D1_A_then_B_clean_success,FULL_FROZEN,0.75,0.75,131
P1V5_F00_920000__D1_A_then_B_clean_success,NO_RECOVERY_CREDIT,0.75,0.75,131
P1V5_F00_920000__D1_A_then_B_clean_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,131
P1V5_F00_920000__D1_A_then_B_clean_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,131
P1V5_F00_920000__D2_B_then_A_clean_success,SPARSE_TERMINAL,1.0,1.0,131
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_A_FIRST,1.0,1.0,131
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_B_FIRST,1.0,1.0,131
P1V5_F00_920000__D2_B_then_A_clean_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,131
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_ONLY,0.75,0.75,131
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_PHI,0.75,0.75,131
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_DEBT,0.75,0.75,131
P1V5_F00_920000__D2_B_then_A_clean_success,FULL_FROZEN,0.75,0.75,131
P1V5_F00_920000__D2_B_then_A_clean_success,NO_RECOVERY_CREDIT,0.75,0.75,131
P1V5_F00_920000__D2_B_then_A_clean_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,131
P1V5_F00_920000__D2_B_then_A_clean_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,131
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_A_FIRST,1.0,1.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_B_FIRST,1.0,1.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,0.75,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_PHI,0.75,0.75,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,0.75,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,FULL_FROZEN,0.75,0.75,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,NO_RECOVERY_CREDIT,0.75,0.75,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_A_FIRST,1.0,1.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_B_FIRST,1.0,1.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,0.75,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_PHI,0.75,0.75,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,0.75,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,FULL_FROZEN,0.75,0.75,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,NO_RECOVERY_CREDIT,0.75,0.75,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GLOBAL_POTENTIAL_AUDIT_V1,0.75,0.75,171
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,SPARSE_TERMINAL,1.0,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_A_FIRST,1.0,1.3333333333333335,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_B_FIRST,1.0,1.3333333333333335,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,UNORDERED_COMPLETION_PROGRESS,1.0,1.3333333333333335,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_ONLY,0.75,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_PHI,0.75,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_DEBT,0.75,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,FULL_FROZEN,0.75,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,NO_RECOVERY_CREDIT,0.75,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,PAIRED_EVENT_BALANCED_V1,0.0,0.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GLOBAL_POTENTIAL_AUDIT_V1,0.75,1.0,259
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,SPARSE_TERMINAL,0.0,0.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_A_FIRST,0.3333333333333333,0.6666666666666666,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_B_FIRST,0.3333333333333333,0.6666666666666666,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,UNORDERED_COMPLETION_PROGRESS,0.3333333333333333,0.6666666666666666,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_ONLY,0.25,0.5,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_PHI,0.25,0.5,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_DEBT,0.25,0.5,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,FULL_FROZEN,0.25,0.5,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,NO_RECOVERY_CREDIT,0.25,0.5,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,PAIRED_EVENT_BALANCED_V1,0.0,0.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GLOBAL_POTENTIAL_AUDIT_V1,0.25,0.5,139
P1V5_F00_920000__R1_clean_transport_success,SPARSE_TERMINAL,1.0,1.0,67
P1V5_F00_920000__R1_clean_transport_success,LINEAR_A_FIRST,1.0,1.25,67
P1V5_F00_920000__R1_clean_transport_success,LINEAR_B_FIRST,1.0,1.25,67
P1V5_F00_920000__R1_clean_transport_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.25,67
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_ONLY,0.6666666666666666,0.8333333333333333,67
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_PHI,1.1314204642681327,1.2980871309347994,67
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_DEBT,0.6666666666666666,0.8333333333333333,67
P1V5_F00_920000__R1_clean_transport_success,FULL_FROZEN,1.1314204642681327,1.2980871309347994,67
P1V5_F00_920000__R1_clean_transport_success,NO_RECOVERY_CREDIT,1.1314204642681327,1.2980871309347994,67
P1V5_F00_920000__R1_clean_transport_success,PAIRED_EVENT_BALANCED_V1,0.0,0.0,67
P1V5_F00_920000__R1_clean_transport_success,GLOBAL_POTENTIAL_AUDIT_V1,0.666666666666667,1.2980871309347994,67
P1V5_F00_920000__R2_loss_at_40pct_recover_success,SPARSE_TERMINAL,1.0,1.0,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,LINEAR_A_FIRST,1.0,1.75,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,LINEAR_B_FIRST,1.0,1.75,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.75,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333333,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_PHI,0.9472575925725282,1.6139242592391954,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333333,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,FULL_FROZEN,0.9472575925725282,1.6139242592391954,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,NO_RECOVERY_CREDIT,0.6139242592391949,1.2805909259058617,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,PAIRED_EVENT_BALANCED_V1,0.0,1.0,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GLOBAL_POTENTIAL_AUDIT_V1,0.6666666666666667,2.0207805171763478,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,SPARSE_TERMINAL,1.0,1.0,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,LINEAR_A_FIRST,1.0,1.75,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,LINEAR_B_FIRST,1.0,1.75,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,UNORDERED_COMPLETION_PROGRESS,1.0,1.75,117
