path,case_id,readable,goal,loss,rec
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F00_920000/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,False,True,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,False,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F01_920001/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/D1_A_then_B_clean_success/rollout_00,D1_A_then_B_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/D2_B_then_A_clean_success/rollout_00,D2_B_then_A_clean_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/D3_A_done_B_loss_recovery_then_success/rollout_00,D3_A_done_B_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/D4_B_done_A_loss_recovery_then_success/rollout_00,D4_B_done_A_loss_recovery_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/D5_completed_subgoal_invalidated_restored/rollout_00,D5_completed_subgoal_invalidated_restored,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/D6_repeat_completed_subgoal_then_terminal_failure/rollout_00,D6_repeat_completed_subgoal_then_terminal_failure,True,False,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R1_clean_transport_success/rollout_00,R1_clean_transport_success,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R2_loss_at_40pct_recover_success/rollout_00,R2_loss_at_40pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R3_loss_at_80pct_recover_success/rollout_00,R3_loss_at_80pct_recover_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R4_three_cycles_at_40pct_then_success/rollout_00,R4_three_cycles_at_40pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R5_three_cycles_at_80pct_then_success/rollout_00,R5_three_cycles_at_80pct_then_success,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R6_three_closed_cycles_then_stop/rollout_00,R6_three_closed_cycles_then_stop,True,True,True,True
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R7_loss_recovery_started_not_completed_terminal/rollout_00,R7_loss_recovery_started_not_completed_terminal,True,True,False,False
/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v3/P1V5_F02_920002/R8_commanded_release/rollout_00,R8_commanded_release,True,False,False,False
