loss_id,object_id,onset_tick,start_tick,completion_tick,end_tick,closure,index,episode_id
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success:B:99:1,B,99,98,121,,NO_OBSERVED_RETURN,0,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success:A:99:1,A,99,98,121,,NO_OBSERVED_RETURN,0,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
P1V5_F00_920000__R2_loss_at_40pct_recover_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F00_920000__R2_loss_at_40pct_recover_success
P1V5_F00_920000__R3_loss_at_80pct_recover_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F00_920000__R3_loss_at_80pct_recover_success
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:45:1,obj,45,44,67,126,APPROXIMATE_TASK_RETURN,0,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F00_920000__R5_three_cycles_at_80pct_then_success
P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:45:1,obj,45,44,67,126,APPROXIMATE_TASK_RETURN,0,P1V5_F00_920000__R6_three_closed_cycles_then_stop
P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F00_920000__R6_three_closed_cycles_then_stop
P1V5_F00_920000__R6_three_closed_cycles_then_stop:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F00_920000__R6_three_closed_cycles_then_stop
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal:obj:45:1,obj,45,44,,,NO_OBSERVED_RETURN,0,P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success:B:99:1,B,99,98,121,,NO_OBSERVED_RETURN,0,P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success:A:99:1,A,99,98,121,,NO_OBSERVED_RETURN,0,P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success
P1V5_F01_920001__R2_loss_at_40pct_recover_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F01_920001__R2_loss_at_40pct_recover_success
P1V5_F01_920001__R3_loss_at_80pct_recover_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F01_920001__R3_loss_at_80pct_recover_success
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success:obj:45:1,obj,45,44,67,126,APPROXIMATE_TASK_RETURN,0,P1V5_F01_920001__R4_three_cycles_at_40pct_then_success
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F01_920001__R4_three_cycles_at_40pct_then_success
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F01_920001__R4_three_cycles_at_40pct_then_success
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F01_920001__R5_three_cycles_at_80pct_then_success
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F01_920001__R5_three_cycles_at_80pct_then_success
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F01_920001__R5_three_cycles_at_80pct_then_success
P1V5_F01_920001__R6_three_closed_cycles_then_stop:obj:45:1,obj,45,44,67,126,APPROXIMATE_TASK_RETURN,0,P1V5_F01_920001__R6_three_closed_cycles_then_stop
P1V5_F01_920001__R6_three_closed_cycles_then_stop:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F01_920001__R6_three_closed_cycles_then_stop
P1V5_F01_920001__R6_three_closed_cycles_then_stop:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F01_920001__R6_three_closed_cycles_then_stop
P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal:obj:45:1,obj,45,44,,,NO_OBSERVED_RETURN,0,P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal
P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success:B:99:1,B,99,98,121,,NO_OBSERVED_RETURN,0,P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success
P1V5_F02_920002__D4_B_done_A_loss_recovery_then_success:A:99:1,A,99,98,121,,NO_OBSERVED_RETURN,0,P1V5_F02_920002__D4_B_done_A_loss_recovery_then_success
P1V5_F02_920002__R2_loss_at_40pct_recover_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F02_920002__R2_loss_at_40pct_recover_success
P1V5_F02_920002__R3_loss_at_80pct_recover_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F02_920002__R3_loss_at_80pct_recover_success
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success:obj:45:1,obj,45,44,67,126,APPROXIMATE_TASK_RETURN,0,P1V5_F02_920002__R4_three_cycles_at_40pct_then_success
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success:obj:127:2,obj,127,126,149,208,APPROXIMATE_TASK_RETURN,1,P1V5_F02_920002__R4_three_cycles_at_40pct_then_success
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success:obj:209:3,obj,209,208,231,,NO_OBSERVED_RETURN,2,P1V5_F02_920002__R4_three_cycles_at_40pct_then_success
P1V5_F02_920002__R5_three_cycles_at_80pct_then_success:obj:45:1,obj,45,44,67,,NO_OBSERVED_RETURN,0,P1V5_F02_920002__R5_three_cycles_at_80pct_then_success
