episode_id,object_id,event,loss_id,onset_tick,known_at_ns,kind
P1V5_F00_920000__D1_A_then_B_clean_success,A,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D1_A_then_B_clean_success,B,RELEASE_OR_LOSS_AMBIGUOUS,,113,5650000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D2_B_then_A_clean_success,B,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D2_B_then_A_clean_success,A,RELEASE_OR_LOSS_AMBIGUOUS,,113,5650000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,A,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,B,OBSERVED_SIM_HELD_LOSS,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success:B:99:1,99,4950000000,OBSERVED_SIM_HELD_LOSS
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,B,OBSERVED_SIM_HOLD_REESTABLISHED,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success:B:99:1,121,6050000000,OBSERVED_SIM_HOLD_REESTABLISHED
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,B,RELEASE_OR_LOSS_AMBIGUOUS,,153,7650000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,B,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,A,OBSERVED_SIM_HELD_LOSS,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success:A:99:1,99,4950000000,OBSERVED_SIM_HELD_LOSS
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,A,OBSERVED_SIM_HOLD_REESTABLISHED,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success:A:99:1,121,6050000000,OBSERVED_SIM_HOLD_REESTABLISHED
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,A,RELEASE_OR_LOSS_AMBIGUOUS,,153,7650000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,A,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,A,RELEASE_OR_LOSS_AMBIGUOUS,,113,5650000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,A,RELEASE_OR_LOSS_AMBIGUOUS,,177,8850000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,B,RELEASE_OR_LOSS_AMBIGUOUS,,241,12050000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,A,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,A,RELEASE_OR_LOSS_AMBIGUOUS,,113,5650000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__R1_clean_transport_success,obj,RELEASE_OR_LOSS_AMBIGUOUS,,49,2450000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__R2_loss_at_40pct_recover_success,obj,OBSERVED_SIM_HELD_LOSS,P1V5_F00_920000__R2_loss_at_40pct_recover_success:obj:45:1,45,2250000000,OBSERVED_SIM_HELD_LOSS
P1V5_F00_920000__R2_loss_at_40pct_recover_success,obj,OBSERVED_SIM_HOLD_REESTABLISHED,P1V5_F00_920000__R2_loss_at_40pct_recover_success:obj:45:1,67,3350000000,OBSERVED_SIM_HOLD_REESTABLISHED
P1V5_F00_920000__R2_loss_at_40pct_recover_success,obj,RELEASE_OR_LOSS_AMBIGUOUS,,99,4950000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__R3_loss_at_80pct_recover_success,obj,OBSERVED_SIM_HELD_LOSS,P1V5_F00_920000__R3_loss_at_80pct_recover_success:obj:45:1,45,2250000000,OBSERVED_SIM_HELD_LOSS
P1V5_F00_920000__R3_loss_at_80pct_recover_success,obj,OBSERVED_SIM_HOLD_REESTABLISHED,P1V5_F00_920000__R3_loss_at_80pct_recover_success:obj:45:1,67,3350000000,OBSERVED_SIM_HOLD_REESTABLISHED
P1V5_F00_920000__R3_loss_at_80pct_recover_success,obj,RELEASE_OR_LOSS_AMBIGUOUS,,99,4950000000,RELEASE_OR_LOSS_AMBIGUOUS
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,obj,OBSERVED_SIM_HELD_LOSS,P1V5_F00_920000__R4_three_cycles_at_40pct_then_success:obj:45:1,45,2250000000,OBSERVED_SIM_HELD_LOSS
