episode_id,method,signed_return,positive_weight_sum,nonzero_weight_steps,ess,transitions
P1V5_F00_920000__D1_A_then_B_clean_success,FULL_FROZEN,0.75,0.75,2,1.8,131
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_DEBT,0.75,0.75,2,1.8,131
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_ONLY,0.75,0.75,2,1.8,131
P1V5_F00_920000__D1_A_then_B_clean_success,GRAPH_COST_PHI,0.75,0.75,2,1.8,131
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_A_FIRST_R1,1.0,1.0,2,1.7999999999999998,131
P1V5_F00_920000__D1_A_then_B_clean_success,LINEAR_B_FIRST_R1,1.0,1.0,1,1.0,131
P1V5_F00_920000__D1_A_then_B_clean_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,0.75,2,1.8,131
P1V5_F00_920000__D1_A_then_B_clean_success,PAIRED_EVENT_BALANCED,0.0,0.0,0,,131
P1V5_F00_920000__D1_A_then_B_clean_success,UNORDERED_R1,1.0,1.0,2,1.7999999999999998,131
P1V5_F00_920000__D1_A_then_B_clean_success,V6_CAP_COST_ONLY,0.75,1.0833333333333333,6,3.755555555555555,131
P1V5_F00_920000__D1_A_then_B_clean_success,V6_CAP_POTENTIAL,0.75,1.248385306463074,22,4.513479899271415,131
P1V5_F00_920000__D1_A_then_B_clean_success,V6_CAP_WITHIN_PHI_ABLATION,0.7763948342321314,1.1097281675654647,22,3.9399192865146606,131
P1V5_F00_920000__D2_B_then_A_clean_success,FULL_FROZEN,0.75,0.75,2,1.8,131
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_DEBT,0.75,0.75,2,1.8,131
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_ONLY,0.75,0.75,2,1.8,131
P1V5_F00_920000__D2_B_then_A_clean_success,GRAPH_COST_PHI,0.75,0.75,2,1.8,131
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_A_FIRST_R1,1.0,1.0,1,1.0,131
P1V5_F00_920000__D2_B_then_A_clean_success,LINEAR_B_FIRST_R1,1.0,1.0,2,1.7999999999999998,131
P1V5_F00_920000__D2_B_then_A_clean_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,0.75,2,1.8,131
P1V5_F00_920000__D2_B_then_A_clean_success,PAIRED_EVENT_BALANCED,0.0,0.0,0,,131
P1V5_F00_920000__D2_B_then_A_clean_success,UNORDERED_R1,1.0,1.0,2,1.7999999999999998,131
P1V5_F00_920000__D2_B_then_A_clean_success,V6_CAP_COST_ONLY,0.75,1.0833333333333333,6,3.755555555555555,131
P1V5_F00_920000__D2_B_then_A_clean_success,V6_CAP_POTENTIAL,0.75,1.2483853022877691,22,4.5134801534988895,131
P1V5_F00_920000__D2_B_then_A_clean_success,V6_CAP_WITHIN_PHI_ABLATION,0.7763949024843892,1.1097282358177225,22,3.9399197666584715,131
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,FULL_FROZEN,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_PHI,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_A_FIRST_R1,1.0,1.0,2,1.7999999999999998,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,LINEAR_B_FIRST_R1,1.0,1.0,1,1.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,PAIRED_EVENT_BALANCED,0.0,1.0,1,1.0,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,UNORDERED_R1,1.0,1.0,2,1.7999999999999998,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,V6_CAP_COST_ONLY,0.75,1.3333333333333333,8,5.12,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,V6_CAP_POTENTIAL,0.75,1.5722329217418194,25,6.2096408833156165,171
P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.7754237094127161,1.3587570427460494,25,5.31612190740541,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,FULL_FROZEN,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,GRAPH_COST_PHI,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_A_FIRST_R1,1.0,1.0,1,1.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,LINEAR_B_FIRST_R1,1.0,1.0,2,1.7999999999999998,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,3,2.6666666666666665,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,PAIRED_EVENT_BALANCED,0.0,1.0,1,1.0,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,UNORDERED_R1,1.0,1.0,2,1.7999999999999998,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,V6_CAP_COST_ONLY,0.75,1.3333333333333333,8,5.12,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,V6_CAP_POTENTIAL,0.75,1.5722266259553983,25,6.2101112425368665,171
P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.7755238650820317,1.358857198415365,25,5.316900747323203,171
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,FULL_FROZEN,0.75,1.0,3,2.6666666666666665,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_DEBT,0.75,1.0,3,2.6666666666666665,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_ONLY,0.75,1.0,3,2.6666666666666665,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,GRAPH_COST_PHI,0.75,1.0,3,2.6666666666666665,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_A_FIRST_R1,1.0,1.3333333333333335,3,2.666666666666667,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_B_FIRST_R1,1.0,1.0,1,1.0,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,3,2.6666666666666665,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,PAIRED_EVENT_BALANCED,0.0,0.0,0,,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,UNORDERED_R1,1.0,1.3333333333333335,3,2.666666666666667,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,V6_CAP_COST_ONLY,0.75,1.6666666666666665,10,6.249999999999999,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,V6_CAP_POTENTIAL,0.75,1.9768157066836005,34,7.654980774976904,259
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,V6_CAP_WITHIN_PHI_ABLATION,0.7705293192899595,1.6981856553740693,34,6.487544662210151,259
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,FULL_FROZEN,0.25,0.5,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_DEBT,0.25,0.5,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_ONLY,0.25,0.5,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_PHI,0.25,0.5,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_A_FIRST_R1,0.3333333333333333,0.6666666666666666,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_B_FIRST_R1,0.0,0.0,0,,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,OLD_GLOBAL_PHI_DIAGNOSTIC,0.25,0.5,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,PAIRED_EVENT_BALANCED,0.0,0.0,0,,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,UNORDERED_R1,0.3333333333333333,0.6666666666666666,2,2.0,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,V6_CAP_COST_ONLY,0.3333333333333333,0.9166666666666665,5,3.4571428571428564,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,V6_CAP_POTENTIAL,0.3333333333333333,1.0825258861172655,21,4.180980659956203,139
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,V6_CAP_WITHIN_PHI_ABLATION,0.34653239243149203,0.9298657257648252,21,3.5569132887384054,139
P1V5_F00_920000__R1_clean_transport_success,FULL_FROZEN,1.1378426616666664,1.3045093283333329,11,4.868712859757382,67
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_DEBT,0.6666666666666666,0.8333333333333333,3,2.2727272727272725,67
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_ONLY,0.6666666666666666,0.8333333333333333,3,2.2727272727272725,67
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_PHI,1.1378426616666664,1.3045093283333329,11,4.868712859757382,67
P1V5_F00_920000__R1_clean_transport_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666665,1.3045093283333329,11,4.868712859757382,67
P1V5_F00_920000__R1_clean_transport_success,PAIRED_EVENT_BALANCED,0.0,0.0,0,,67
P1V5_F00_920000__R1_clean_transport_success,V6_CAP_COST_ONLY,0.6666666666666666,0.8333333333333333,3,2.2727272727272725,67
P1V5_F00_920000__R1_clean_transport_success,V6_CAP_POTENTIAL,0.6666666666666666,0.9983851078979732,11,2.6857323455856887,67
P1V5_F00_920000__R1_clean_transport_success,V6_CAP_WITHIN_PHI_ABLATION,0.693064746773512,0.8597314134401788,11,2.417905249096361,67
P1V5_F00_920000__R2_loss_at_40pct_recover_success,FULL_FROZEN,0.9479106096535448,1.6145772763202113,24,5.7547450426946725,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333335,5,4.000000000000001,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333335,5,4.000000000000001,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_PHI,0.9479106096535448,1.6145772763202113,24,5.7547450426946725,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666667,2.0223706145615217,24,5.415620584703306,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,PAIRED_EVENT_BALANCED,0.0,1.0,1,1.0,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,V6_CAP_COST_ONLY,0.6666666666666667,1.3333333333333335,5,4.000000000000001,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,V6_CAP_POTENTIAL,0.6666666666666667,1.5630116151261553,23,4.7979041543274805,117
P1V5_F00_920000__R2_loss_at_40pct_recover_success,V6_CAP_WITHIN_PHI_ABLATION,0.7604140764717624,1.4270807431384291,23,4.572486829041152,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,FULL_FROZEN,1.1118045063557156,1.7784711730223823,24,6.682949513543439,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333335,5,4.000000000000001,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333335,5,4.000000000000001,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_PHI,1.1118045063557156,1.7784711730223823,24,6.682949513543439,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666665,2.21858266441272,24,6.049121159292081,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,PAIRED_EVENT_BALANCED,0.0,1.0,1,1.0,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,V6_CAP_COST_ONLY,0.6666666666666667,1.3333333333333335,5,4.000000000000001,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,V6_CAP_POTENTIAL,0.6666666666666667,1.628416144069446,23,5.118471610129805,117
P1V5_F00_920000__R3_loss_at_80pct_recover_success,V6_CAP_WITHIN_PHI_ABLATION,0.8150458033132848,1.4817124699799515,23,4.904446499886565,117
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,FULL_FROZEN,1.580944200290208,3.9330236971147774,66,17.784528782532586,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_DEBT,0.6666666666666667,3.0,13,10.799999999999999,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_ONLY,0.6666666666666667,3.0,13,10.799999999999999,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_PHI,1.580944200290208,3.9330236971147774,66,17.784528782532586,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666667,4.1384292914851075,64,15.98581417207162,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,PAIRED_EVENT_BALANCED,0.0,3.0,3,3.0,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,V6_CAP_COST_ONLY,0.6666666666666667,3.0,13,10.799999999999999,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,V6_CAP_POTENTIAL,0.6666666666666669,3.49058355124936,65,13.450417371901052,289
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.9714269262547904,3.3110090296996844,65,13.09171192273419,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,FULL_FROZEN,1.8652369850406134,4.582246019716995,66,19.578768558298712,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_DEBT,0.6666666666666667,3.3333333333333335,13,11.111111111111112,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_ONLY,0.6666666666666667,3.3333333333333335,13,11.111111111111112,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_PHI,1.8652369850406134,4.582246019716995,66,19.578768558298712,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666667,5.15641928383892,64,16.000859584134297,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,PAIRED_EVENT_BALANCED,0.0,3.0,3,3.0,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,V6_CAP_COST_ONLY,0.6666666666666667,3.3333333333333335,13,11.111111111111112,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,V6_CAP_POTENTIAL,0.6666666666666667,3.9062184424239823,65,14.507008878998743,289
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,V6_CAP_WITHIN_PHI_ABLATION,1.0661919301507174,3.749639517602128,65,13.947539589655019,289
P1V5_F00_920000__R6_three_closed_cycles_then_stop,FULL_FROZEN,0.9365547271944277,3.1219675573523302,52,16.18044794379821,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_DEBT,0.3333333333333334,2.5,12,10.714285714285714,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_ONLY,0.3333333333333334,2.5,12,10.714285714285714,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_PHI,0.9365547271944277,3.1219675573523302,52,16.18044794379821,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,OLD_GLOBAL_PHI_DIAGNOSTIC,0.5192339153935261,3.327373151722661,50,13.771209205610548,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,PAIRED_EVENT_BALANCED,0.0,3.0,3,3.0,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,V6_CAP_COST_ONLY,0.3333333333333335,2.5,12,10.714285714285714,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,V6_CAP_POTENTIAL,0.39529937387997066,2.886897359134707,51,12.7448686308451,255
P1V5_F00_920000__R6_three_closed_cycles_then_stop,V6_CAP_WITHIN_PHI_ABLATION,0.5344074008068039,2.707322837585031,51,12.519617301026733,255
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,FULL_FROZEN,0.02768614512065315,0.5276861451206531,13,4.447498375033463,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_DEBT,-0.16666666666666669,0.3333333333333333,2,2.0,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_ONLY,-0.16666666666666669,0.3333333333333333,2,2.0,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_PHI,0.02768614512065315,0.5276861451206531,13,4.447498375033463,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,OLD_GLOBAL_PHI_DIAGNOSTIC,-0.16666666666666674,0.5276861451206531,13,4.447498375033463,57
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,PAIRED_EVENT_BALANCED,-1.0,0.0,0,,57
