cut,passed,kind,episode_id
2,True,PREFIX,P1V5_F00_920000__D1_A_then_B_clean_success
33,True,PREFIX,P1V5_F00_920000__D1_A_then_B_clean_success
66,True,PREFIX,P1V5_F00_920000__D1_A_then_B_clean_success
99,True,PREFIX,P1V5_F00_920000__D1_A_then_B_clean_success
132,True,PREFIX,P1V5_F00_920000__D1_A_then_B_clean_success
66,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__D1_A_then_B_clean_success
2,True,PREFIX,P1V5_F00_920000__D2_B_then_A_clean_success
33,True,PREFIX,P1V5_F00_920000__D2_B_then_A_clean_success
66,True,PREFIX,P1V5_F00_920000__D2_B_then_A_clean_success
99,True,PREFIX,P1V5_F00_920000__D2_B_then_A_clean_success
132,True,PREFIX,P1V5_F00_920000__D2_B_then_A_clean_success
66,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__D2_B_then_A_clean_success
2,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
43,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
86,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
99,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
121,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
129,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
172,True,PREFIX,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
86,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__D3_A_done_B_loss_recovery_then_success
2,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
43,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
86,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
99,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
121,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
129,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
172,True,PREFIX,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
86,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__D4_B_done_A_loss_recovery_then_success
2,True,PREFIX,P1V5_F00_920000__D5_completed_subgoal_invalidated_restored
65,True,PREFIX,P1V5_F00_920000__D5_completed_subgoal_invalidated_restored
130,True,PREFIX,P1V5_F00_920000__D5_completed_subgoal_invalidated_restored
195,True,PREFIX,P1V5_F00_920000__D5_completed_subgoal_invalidated_restored
260,True,PREFIX,P1V5_F00_920000__D5_completed_subgoal_invalidated_restored
130,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__D5_completed_subgoal_invalidated_restored
2,True,PREFIX,P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure
35,True,PREFIX,P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure
70,True,PREFIX,P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure
105,True,PREFIX,P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure
140,True,PREFIX,P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure
70,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure
2,True,PREFIX,P1V5_F00_920000__R1_clean_transport_success
17,True,PREFIX,P1V5_F00_920000__R1_clean_transport_success
34,True,PREFIX,P1V5_F00_920000__R1_clean_transport_success
51,True,PREFIX,P1V5_F00_920000__R1_clean_transport_success
68,True,PREFIX,P1V5_F00_920000__R1_clean_transport_success
34,True,FUTURE_GEOMETRY_MUTATION,P1V5_F00_920000__R1_clean_transport_success
