episode_id,kind,cut,n_full,passed,state_match,reward_match,raw
P1V5_F00_920000__D1_A_then_B_clean_success,CSV_REBUILD_PREFIX,33,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00
P1V5_F00_920000__D1_A_then_B_clean_success,CSV_REBUILD_PREFIX,66,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00
P1V5_F00_920000__D1_A_then_B_clean_success,CSV_REBUILD_PREFIX,99,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00
P1V5_F00_920000__D1_A_then_B_clean_success,CSV_REBUILD_PREFIX,132,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00
P1V5_F00_920000__D1_A_then_B_clean_success,CSV_FUTURE_GEOMETRY_MUTATION,66,,True,,,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00
P1V5_F00_920000__D1_A_then_B_clean_success,IDENTITY_CASE_RENAME,132,,True,,,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D1_A_then_B_clean_success/rollout_00
P1V5_F00_920000__D2_B_then_A_clean_success,CSV_REBUILD_PREFIX,33,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00
P1V5_F00_920000__D2_B_then_A_clean_success,CSV_REBUILD_PREFIX,66,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00
P1V5_F00_920000__D2_B_then_A_clean_success,CSV_REBUILD_PREFIX,99,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00
P1V5_F00_920000__D2_B_then_A_clean_success,CSV_REBUILD_PREFIX,132,132,True,True,True,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00
P1V5_F00_920000__D2_B_then_A_clean_success,CSV_FUTURE_GEOMETRY_MUTATION,66,,True,,,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00
P1V5_F00_920000__D2_B_then_A_clean_success,IDENTITY_CASE_RENAME,132,,True,,,/home/__compress_data/xushijie/graph_pathgraph_p1_v5_data_v6/P1V5_F00_920000/D2_B_then_A_clean_success/rollout_00
