episode_id,psi0,psiN,delta,case_id,family_id
P1V6_931100_C1_NORMAL_93310000,-0.6666666666666666,0.0,0.6666666666666666,C1_NORMAL,931100
P1V6_931100_C2_LOSS_RETURN_P40_93310001,-0.6666666666666666,-0.33246645632956445,0.3342002103371022,C2_LOSS_RETURN_P40,931100
P1V6_931100_C3_LOSS_RETURN_P80_93310002,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C3_LOSS_RETURN_P80,931100
P1V6_931100_C4_THREE_RETURNS_P40_93310003,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C4_THREE_RETURNS_P40,931100
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C5_RECOVERY_COMMAND_NO_MOTION,931100
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C6_PARTIAL_APPROACH_NO_REGRASP,931100
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,-0.6666666666666666,-0.33333329251318305,0.3333333741534836,C7_NO_LOSS_OUT_AND_BACK,931100
P1V6_931100_C8_COMMANDED_RELEASE_93310007,-0.6666666666666666,0.0,0.6666666666666666,C8_COMMANDED_RELEASE,931100
P1V6_931101_C1_NORMAL_93310100,-0.6666666666666666,0.0,0.6666666666666666,C1_NORMAL,931101
P1V6_931101_C2_LOSS_RETURN_P40_93310101,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,C2_LOSS_RETURN_P40,931101
P1V6_931101_C3_LOSS_RETURN_P80_93310102,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,C3_LOSS_RETURN_P80,931101
P1V6_931101_C4_THREE_RETURNS_P40_93310103,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C4_THREE_RETURNS_P40,931101
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C5_RECOVERY_COMMAND_NO_MOTION,931101
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C6_PARTIAL_APPROACH_NO_REGRASP,931101
P1V6_931101_C7_NO_LOSS_OUT_AND_BACK_93310106,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,C7_NO_LOSS_OUT_AND_BACK,931101
P1V6_931101_C8_COMMANDED_RELEASE_93310107,-0.6666666666666666,0.0,0.6666666666666666,C8_COMMANDED_RELEASE,931101
P1V6_931102_C1_NORMAL_93310200,-0.6666666666666666,0.0,0.6666666666666666,C1_NORMAL,931102
P1V6_931102_C2_LOSS_RETURN_P40_93310201,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,C2_LOSS_RETURN_P40,931102
P1V6_931102_C3_LOSS_RETURN_P80_93310202,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,C3_LOSS_RETURN_P80,931102
P1V6_931102_C4_THREE_RETURNS_P40_93310203,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C4_THREE_RETURNS_P40,931102
P1V6_931102_C5_RECOVERY_COMMAND_NO_MOTION_93310204,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C5_RECOVERY_COMMAND_NO_MOTION,931102
P1V6_931102_C6_PARTIAL_APPROACH_NO_REGRASP_93310205,-0.6666666666666666,-0.8333333333333334,-0.16666666666666674,C6_PARTIAL_APPROACH_NO_REGRASP,931102
P1V6_931102_C7_NO_LOSS_OUT_AND_BACK_93310206,-0.6666666666666666,-0.33332462473332647,0.33334204193334016,C7_NO_LOSS_OUT_AND_BACK,931102
P1V6_931102_C8_COMMANDED_RELEASE_93310207,-0.6666666666666666,0.0,0.6666666666666666,C8_COMMANDED_RELEASE,931102
