episode_id,interval_kind,checkpoint,start,end,closure_status,geometry_closure,qpos_restored,case_id,family_id,method,signed_return,positive_weight_sum,candidate_endpoint_delta,interval_convention,reward_state_reset
P1V6_931100_C1_NORMAL_93310000,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C1_NORMAL,931100,,,,,,
P1V6_931100_C2_LOSS_RETURN_P40_93310001,MACRO_CYCLE,A_loop0,85,,NO_OBSERVED_RETURN,,False,C2_LOSS_RETURN_P40,931100,,,,,,
P1V6_931100_C3_LOSS_RETURN_P80_93310002,MACRO_CYCLE,A_loop0,85,,NO_OBSERVED_RETURN,,False,C3_LOSS_RETURN_P80,931100,,,,,,
P1V6_931100_C4_THREE_RETURNS_P40_93310003,MACRO_CYCLE,A_loop0,85,,NO_OBSERVED_RETURN,,False,C4_THREE_RETURNS_P40,931100,,,,,,
P1V6_931100_C4_THREE_RETURNS_P40_93310003,MACRO_CYCLE,A_loop1,279,,NO_OBSERVED_RETURN,,False,C4_THREE_RETURNS_P40,931100,,,,,,
P1V6_931100_C5_RECOVERY_COMMAND_NO_MOTION_93310004,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C5_RECOVERY_COMMAND_NO_MOTION,931100,,,,,,
P1V6_931100_C6_PARTIAL_APPROACH_NO_REGRASP_93310005,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C6_PARTIAL_APPROACH_NO_REGRASP,931100,,,,,,
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,FULL_FROZEN,7.623814777091287e-06,0.1999999996523903,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,GRAPH_COST_PHI,7.623814777091287e-06,0.1999999996523903,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,GRAPH_COST_DEBT,0.0,0.0,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,GRAPH_COST_ONLY,0.0,0.0,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,OLD_GLOBAL_PHI_DIAGNOSTIC,7.623814777091287e-06,0.1999999996523903,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,PAIRED_EVENT_BALANCED,0.0,0.0,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,V6_CAP_COST_ONLY,0.0,0.0,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,V6_CAP_WITHIN_PHI_ABLATION,2.5412709770602907e-06,0.06666665022274512,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C7_NO_LOSS_OUT_AND_BACK_93310006,MACRO_CYCLE,A,85,153,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 1.0565818050858549e-05, ""obj_vel"": 0.0012737262214391456, ""obj_angle"": 0.0, ""obj_angular_vel"": 6.090526106436373e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931100,V6_CAP_POTENTIAL,2.5412709770966657e-06,0.06666665022274515,2.5412709770966657e-06,"states[s,e], transitions[s,e)",False
P1V6_931100_C8_COMMANDED_RELEASE_93310007,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C8_COMMANDED_RELEASE,931100,,,,,,
P1V6_931101_C1_NORMAL_93310100,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C1_NORMAL,931101,,,,,,
P1V6_931101_C2_LOSS_RETURN_P40_93310101,MACRO_CYCLE,A_loop0,85,,NO_OBSERVED_RETURN,,False,C2_LOSS_RETURN_P40,931101,,,,,,
P1V6_931101_C3_LOSS_RETURN_P80_93310102,MACRO_CYCLE,A_loop0,85,,NO_OBSERVED_RETURN,,False,C3_LOSS_RETURN_P80,931101,,,,,,
P1V6_931101_C4_THREE_RETURNS_P40_93310103,MACRO_CYCLE,A_loop0,85,,NO_OBSERVED_RETURN,,False,C4_THREE_RETURNS_P40,931101,,,,,,
P1V6_931101_C4_THREE_RETURNS_P40_93310103,MACRO_CYCLE,A_loop1,250,,NO_OBSERVED_RETURN,,False,C4_THREE_RETURNS_P40,931101,,,,,,
P1V6_931101_C5_RECOVERY_COMMAND_NO_MOTION_93310104,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C5_RECOVERY_COMMAND_NO_MOTION,931101,,,,,,
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,MACRO_CYCLE,A,85,,NO_OBSERVED_RETURN,,False,C6_PARTIAL_APPROACH_NO_REGRASP,931101,,,,,,
P1V6_931101_C7_NO_LOSS_OUT_AND_BACK_93310106,MACRO_CYCLE,A,85,149,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 6.666066840026834e-06, ""obj_vel"": 0.000803603152628398, ""obj_angle"": 0.0, ""obj_angular_vel"": 1.4101922192687706e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931101,FULL_FROZEN,5.202067425880141e-06,0.1999966939593395,0.0,"states[s,e], transitions[s,e)",False
P1V6_931101_C7_NO_LOSS_OUT_AND_BACK_93310106,MACRO_CYCLE,A,85,149,BOUNDED_OBSERVED_TASK_RETURN,"{""status"": ""BOUNDED_OBSERVED_TASK_RETURN"", ""errors"": {""eef_position"": 0.0, ""obj_pos"": 6.666066840026834e-06, ""obj_vel"": 0.000803603152628398, ""obj_angle"": 0.0, ""obj_angular_vel"": 1.4101922192687706e-17}, ""orientation_observed"": true, ""complete_physical_closure_certified"": false, ""position_tolerance"": 0.001, ""velocity_tolerance"": 0.01}",False,C7_NO_LOSS_OUT_AND_BACK,931101,GRAPH_COST_PHI,5.202067425880141e-06,0.1999966939593395,0.0,"states[s,e], transitions[s,e)",False
