controller_id,case_id,pass_families,n_families
RC1_OBJECT_COMPENSATED_DIRECT,E1_LOSS_RETURN_P40,0,4
RC1_OBJECT_COMPENSATED_DIRECT,E2_LOSS_RETURN_P80,0,4
RC1_OBJECT_COMPENSATED_DIRECT,E3_THREE_RETURNS_P40,0,4
RC1_OBJECT_COMPENSATED_DIRECT,E4_THREE_RETURNS_P80,0,4
RC1_OBJECT_COMPENSATED_DIRECT,E5_REGRASP_OFFSET_LEFT_P40,0,4
RC1_OBJECT_COMPENSATED_DIRECT,E6_REGRASP_OFFSET_RIGHT_P40,0,4
RC1_OBJECT_COMPENSATED_DIRECT,E7_NO_LOSS_OUT_AND_BACK,3,4
RC1_OBJECT_COMPENSATED_DIRECT,E8_COMMANDED_RELEASE_CONTROL,4,4
RC2_OBJECT_COMPENSATED_STAGED,E1_LOSS_RETURN_P40,0,4
RC2_OBJECT_COMPENSATED_STAGED,E2_LOSS_RETURN_P80,0,4
RC2_OBJECT_COMPENSATED_STAGED,E3_THREE_RETURNS_P40,0,4
RC2_OBJECT_COMPENSATED_STAGED,E4_THREE_RETURNS_P80,0,4
RC2_OBJECT_COMPENSATED_STAGED,E5_REGRASP_OFFSET_LEFT_P40,0,4
RC2_OBJECT_COMPENSATED_STAGED,E6_REGRASP_OFFSET_RIGHT_P40,0,4
RC2_OBJECT_COMPENSATED_STAGED,E7_NO_LOSS_OUT_AND_BACK,3,4
RC2_OBJECT_COMPENSATED_STAGED,E8_COMMANDED_RELEASE_CONTROL,4,4
RC3_OBJECT_ERROR_SERVO,E1_LOSS_RETURN_P40,0,4
RC3_OBJECT_ERROR_SERVO,E2_LOSS_RETURN_P80,0,4
RC3_OBJECT_ERROR_SERVO,E3_THREE_RETURNS_P40,0,4
RC3_OBJECT_ERROR_SERVO,E4_THREE_RETURNS_P80,0,4
RC3_OBJECT_ERROR_SERVO,E5_REGRASP_OFFSET_LEFT_P40,0,4
RC3_OBJECT_ERROR_SERVO,E6_REGRASP_OFFSET_RIGHT_P40,0,4
RC3_OBJECT_ERROR_SERVO,E7_NO_LOSS_OUT_AND_BACK,0,4
RC3_OBJECT_ERROR_SERVO,E8_COMMANDED_RELEASE_CONTROL,4,4
