method,action_group,n,weight_sum,mean_weight,ess,share_of_total_weight,mean_minus_bc
BC_UNIFORM,acquire_A,2059,2059.0,1.0,2059.0,0.04053787998109939,0.0
BC_UNIFORM,acquire_B,2230,2230.0,1.0,2230.0,0.04390455189793668,0.0
BC_UNIFORM,advance_A,16363,16363.0,1.0,16363.0,0.3221570326035596,0.0
BC_UNIFORM,advance_B,16700,16700.0,1.0,16700.0,0.3287919357379115,0.0
BC_UNIFORM,gripper_reopen,673,673.0,1.0,673.0,0.013250118128839188,0.0
BC_UNIFORM,place_A,2081,2081.0,1.0,2081.0,0.04097101905811939,0.0
BC_UNIFORM,place_B,2141,2141.0,1.0,2141.0,0.04215230744999213,0.0
BC_UNIFORM,recovery_prepare,1864,1864.0,1.0,1864.0,0.036698692707513,0.0
BC_UNIFORM,regrasp,1933,1933.0,1.0,1933.0,0.03805717435816664,0.0
BC_UNIFORM,wait,4748,4748.0,1.0,4748.0,0.0934792880768625,0.0
V6_CAP_POTENTIAL,acquire_A,2059,2750.549090921879,1.3358664841776973,1787.1151366719369,0.054153195206368694,0.33586648417769727
V6_CAP_POTENTIAL,acquire_B,2230,2923.2161940336227,1.3108592798357053,1916.177756865344,0.057552689282438625,0.31085927983570527
V6_CAP_POTENTIAL,advance_A,16363,13948.24925738573,0.8524261600797978,12947.913684338584,0.2746150822449545,-0.14757383992020223
V6_CAP_POTENTIAL,advance_B,16700,14642.985235571861,0.8768254632078959,13010.737085726703,0.28829314135241496,-0.1231745367921041
V6_CAP_POTENTIAL,gripper_reopen,673,414.7152954339981,0.6162188639435336,533.9963902732002,0.008164972740470903,-0.38378113605646635
V6_CAP_POTENTIAL,place_A,2081,4346.109021663666,2.088471418387153,1803.764066676101,0.08556680228507768,1.0884714183871531
V6_CAP_POTENTIAL,place_B,2141,4259.976663649082,1.9897135280939198,1855.9085721353417,0.08387101637362344,0.9897135280939198
V6_CAP_POTENTIAL,recovery_prepare,1864,1048.765202999115,0.5626422762870789,1864.000000000001,0.020648236001715132,-0.43735772371292114
V6_CAP_POTENTIAL,regrasp,1933,3786.0088791251183,1.9586181475039413,1475.2369087079278,0.07453947234062684,0.9586181475039413
