method,condition,episodes,success_rate,episodes_with_observed_loss,observed_loss_events,restored_events,restore_given_observed_loss,success_given_loss_exposure,mean_steps,mean_wait_fraction
BC_UNIFORM,A_STARTED,640,0.9,0,0,0,,,25.925,0.019140625
BC_UNIFORM,A_VALID_B_LOSS,640,0.85,640,640,640,1.0,0.85,21.2625,0.014453125
BC_UNIFORM,B_STARTED,640,0.9625,0,0,0,,,23.76875,0.0138671875
BC_UNIFORM,B_VALID_A_LOSS,640,0.95,640,640,640,1.0,0.95,17.3,0.012109375
BC_UNIFORM,FREE_ORDER,640,0.95,0,0,0,,,24.8828125,0.0203125
BC_UNIFORM,INVALIDATE_FIRST,640,0.8875,0,0,0,,,36.846875,0.032421875
BC_UNIFORM,LATE_LOSS,640,0.9375,640,640,640,1.0,0.9375,29.8171875,0.0291015625
BC_UNIFORM,TWO_LOSSES,640,0.875,640,1280,1280,1.0,0.875,33.91875,0.052734375
LINEAR_A_FIRST_R1,A_STARTED,640,0.825,0,0,0,,,29.0515625,0.01015625
LINEAR_A_FIRST_R1,A_VALID_B_LOSS,640,0.8,640,640,640,1.0,0.8,24.2421875,0.000390625
LINEAR_A_FIRST_R1,B_STARTED,640,0.95,0,0,0,,,24.9078125,0.0111328125
LINEAR_A_FIRST_R1,B_VALID_A_LOSS,640,0.9,640,640,640,1.0,0.9,19.6609375,0.0009765625
LINEAR_A_FIRST_R1,FREE_ORDER,640,0.9375,0,0,0,,,26.4125,0.0130859375
LINEAR_A_FIRST_R1,INVALIDATE_FIRST,640,0.8375,0,0,0,,,37.4296875,0.0232421875
LINEAR_A_FIRST_R1,LATE_LOSS,640,0.9125,640,640,640,1.0,0.9125,31.415625,0.01796875
LINEAR_A_FIRST_R1,TWO_LOSSES,640,0.8625,640,1280,1280,1.0,0.8625,35.41875,0.034375
LINEAR_B_FIRST_R1,A_STARTED,640,0.85,0,0,0,,,28.3140625,0.0083984375
