method,policy_seed,checkpoint_step,path,exists,bytes,sha256,is_final
TASK_ONLY,211,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_211/policy_0.zip,True,191552,0643233e02bb9053cbe5b4742a76423d7651d119bef12d2f345f5efeeac69394,False
TASK_ONLY,211,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_211/policy_32768.zip,True,546204,90fdc832dbbb4eead608ce202e14e9645da833c2b902702873f503983bd0f296,False
TASK_ONLY,211,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_211/policy_65536.zip,True,546208,da8ac7983aa3d4c9bbbaf684ea8ea9ba6ba872849bcbf42cf1360f5739af4044,False
TASK_ONLY,211,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_211/policy_131072.zip,True,546210,5983fdf5f46bfb8588fac21a39e270758e0010bed9135e9dd00c61685db7f86f,False
TASK_ONLY,211,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_211/policy_262144.zip,True,546212,873f4df3a0b29034be8fac6e98d3d024bfc3e03bc4b6da8055702f8df559bcb3,False
TASK_ONLY,211,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_211/policy_524288.zip,True,546212,647fc7f8dd69ba6af9f906eb25fde04100479703ed56526cc950302ae19b0ca7,True
TASK_ONLY,223,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_223/policy_0.zip,True,191552,5aaf053c1fe2ae590a529e990cdebd9589c91043baa0f15b87be25bd8ddaccc9,False
TASK_ONLY,223,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_223/policy_32768.zip,True,546204,a2fb6d44437be4d0fedd246f3d0a0d6b1b1f206131e824223ea8a089d3a4208d,False
TASK_ONLY,223,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_223/policy_65536.zip,True,546208,f06499fd8ddaf47a4791d3c39dc63dcbd782182b83673e75e04354283d949414,False
TASK_ONLY,223,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_223/policy_131072.zip,True,546210,3397fae04a9d4a0e265d01a7c2e67aa20be827809936d89e058c21b417a6fbee,False
TASK_ONLY,223,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_223/policy_262144.zip,True,546212,cfb722f013886b87bd425a24869cd3a44a828f871398b0e6972754b1ee116fc9,False
TASK_ONLY,223,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_223/policy_524288.zip,True,546212,5391c6be887671215df21b14809e3e7cfbe7df6cf9eb01bdf532626bea02646e,True
TASK_ONLY,227,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_227/policy_0.zip,True,191552,4344acdd45430244cf8c686d8d6d0b274043b4bea32ec08d4aa7c3b24c5e09f3,False
TASK_ONLY,227,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_227/policy_32768.zip,True,546204,ad628c6c8a5243fff50b6fa0dd5082cb11f22df454f7474fcb4d12a284e43010,False
