method,policy_seed,fixed_subset_episodes,expected,transitions,coverage_pass
TASK_ONLY,211,512,512,49152,True
TASK_ONLY,223,512,512,24235,True
TASK_ONLY,227,512,512,18903,True
TASK_ONLY,229,512,512,18800,True
TASK_ONLY,233,512,512,21147,True
TASK_ONLY,239,512,512,49152,True
TASK_ONLY,241,512,512,16864,True
TASK_ONLY,251,512,512,23549,True
COUNT_PBRS,211,512,512,25056,True
COUNT_PBRS,223,512,512,49152,True
COUNT_PBRS,227,512,512,49152,True
COUNT_PBRS,229,512,512,19295,True
COUNT_PBRS,233,512,512,22957,True
COUNT_PBRS,239,512,512,17967,True
COUNT_PBRS,241,512,512,19166,True
COUNT_PBRS,251,512,512,22092,True
COUNT_EVENTS_PBRS,211,512,512,18906,True
COUNT_EVENTS_PBRS,223,512,512,24667,True
COUNT_EVENTS_PBRS,227,512,512,49152,True
COUNT_EVENTS_PBRS,229,512,512,18586,True
COUNT_EVENTS_PBRS,233,512,512,49152,True
COUNT_EVENTS_PBRS,239,512,512,49152,True
COUNT_EVENTS_PBRS,241,512,512,23621,True
COUNT_EVENTS_PBRS,251,512,512,19698,True
GEOM_COUNT_EVENTS_PBRS,211,512,512,25687,True
GEOM_COUNT_EVENTS_PBRS,223,512,512,22083,True
GEOM_COUNT_EVENTS_PBRS,227,512,512,15400,True
GEOM_COUNT_EVENTS_PBRS,229,512,512,18512,True
GEOM_COUNT_EVENTS_PBRS,233,512,512,22395,True
GEOM_COUNT_EVENTS_PBRS,239,512,512,30147,True
GEOM_COUNT_EVENTS_PBRS,241,512,512,18795,True
GEOM_COUNT_EVENTS_PBRS,251,512,512,23508,True
GRAPH_COST_PBRS,211,512,512,20664,True
GRAPH_COST_PBRS,223,512,512,17641,True
GRAPH_COST_PBRS,227,512,512,24696,True
GRAPH_COST_PBRS,229,512,512,20326,True
GRAPH_COST_PBRS,233,512,512,31827,True
GRAPH_COST_PBRS,239,512,512,21850,True
GRAPH_COST_PBRS,241,512,512,18681,True
GRAPH_COST_PBRS,251,512,512,20557,True
GRAPH_FULL_PBRS,211,512,512,18282,True
GRAPH_FULL_PBRS,223,512,512,23435,True
GRAPH_FULL_PBRS,227,512,512,19344,True
GRAPH_FULL_PBRS,229,512,512,18552,True
GRAPH_FULL_PBRS,233,512,512,18300,True
GRAPH_FULL_PBRS,239,512,512,22777,True
GRAPH_FULL_PBRS,241,512,512,25483,True
GRAPH_FULL_PBRS,251,512,512,20797,True
