state_hash,condition,profile,expert_action,expert_geom_rank,expert_graph_rank,reference
00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777,B_STARTED,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00ba6b9c16b8899d34629a77c114180b95c6ef35d4608db154926035f79d6286,B_STARTED,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
007f73da363709062147602fb360c44196468f825f134992750e03309bc68029,B_STARTED,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0000acd58592a14bf4e79e9a58322ff9505c008d31a4d753c66f5ca50e1db705,INVALIDATE_FIRST,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0000ed93d3e55dac26196c47f54c013570712edbfd7f3d9cbfb6678d53f31e39,LATE_LOSS,BASE64,START_RECOVERY_B,11,11,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00011d43447b7837440191c9f544a278211c610759e15bfc3100344052560029,LATE_LOSS,LONG_CHAIN128,PLACE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0001d71db99f46295082566559ff742d9d4405f3c2ebf7386b1147891d3aa554,FREE_ORDER,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00022c911fa5451a4ad95da4fc73a77e0ad94bae6d0b3977e1d6ca2947c6b0cc,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00027a3dea1c30de8a9b21e911cc31122c200280505ad24fe2188ccced0a97de,B_VALID_A_LOSS,LONG_CHAIN128,PLACE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00029cb81a5b09e3acbdb84a245ecee5d964cad1e17857e45d2f46b57a6a41f9,TWO_LOSSES,BASE64,PLACE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0002bc9537a5266a7dfc9425b3d8ed0720300d7cfafb6c99d81683875cf3c953,TWO_LOSSES,BASE64,REGRASP_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0004b62299009063ec20da0e21912ea4f447b83c2bdb29752904cc33390dfe57,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0004b989451b4a19c7572175b1fe7c5ec682a171de20b5ae99baea1c2c94ce63,INVALIDATE_FIRST,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0004e1279032a405ce69bb481464d2b3097399d44deaf87670a0089d4328f8a0,A_STARTED,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
000557090b3a32087ba295712e55a1330304da0f59f52145a2cd3ca6c69a8785,A_VALID_B_LOSS,BASE64,REGRASP_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00055752ed9bfdba09f69694110afc572ac176b59a27bb0e43a6da4c63490efb,A_STARTED,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0005c98d13c7e378ad1af170b710448a26073dd4bcdb32ae70e8df83b946eed6,A_VALID_B_LOSS,LONG_CHAIN128,PLACE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0005d9965bfa155be594867337ba157dc2021669971bc45428b27a0c76c486a8,LATE_LOSS,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
