method,policy_seed,worker,first_success_episode_index,cumulative_worker_steps,approx_env_interactions,episode_id,status
COUNT_EVENTS_PBRS,227,0,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,1,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,2,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,3,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,4,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,5,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,6,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,227,7,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,0,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,1,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,2,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,3,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,4,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,5,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,6,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,233,7,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,0,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,1,166,16052,128416,P2B_train_239_1_166,OBSERVED
COUNT_EVENTS_PBRS,239,2,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,3,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,4,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,5,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,6,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_EVENTS_PBRS,239,7,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,0,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,1,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,2,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,3,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,4,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,5,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,6,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,223,7,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,0,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,1,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,2,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,3,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,4,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,5,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,6,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
COUNT_PBRS,227,7,,,,,TRAIN_STREAM_NO_SUCCESS_OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,0,70,6765,54120,P2B_train_211_0_70,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,1,68,6598,52784,P2B_train_211_1_68,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,2,50,4851,38808,P2B_train_211_2_50,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,3,64,6217,49736,P2B_train_211_3_64,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,4,46,4478,35824,P2B_train_211_4_46,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,5,76,7348,58784,P2B_train_211_5_76,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,6,59,5760,46080,P2B_train_211_6_59,OBSERVED
GEOM_COUNT_EVENTS_PBRS,211,7,72,6949,55592,P2B_train_211_7_72,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,0,23,2298,18384,P2B_train_223_0_23,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,1,68,6639,53112,P2B_train_223_1_68,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,2,35,3454,27632,P2B_train_223_2_35,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,3,49,4780,38240,P2B_train_223_3_49,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,4,46,4472,35776,P2B_train_223_4_46,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,5,28,2785,22280,P2B_train_223_5_28,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,6,27,2664,21312,P2B_train_223_6_27,OBSERVED
GEOM_COUNT_EVENTS_PBRS,223,7,40,3941,31528,P2B_train_223_7_40,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,0,55,5324,42592,P2B_train_227_0_55,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,1,53,5152,41216,P2B_train_227_1_53,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,2,51,4976,39808,P2B_train_227_2_51,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,3,48,4669,37352,P2B_train_227_3_48,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,4,63,6086,48688,P2B_train_227_4_63,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,5,44,4323,34584,P2B_train_227_5_44,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,6,43,4202,33616,P2B_train_227_6_43,OBSERVED
GEOM_COUNT_EVENTS_PBRS,227,7,56,5426,43408,P2B_train_227_7_56,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,0,39,3827,30616,P2B_train_233_0_39,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,1,62,6057,48456,P2B_train_233_1_62,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,2,85,8251,66008,P2B_train_233_2_85,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,3,82,8000,64000,P2B_train_233_3_82,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,4,87,8444,67552,P2B_train_233_4_87,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,5,61,5948,47584,P2B_train_233_5_61,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,6,75,7268,58144,P2B_train_233_6_75,OBSERVED
GEOM_COUNT_EVENTS_PBRS,233,7,88,8552,68416,P2B_train_233_7_88,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,0,54,5244,41952,P2B_train_239_0_54,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,1,37,3646,29168,P2B_train_239_1_37,OBSERVED
GEOM_COUNT_EVENTS_PBRS,239,2,51,4986,39888,P2B_train_239_2_51,OBSERVED
