geom_signature,group_size,distinct_graph_cost_count,distinct_graph_full_count,max_graph_potential_span,conditions,phases,active_objects,representative_state_hashes
"[0,0,""0""]",17122,2,2,0.08333333333333337,"B_STARTED,A_STARTED,FREE_ORDER,INVALIDATE_FIRST,A_VALID_B_LOSS,TWO_LOSSES,LATE_LOSS","HELD/WAIT,WAIT/WAIT,WAIT/HELD","A,,B","[""00004a38d39c223aad2e4289dc1f8c4174029ba66dda27d9d81a14af15132777"",""0004e1279032a405ce69bb481464d2b3097399d44deaf87670a0089d4328f8a0"",""0009db3cf6dce0078b45d988c6e5dade5c3df20e39ab72fcdaaaf3f73eb1c11d"",""000e2074caf0aa4c8869cb9bce9064cc0b76e34e952b289d1f60ecf5b889db1d"",""0011de522f80b99a3baba2bf513fe1f6842ac84b147fc5da93ee1ac6cf8ad924""]"
"[0,0,""0.018472212773937069""]",112,2,2,0.08641203546232279,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""00580bbcf651a5eb38f8eeb855621b1bfcd899083132eed0f1327f5291fe90bb"",""005c92de65a9560f53c55040d55085898ba2602780f84fdef2c71f8d33537460"",""09d10ff6bc8b5db47f7f2a8ce1ced00ba06b8ad25188b2a940f4a4c651729d7c"",""0ce506a7f914f128cd9090d5cc1c527cd0794954c4c0aa954499e8bc4fda8d63"",""0d8fb2a8a2a59a5558ba408ddcd71f4a3f95b026e0be3e7b067500adf2cd7c5a""]"
"[0,0,""0.021730740487925782""]",109,2,2,0.08695512341465417,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""01fad0ef9e52dd4e2b852cae9369f774050edfde819ca546c0051940f6f59d57"",""08913ff24a97726bc2c7b49314fa4c688e6c3d1d8b5099b15520d156b4769a15"",""08b892e6f6d5fdde06b923c20a60f2f5dba43e5b0710bc8d6c9ceacd0b7f0370"",""0911d92a44b087798305d94f0b363154a98619cb3007ae8e37eac75c3b4efd55"",""0a767dedc8920ebee14c8361f8ff0592582c9a1519d9821781d0e17e8078a512""]"
"[0,0,""0.022788114075032617""]",153,2,2,0.08713135234583869,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""00a43fc30255e03187153fca1a9799a27191680ded63c4be6ebb0cd3f17a63ff"",""01feb4fb5b70076db4eeb23a23e583702cf68b06f9d7647de06fe0efb7ad6d7b"",""03cf1248206e0ea65287a90cb39cdb27ded938fbc04a0e15a7567c8b2513b8b9"",""058117f9f91a90372b6d438f7edb63204b7babeb92b0838bc0ce005f9ed48583"",""077c812474d5c781aa1dab45470205d26c5fab021c4ccb64233217bcef286b0f""]"
"[0,0,""0.022883961723500656""]",111,2,2,0.08714732695391669,"FREE_ORDER,INVALIDATE_FIRST,B_STARTED,A_STARTED,LATE_LOSS","WAIT/TRANSPORT,WAIT/HELD",B,"[""011d38d13b3b3442727ff99861881e38f3c17a45d09949e24edfeb61b9c5071c"",""012e9d8e2661b45b0f45557a8a856aa42acbb50efaa4af692e90949f4c5189fb"",""02e10a1815afc39a2d87e88dc8ca63132edb437451a40e9ff289fe4aac656aac"",""0446379ad261c6baf6ba3834d3ed8d5315aa2a1d6a57f461f0f19766e1dbbc78"",""0519adbac175185305a95ffdc807ba972c545828595414d2bb2b7b77feced313""]"
"[0,0,""0.022923132862825935""]",162,2,2,0.08715385547713761,"FREE_ORDER,INVALIDATE_FIRST,TWO_LOSSES,B_STARTED,A_STARTED","WAIT/TRANSPORT,WAIT/HELD",B,"[""02844f4caefbc2e9e52f5f379a714eb47c6ad35cdab5c0ed8b5c4416736b83a8"",""04db944515275ff2711e6064fe654eaf0c193ba8af308d05ca85a826d58a2a27"",""04fc86340d361309492e482570b150b7a5ea7e11c58ea2c77d4c4c18bd10cd35"",""078aff8a69693920ab89539057cb22391f9deb112aa09c2d2696a164f60c5f15"",""090d4b540b491623de773a93c32cb53fc8176d941bafecd6a6e16dd1f9f9f264""]"
"[0,0,""0.023057424032353557""]",116,2,2,0.08717623733872548,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""017d400c8851a58b01849cc3f745c5e0343d02e2beead01de9915bf4c57de4ca"",""07710ff242efc361ebd198ed25c0526f04aa63262768a031e89584a08f9e85c7"",""090a0c068dc40ab93ac94b6f2c2587b3234916064640b64387ab9c6f0430e411"",""0be5c5ae6ff40383f67c1f202dbcfdd5518f3dd54228ca85156ab70e21834670"",""0e2252c3378e726635891abcf217dd3f1b511c464e26e36c30330dfd1430e9bb""]"
"[0,0,""0.02627888249596505""]",113,2,2,0.08771314708266076,"FREE_ORDER,B_STARTED,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""00737cf061056db1580336cce1b2622ae7a98a77f5dd238be1cb7b3ea6aecace"",""008de5f21af907fef27fbe1a694494fae5b25e934ebf5c821752736d4846fcd6"",""00c90449763adf9b4ad1f295b378b1ca6d37ae389f20a6c3f309999e8a614ea4"",""0125ca8f521c15e720eab819c1228f0f0a3c0cd8dfe8f86ab3e06e3ecc95026f"",""03d8b7a55a5c81538f46ab495b1c2af47794bbcb26763509b9dd47c8b0298aaa""]"
"[0,0,""0.026461323424456451""]",108,2,2,0.08774355390407595,"B_STARTED,FREE_ORDER,A_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""0595101dc25b1301002d37b29aa48129f983eb25ceb21638b5bc9addf9192766"",""0728dc67728badf5617ab655384b4ad80a40044d305511570a2c7754bcc3034b"",""07a5339c05d9182af04519d008c2b8ac0d111b34af4b9bd5fbb4736969c13019"",""08acaadea72c342bf8207982af4657ef65e05a15b3f20f1c2ca29de775512b86"",""0c223ee9b169d6ffbf549caba886b495715eae5e257282be4c567a512ad31657""]"
"[0,0,""0.027268171241296435""]",100,2,2,0.08787802854021598,"A_STARTED,FREE_ORDER,B_STARTED,INVALIDATE_FIRST","WAIT/TRANSPORT,WAIT/HELD",B,"[""031f10ca7e1e5c1fb3ef4847e2fffddbb2260c02ccd68c4504df2817740c15fc"",""04fb81d6fa7b3eda0f9adb3570b6ee3976dc9614b1effdb80b4cdab24d5bcaf4"",""072122637c1ce5e5a8bc380e77192bbf76f5c5842edb660e6710c5acfa913348"",""0757368c8d710fe2a9366b2cdfb1335ab9068adb5cfa88f171f3c39ac3797758"",""10ef82e6bf0096b98d6434d3a5bd0c5f4fe5f21b225c40464f7a3240ae123683""]"
