method,policy_seed,rows,time/total_timesteps_first,time/total_timesteps_last,time/total_timesteps_min,time/total_timesteps_max,train/approx_kl_first,train/approx_kl_last,train/approx_kl_min,train/approx_kl_max,train/clip_fraction_first,train/clip_fraction_last,train/clip_fraction_min,train/clip_fraction_max,train/entropy_loss_first,train/entropy_loss_last,train/entropy_loss_min,train/entropy_loss_max,train/explained_variance_first,train/explained_variance_last,train/explained_variance_min,train/explained_variance_max,train/policy_gradient_loss_first,train/policy_gradient_loss_last,train/policy_gradient_loss_min,train/policy_gradient_loss_max,train/value_loss_first,train/value_loss_last,train/value_loss_min,train/value_loss_max,train/loss_first,train/loss_last,train/loss_min,train/loss_max,train/learning_rate_first,train/learning_rate_last,train/learning_rate_min,train/learning_rate_max
COUNT_EVENTS_PBRS,227,256,2048.0,524288.0,2048.0,524288.0,0.009139466,0.017896023,0.0060436158,0.02202738,0.05830078125,0.154443359375,0.04501953125,0.20869140625,-2.5603346168994903,-2.017001311480999,-2.5603346168994903,-1.6005608394742012,0.34313297271728516,0.9999775290489197,0.34313297271728516,0.9999973177909851,-0.013747264025732875,-0.012536473211366684,-0.018830471840919925,-0.006477761131827719,0.028035911684855818,3.747909060081156e-06,2.188077840692415e-07,0.028035911684855818,-0.054466359317302704,-0.05218298360705376,-0.06854170560836792,-0.00734185054898262,0.0003,0.0003,0.0003,0.0003
COUNT_EVENTS_PBRS,233,256,2048.0,524288.0,2048.0,524288.0,0.01071837,0.019216996,0.0073782085,0.02919012,0.064892578125,0.2248046875,0.05234375,0.2248046875,-2.56047879755497,-1.7858311712741852,-2.56047879755497,-1.6827645376324654,-0.232590913772583,0.9999858736991882,-0.232590913772583,0.9999968409538269,-0.012796992139192298,-0.016639053862309083,-0.021938033218611964,-0.006680582839180715,0.02583199996734038,7.313186915069991e-06,1.742503672907958e-07,0.02583199996734038,-0.035643406212329865,-0.03260861709713936,-0.0706275999546051,-0.015156932175159454,0.0003,0.0003,0.0003,0.0003
COUNT_EVENTS_PBRS,239,256,2048.0,524288.0,2048.0,524288.0,0.011596575,0.01182888,0.0071073095,0.021644678,0.065478515625,0.126220703125,0.02861328125,0.18984375,-2.5596801072359083,-1.6863196581602096,-2.5596801072359083,-1.5564670979976654,-0.7200051546096802,0.9999863505363464,-0.7200051546096802,0.9999961853027344,-0.014212411074549892,-0.010409662331221625,-0.022578098915982992,-0.0067791594716254625,0.04838876354042441,2.270541546778304e-06,2.6275946360954097e-07,0.04838876354042441,-0.02768109180033207,-0.03852109983563423,-0.06426824629306793,0.014333720318973064,0.0003,0.0003,0.0003,0.0003
COUNT_PBRS,223,256,2048.0,524288.0,2048.0,524288.0,0.010825192,0.012784384,0.008241745,0.022030212,0.081640625,0.127880859375,0.0544921875,0.216845703125,-2.5593939810991286,-1.8501988515257835,-2.5593939810991286,-1.7188970476388932,0.1729174256324768,0.9999760389328003,0.1729174256324768,0.9999943375587463,-0.013468849868513644,-0.014082526072161271,-0.022065652345190756,-0.009844035923015327,0.03569178890902549,1.3559422775699659e-06,2.4143703285517405e-07,0.03569178890902549,-0.03804895281791687,-0.03318323567509651,-0.0749315544962883,-0.015389418229460716,0.0003,0.0003,0.0003,0.0003
COUNT_PBRS,227,256,2048.0,524288.0,2048.0,524288.0,0.009504233,0.021221355,0.007457408,0.024276607,0.05908203125,0.21455078125,0.04296875,0.2171875,-2.5602219879627226,-1.6522482126951217,-2.5602219879627226,-1.5601266220211982,0.36410802602767944,0.9999905824661255,0.36410802602767944,0.9999957084655762,-0.013387468399014325,-0.017832089838339015,-0.021301910898182543,-0.006730363570386544,0.02419090294279158,5.468993474977424e-07,2.2388409917084573e-07,0.02419090294279158,-0.04985342547297478,-0.06045621261000633,-0.07222653925418854,-0.011113326996564865,0.0003,0.0003,0.0003,0.0003
GEOM_COUNT_EVENTS_PBRS,211,256,2048.0,524288.0,2048.0,524288.0,0.010633916,0.0042071408,0.0013655289,0.037201148,0.058251953125,0.02998046875,0.01826171875,0.199853515625,-2.5601480931043623,-0.09920151866972446,-2.5601480931043623,-0.09374013268388807,0.4375542402267456,0.9688436388969421,0.4375542402267456,0.9980432391166687,-0.01293223292886978,-0.0005995703482767567,-0.024655808124225586,0.0012137023324612529,0.02482686418807134,0.0011578470366657712,7.629058218299179e-05,0.02482686418807134,-0.031854674220085144,-0.001454709330573678,-0.05661730095744133,0.015034191310405731,0.0003,0.0003,0.0003,0.0003
GEOM_COUNT_EVENTS_PBRS,223,256,2048.0,524288.0,2048.0,524288.0,0.010522138,0.003024021,0.0014927154,0.01993667,0.077734375,0.037255859375,0.027099609375,0.167578125,-2.559516742825508,-0.13335176631808282,-2.559516742825508,-0.12741361260414125,0.1610698103904724,0.973860502243042,0.1610698103904724,0.9907867908477783,-0.013647473909077234,-0.0008305723313242197,-0.026826480915769935,0.0015659251104807482,0.038525000750087204,0.0014444330503465609,0.0003388171366168535,0.038525000750087204,-0.036359257996082306,0.007111831568181515,-0.06588836759328842,0.013154788874089718,0.0003,0.0003,0.0003,0.0003
GEOM_COUNT_EVENTS_PBRS,227,256,2048.0,524288.0,2048.0,524288.0,0.009054044,0.004623863,0.0012916033,0.033913165,0.057666015625,0.071728515625,0.023193359375,0.21396484375,-2.560388442873955,-0.17328731510788203,-2.560388442873955,-0.13723732298240066,0.336330771446228,0.9682592153549194,0.336330771446228,0.9947009086608887,-0.01387464120052755,-0.005774206254864111,-0.022591407684376463,0.0009062851138878613,0.027350367920007557,0.00143334641616093,0.00019080303654845921,0.027350367920007557,-0.05407866835594177,-0.006570660509169102,-0.059116628021001816,0.018380414694547653,0.0003,0.0003,0.0003,0.0003
GEOM_COUNT_EVENTS_PBRS,233,256,2048.0,524288.0,2048.0,524288.0,0.0110043725,0.0041106697,0.0017008597,0.01823431,0.0662109375,0.048095703125,0.0279296875,0.162939453125,-2.5604292869567873,-0.1681652307510376,-2.5604292869567873,-0.15334537671878934,-0.23020637035369873,0.9848901033401489,-0.23020637035369873,0.9986780881881714,-0.012887194164795801,-0.0021580579108558596,-0.026372184354113416,0.0011485751820146106,0.025073667371179907,0.0009158004126220476,5.062172831458156e-05,0.025073667371179907,-0.03613434359431267,-0.011133101768791676,-0.07184845209121704,0.008250430226325989,0.0003,0.0003,0.0003,0.0003
GEOM_COUNT_EVENTS_PBRS,239,256,2048.0,524288.0,2048.0,524288.0,0.011480756,0.004610804,0.0012202099,0.027700778,0.063916015625,0.045556640625,0.023291015625,0.2025390625,-2.559783512353897,-0.15828280691057445,-2.559783512353897,-0.11999805932864546,-0.715424656867981,0.9816702008247375,-0.715424656867981,0.9927955865859985,-0.01408283390919678,-0.002427880867617205,-0.022256038224441,0.0008462269091978669,0.04761596021708101,0.0011107670899946243,0.00020666943764808822,0.04761596021708101,-0.028017740696668625,-0.002989689353853464,-0.06347201764583588,0.024155661463737488,0.0003,0.0003,0.0003,0.0003
GRAPH_COST_PBRS,211,256,2048.0,524288.0,2048.0,524288.0,0.013222957,0.0028947287,0.0015842586,0.018065881,0.078173828125,0.032763671875,0.020263671875,0.1845703125,-2.5583685278892516,-0.2697403997182846,-2.5583685278892516,-0.2410435350611806,0.49144089221954346,0.9279571771621704,0.44648128747940063,0.9999641180038452,-0.01537240891775582,-0.0010473438102053477,-0.023080750019289553,-0.0010008888057200238,0.011485257360618562,0.0011582006976823323,1.5020078357963485e-06,0.017959155212156474,-0.043901633471250534,-0.00349613931030035,-0.06647466868162155,0.0039708297699689865,0.0003,0.0003,0.0003,0.0003
GRAPH_COST_PBRS,223,256,2048.0,524288.0,2048.0,524288.0,0.012502242,0.005313662,0.0012227782,0.014822543,0.077197265625,0.028857421875,0.01669921875,0.16201171875,-2.558172142505646,-0.11792908804491162,-2.558172142505646,-0.10836374312639237,-0.1625140905380249,0.9464238882064819,-0.1625140905380249,0.9996728301048279,-0.01500891309697181,-0.0007183421999798157,-0.020676960406126453,0.0007500950741814449,0.025712456018663944,0.0008730101420951541,5.458342030806307e-06,0.025712456018663944,-0.041832420974969864,-0.0005475557409226894,-0.06467828154563904,0.011108226142823696,0.0003,0.0003,0.0003,0.0003
GRAPH_COST_PBRS,227,256,2048.0,524288.0,2048.0,524288.0,0.010800914,0.0017384943,0.0009357928,0.06987882,0.04619140625,0.032861328125,0.0177734375,0.17919921875,-2.560425966978073,-0.11913085086271166,-2.560425966978073,-0.11120519014075399,0.2611747980117798,0.9366745352745056,0.2611747980117798,0.9969442486763,-0.013539568593841977,0.0005214433651417494,-0.020753007422899827,0.0011338503492879682,0.014429159613791853,0.0011666422520647756,6.318192636172171e-05,0.02453542232979089,-0.0538608618080616,-0.005003144033253193,-0.05766983702778816,0.01089274138212204,0.0003,0.0003,0.0003,0.0003
GRAPH_COST_PBRS,233,256,2048.0,524288.0,2048.0,524288.0,0.011723608,0.004770024,0.0016135669,0.019993953,0.076123046875,0.054638671875,0.024658203125,0.215185546875,-2.559887221455574,-0.337943647056818,-2.559887221455574,-0.337943647056818,-0.3605005741119385,0.918054461479187,-0.3605005741119385,0.9999855160713196,-0.01408661705791019,-0.0044703121588099744,-0.02180786905810237,-0.002862938377074897,0.011990857310593128,0.0013019572681514547,6.404361712952778e-07,0.01868612247053534,-0.03997594863176346,-0.012569106183946133,-0.07149731367826462,-0.0032345340587198734,0.0003,0.0003,0.0003,0.0003
GRAPH_COST_PBRS,239,256,2048.0,524288.0,2048.0,524288.0,0.010102093,0.0057559228,0.00133271,0.017423049,0.05849609375,0.055419921875,0.02412109375,0.183056640625,-2.559921759366989,-0.25926219411194323,-2.559921759366989,-0.20995167810469867,-0.7057949304580688,0.9158846735954285,-0.7057949304580688,0.9999768733978271,-0.013797408103710041,-0.002724152911105193,-0.021898790064733477,-0.0010389817645773292,0.029480337956920268,0.0014727715883054771,9.95122490010658e-07,0.029480337956920268,-0.033895622938871384,-0.003449181094765663,-0.06954335421323776,0.0050738793797791,0.0003,0.0003,0.0003,0.0003
GRAPH_FULL_PBRS,211,256,2048.0,524288.0,2048.0,524288.0,0.013266918,0.0016006795,0.0011922013,0.01669402,0.076708984375,0.02861328125,0.018896484375,0.1673828125,-2.5584009110927584,-0.15885506030172108,-2.5584009110927584,-0.14889394640922546,0.4907878041267395,0.9109470844268799,0.3863016366958618,0.9996016621589661,-0.015249468586989678,0.00038480105285998434,-0.019118463923223316,0.00038480105285998434,0.011477448884397745,0.0012513448447862175,6.968012360175635e-06,0.01787368211662397,-0.044916752725839615,-0.0034208642318844795,-0.0638430118560791,0.00822856929153204,0.0003,0.0003,0.0003,0.0003
GRAPH_FULL_PBRS,223,256,2048.0,524288.0,2048.0,524288.0,0.0126516465,0.0030970452,0.0011362878,0.015788628,0.07978515625,0.034375,0.019873046875,0.154345703125,-2.5581174165010454,-0.12945049367845057,-2.5581174165010454,-0.12391775213181973,-0.1874256134033203,0.9392583966255188,-0.1874256134033203,0.9945952892303467,-0.015117291436763481,4.914223682135343e-05,-0.02000469118356705,0.0006828254729043693,0.026092269411310553,0.0012543369623017498,9.982794790630578e-05,0.026092269411310553,-0.04125459864735603,0.00031771010253578424,-0.05589978024363518,0.009930291213095188,0.0003,0.0003,0.0003,0.0003
GRAPH_FULL_PBRS,227,256,2048.0,524288.0,2048.0,524288.0,0.010567159,0.0030688993,0.0010599366,0.055354442,0.044580078125,0.03076171875,0.018310546875,0.189599609375,-2.560522586107254,-0.12212585574015974,-2.560522586107254,-0.1199423810467124,0.24657809734344482,0.936714768409729,0.24657809734344482,0.9947791695594788,-0.013601228015613743,0.00023792551073711365,-0.0215728675480932,0.0010769188636913895,0.014531543129123747,0.0010193549809628167,9.127693811024073e-05,0.02442892068065703,-0.0523827038705349,0.007244741544127464,-0.0593135766685009,0.010030161589384079,0.0003,0.0003,0.0003,0.0003
GRAPH_FULL_PBRS,233,256,2048.0,524288.0,2048.0,524288.0,0.01194483,0.004023431,0.0013510857,0.06055567,0.075390625,0.057470703125,0.018798828125,0.132568359375,-2.559842637181282,-0.15743299936875702,-2.559842637181282,-0.13470155317336321,-0.34436702728271484,0.9257029294967651,-0.34436702728271484,0.9987267255783081,-0.014101862529059872,-0.004054304893361405,-0.01767873609496746,0.0005936539208050817,0.011876585881691427,0.0015281231157132425,2.9082596620355615e-05,0.0202671687817201,-0.04060867428779602,-0.002817647997289896,-0.055179763585329056,0.011808783747255802,0.0003,0.0003,0.0003,0.0003
GRAPH_FULL_PBRS,239,256,2048.0,524288.0,2048.0,524288.0,0.0098361615,0.0029514902,0.0015031177,0.018792339,0.05732421875,0.0361328125,0.019970703125,0.190380859375,-2.5600070536136625,-0.15978813581168652,-2.5600070536136625,-0.12751057101413607,-0.6930906772613525,0.9385309219360352,-0.6930906772613525,0.9975484013557434,-0.013670041091972961,-0.002530863691936247,-0.021854158514179288,0.0008781750220805407,0.029380214517004788,0.0010159790828765836,5.255943290194409e-05,0.029380214517004788,-0.03391418606042862,-0.008473189547657967,-0.07218022644519806,0.004530719947069883,0.0003,0.0003,0.0003,0.0003
TASK_ONLY,211,256,2048.0,524288.0,2048.0,524288.0,0.010988755,0.01188775,0.005938632,0.032690406,0.0630859375,0.109228515625,0.02412109375,0.216162109375,-2.5593849629163743,-1.9175718158483506,-2.5593849629163743,-1.4777281671762466,-0.4405391216278076,0.3433166742324829,-2.723855972290039,0.8250994682312012,-0.013705704413587228,-0.0083272231859155,-0.02159674936556257,-0.005011634092079475,0.005799123330507428,2.6013108644917793e-07,9.240469842630716e-08,0.005799123330507428,-0.055835939943790436,-0.03195204585790634,-0.07250754535198212,-0.004923704545944929,0.0003,0.0003,0.0003,0.0003
TASK_ONLY,239,256,2048.0,524288.0,2048.0,524288.0,0.0103577655,0.0110707525,0.007565381,0.03519699,0.042333984375,0.086376953125,0.03212890625,0.196826171875,-2.5601476401090624,-2.119643449783325,-2.5601476401090624,-1.663697563111782,-0.8296269178390503,0.998866617679596,-2.224175214767456,0.998866617679596,-0.01310259076708462,-0.009420604565821122,-0.021922500408254563,-0.006896881246939301,0.015614817652385682,1.1924663459694784e-05,3.176671741655923e-07,0.015614817652385682,-0.03936972841620445,-0.032966796308755875,-0.07304125279188156,-0.008299161680042744,0.0003,0.0003,0.0003,0.0003
