method,policy_seed,worker,episodes,cumulative_worker_steps,approx_env_interactions,successes,success_rate
COUNT_EVENTS_PBRS,227,0,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,227,1,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,227,2,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,227,3,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,227,4,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,227,5,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,227,6,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,227,7,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,233,0,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,233,1,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,233,2,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,233,3,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,233,4,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,233,5,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,233,6,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,233,7,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,239,0,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,239,1,682,65460,523680,1,0.001466275659824047
COUNT_EVENTS_PBRS,239,2,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,239,3,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,239,4,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,239,5,682,65472,523776,0,0.0
COUNT_EVENTS_PBRS,239,6,683,65536,524288,0,0.0
COUNT_EVENTS_PBRS,239,7,682,65472,523776,0,0.0
COUNT_PBRS,223,0,683,65536,524288,0,0.0
COUNT_PBRS,223,1,682,65472,523776,0,0.0
COUNT_PBRS,223,2,683,65536,524288,0,0.0
COUNT_PBRS,223,3,682,65472,523776,0,0.0
COUNT_PBRS,223,4,683,65536,524288,0,0.0
COUNT_PBRS,223,5,682,65472,523776,0,0.0
COUNT_PBRS,223,6,683,65536,524288,0,0.0
COUNT_PBRS,223,7,682,65472,523776,0,0.0
COUNT_PBRS,227,0,683,65536,524288,0,0.0
COUNT_PBRS,227,1,682,65472,523776,0,0.0
COUNT_PBRS,227,2,683,65536,524288,0,0.0
COUNT_PBRS,227,3,682,65472,523776,0,0.0
COUNT_PBRS,227,4,683,65536,524288,0,0.0
COUNT_PBRS,227,5,682,65472,523776,0,0.0
COUNT_PBRS,227,6,683,65536,524288,0,0.0
COUNT_PBRS,227,7,682,65472,523776,0,0.0
GEOM_COUNT_EVENTS_PBRS,211,0,1860,65520,524160,1765,0.9489247311827957
GEOM_COUNT_EVENTS_PBRS,211,1,1868,65517,524136,1781,0.9534261241970021
GEOM_COUNT_EVENTS_PBRS,211,2,1865,65516,524128,1779,0.953887399463807
GEOM_COUNT_EVENTS_PBRS,211,3,1877,65534,524272,1789,0.9531166755460841
GEOM_COUNT_EVENTS_PBRS,211,4,1862,65535,524280,1771,0.9511278195488722
GEOM_COUNT_EVENTS_PBRS,211,5,1860,65509,524072,1767,0.95
GEOM_COUNT_EVENTS_PBRS,211,6,1861,65513,524104,1769,0.9505642127888232
GEOM_COUNT_EVENTS_PBRS,211,7,1862,65529,524232,1769,0.9500537056928035
GEOM_COUNT_EVENTS_PBRS,223,0,1861,65522,524176,1768,0.9500268672756582
GEOM_COUNT_EVENTS_PBRS,223,1,1864,65492,523936,1769,0.9490343347639485
GEOM_COUNT_EVENTS_PBRS,223,2,1867,65518,524144,1770,0.9480449919657205
GEOM_COUNT_EVENTS_PBRS,223,3,1868,65504,524032,1769,0.9470021413276232
GEOM_COUNT_EVENTS_PBRS,223,4,1863,65501,524008,1766,0.9479334406870639
GEOM_COUNT_EVENTS_PBRS,223,5,1863,65523,524184,1764,0.9468599033816425
GEOM_COUNT_EVENTS_PBRS,223,6,1865,65533,524264,1768,0.9479892761394102
GEOM_COUNT_EVENTS_PBRS,223,7,1861,65531,524248,1764,0.9478774852229984
GEOM_COUNT_EVENTS_PBRS,227,0,1898,65509,524072,1804,0.9504741833508957
GEOM_COUNT_EVENTS_PBRS,227,1,1885,65527,524216,1795,0.9522546419098143
GEOM_COUNT_EVENTS_PBRS,227,2,1895,65494,523952,1801,0.950395778364116
GEOM_COUNT_EVENTS_PBRS,227,3,1868,65520,524160,1780,0.9528907922912205
GEOM_COUNT_EVENTS_PBRS,227,4,1883,65534,524272,1787,0.9490175252257037
GEOM_COUNT_EVENTS_PBRS,227,5,1864,65525,524200,1771,0.950107296137339
GEOM_COUNT_EVENTS_PBRS,227,6,1869,65535,524280,1769,0.9464954521134297
GEOM_COUNT_EVENTS_PBRS,227,7,1875,65511,524088,1785,0.952
GEOM_COUNT_EVENTS_PBRS,233,0,1870,65517,524136,1772,0.9475935828877006
GEOM_COUNT_EVENTS_PBRS,233,1,1868,65525,524200,1772,0.9486081370449678
GEOM_COUNT_EVENTS_PBRS,233,2,1865,65526,524208,1768,0.9479892761394102
GEOM_COUNT_EVENTS_PBRS,233,3,1862,65491,523928,1764,0.9473684210526315
GEOM_COUNT_EVENTS_PBRS,233,4,1862,65498,523984,1763,0.9468313641245972
GEOM_COUNT_EVENTS_PBRS,233,5,1862,65525,524200,1762,0.9462943071965628
