method,policy_seed,worker,window_end_episode,n,success_rate,mean_invalid_actions
COUNT_EVENTS_PBRS,227,0,99,100,0.0,73.44
COUNT_EVENTS_PBRS,227,0,199,100,0.0,75.33
COUNT_EVENTS_PBRS,227,0,299,100,0.0,73.43
COUNT_EVENTS_PBRS,227,0,399,100,0.0,81.87
COUNT_EVENTS_PBRS,227,0,499,100,0.0,82.68
COUNT_EVENTS_PBRS,227,0,599,100,0.0,88.69
COUNT_EVENTS_PBRS,227,0,682,83,0.0,88.13253012048193
COUNT_EVENTS_PBRS,227,1,99,100,0.0,73.9
COUNT_EVENTS_PBRS,227,1,199,100,0.0,75.77
COUNT_EVENTS_PBRS,227,1,299,100,0.0,72.67
COUNT_EVENTS_PBRS,227,1,399,100,0.0,81.7
COUNT_EVENTS_PBRS,227,1,499,100,0.0,81.91
COUNT_EVENTS_PBRS,227,1,599,100,0.0,88.99
COUNT_EVENTS_PBRS,227,1,681,82,0.0,88.39024390243902
COUNT_EVENTS_PBRS,227,2,99,100,0.0,72.7
COUNT_EVENTS_PBRS,227,2,199,100,0.0,75.59
COUNT_EVENTS_PBRS,227,2,299,100,0.0,72.89
COUNT_EVENTS_PBRS,227,2,399,100,0.0,81.95
COUNT_EVENTS_PBRS,227,2,499,100,0.0,82.05
COUNT_EVENTS_PBRS,227,2,599,100,0.0,88.84
COUNT_EVENTS_PBRS,227,2,682,83,0.0,87.36144578313252
COUNT_EVENTS_PBRS,227,3,99,100,0.0,73.34
COUNT_EVENTS_PBRS,227,3,199,100,0.0,75.55
COUNT_EVENTS_PBRS,227,3,299,100,0.0,72.96
COUNT_EVENTS_PBRS,227,3,399,100,0.0,81.35
COUNT_EVENTS_PBRS,227,3,499,100,0.0,82.88
COUNT_EVENTS_PBRS,227,3,599,100,0.0,88.37
COUNT_EVENTS_PBRS,227,3,681,82,0.0,87.6951219512195
COUNT_EVENTS_PBRS,227,4,99,100,0.0,73.05
COUNT_EVENTS_PBRS,227,4,199,100,0.0,74.95
COUNT_EVENTS_PBRS,227,4,299,100,0.0,72.48
COUNT_EVENTS_PBRS,227,4,399,100,0.0,82.15
COUNT_EVENTS_PBRS,227,4,499,100,0.0,81.82
COUNT_EVENTS_PBRS,227,4,599,100,0.0,88.54
COUNT_EVENTS_PBRS,227,4,682,83,0.0,87.13253012048193
