method,policy_seed,condition,profile,successes,episodes,success_rate
COUNT_EVENTS_PBRS,227,A_STARTED,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,A_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,A_VALID_B_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,A_VALID_B_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,B_STARTED,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,B_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,B_VALID_A_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,B_VALID_A_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,FREE_ORDER,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,FREE_ORDER,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,INVALIDATE_FIRST,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,INVALIDATE_FIRST,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,LATE_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,LATE_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,227,TWO_LOSSES,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,227,TWO_LOSSES,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,A_STARTED,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,A_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,A_VALID_B_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,A_VALID_B_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,B_STARTED,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,B_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,B_VALID_A_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,B_VALID_A_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,FREE_ORDER,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,FREE_ORDER,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,INVALIDATE_FIRST,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,INVALIDATE_FIRST,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,LATE_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,LATE_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,233,TWO_LOSSES,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,233,TWO_LOSSES,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,A_STARTED,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,A_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,A_VALID_B_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,A_VALID_B_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,B_STARTED,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,B_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,B_VALID_A_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,B_VALID_A_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,FREE_ORDER,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,FREE_ORDER,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,INVALIDATE_FIRST,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,INVALIDATE_FIRST,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,LATE_LOSS,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,LATE_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_EVENTS_PBRS,239,TWO_LOSSES,BASE64,0,128,0.0
COUNT_EVENTS_PBRS,239,TWO_LOSSES,LONG_CHAIN128,0,128,0.0
COUNT_PBRS,223,A_STARTED,BASE64,0,128,0.0
COUNT_PBRS,223,A_STARTED,LONG_CHAIN128,0,128,0.0
COUNT_PBRS,223,A_VALID_B_LOSS,BASE64,0,128,0.0
COUNT_PBRS,223,A_VALID_B_LOSS,LONG_CHAIN128,0,128,0.0
COUNT_PBRS,223,B_STARTED,BASE64,0,128,0.0
COUNT_PBRS,223,B_STARTED,LONG_CHAIN128,0,128,0.0
