condition,method,n,profile,success
FREE_ORDER,TASK_ONLY,1024,BASE64,0.68359375
A_STARTED,TASK_ONLY,1024,BASE64,0.69140625
B_STARTED,TASK_ONLY,1024,BASE64,0.70703125
A_VALID_B_LOSS,TASK_ONLY,1024,BASE64,0.734375
B_VALID_A_LOSS,TASK_ONLY,1024,BASE64,0.6953125
INVALIDATE_FIRST,TASK_ONLY,1024,BASE64,0.6474609375
LATE_LOSS,TASK_ONLY,1024,BASE64,0.6640625
TWO_LOSSES,TASK_ONLY,1024,BASE64,0.62109375
FREE_ORDER,TASK_ONLY,1024,LONG_CHAIN128,0.5927734375
A_STARTED,TASK_ONLY,1024,LONG_CHAIN128,0.58203125
B_STARTED,TASK_ONLY,1024,LONG_CHAIN128,0.640625
A_VALID_B_LOSS,TASK_ONLY,1024,LONG_CHAIN128,0.7373046875
B_VALID_A_LOSS,TASK_ONLY,1024,LONG_CHAIN128,0.64453125
INVALIDATE_FIRST,TASK_ONLY,1024,LONG_CHAIN128,0.53515625
LATE_LOSS,TASK_ONLY,1024,LONG_CHAIN128,0.55859375
TWO_LOSSES,TASK_ONLY,1024,LONG_CHAIN128,0.5390625
FREE_ORDER,COUNT_PBRS,1024,BASE64,0.70703125
A_STARTED,COUNT_PBRS,1024,BASE64,0.69921875
B_STARTED,COUNT_PBRS,1024,BASE64,0.72265625
A_VALID_B_LOSS,COUNT_PBRS,1024,BASE64,0.68359375
B_VALID_A_LOSS,COUNT_PBRS,1024,BASE64,0.7099609375
INVALIDATE_FIRST,COUNT_PBRS,1024,BASE64,0.65625
LATE_LOSS,COUNT_PBRS,1024,BASE64,0.65234375
TWO_LOSSES,COUNT_PBRS,1024,BASE64,0.6328125
FREE_ORDER,COUNT_PBRS,1024,LONG_CHAIN128,0.61328125
A_STARTED,COUNT_PBRS,1024,LONG_CHAIN128,0.59765625
B_STARTED,COUNT_PBRS,1024,LONG_CHAIN128,0.6484375
A_VALID_B_LOSS,COUNT_PBRS,1024,LONG_CHAIN128,0.6240234375
B_VALID_A_LOSS,COUNT_PBRS,1024,LONG_CHAIN128,0.640625
INVALIDATE_FIRST,COUNT_PBRS,1024,LONG_CHAIN128,0.5234375
LATE_LOSS,COUNT_PBRS,1024,LONG_CHAIN128,0.5419921875
TWO_LOSSES,COUNT_PBRS,1024,LONG_CHAIN128,0.51953125
FREE_ORDER,COUNT_EVENTS_PBRS,1024,BASE64,0.5693359375
A_STARTED,COUNT_EVENTS_PBRS,1024,BASE64,0.5546875
B_STARTED,COUNT_EVENTS_PBRS,1024,BASE64,0.59375
A_VALID_B_LOSS,COUNT_EVENTS_PBRS,1024,BASE64,0.5849609375
B_VALID_A_LOSS,COUNT_EVENTS_PBRS,1024,BASE64,0.56640625
INVALIDATE_FIRST,COUNT_EVENTS_PBRS,1024,BASE64,0.55859375
LATE_LOSS,COUNT_EVENTS_PBRS,1024,BASE64,0.5654296875
